"Is Joint"	"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"No"	"NOLAN CHERYL"	"800019"	"AC42"	"(450) 555-5925"	"(450) 555-9762"	"9,518.29"	"CAD"	"n/a"	""	"(450) 555-4556"	""	"171,247.39"
"No"	"OLEKSIEW ADRESSE"	"800043"	"AC42"	"(450) 555-7897"	"(450) 555-7949"	"23,726.11"	"CAD"	"0.00"	""	"(450) 555-8852"	""	"613,311.79"
"No"	"ORLEAN ADMAX"	"800256"	"AC42"	"(450) 555-9118"	"(450) 555-4215"	"16,410.42"	"CAD"	"n/a"	""	"(450) 555-2521"	""	"1,112,618.39"
"No"	"OSER ALEXANDRIA"	"800074"	"BD66"	"(450) 555-4709"	"(450) 555-0767"	"7,156.45"	"CAD"	"0.00"	""	"(450) 555-6761"	""	"1,135,943.79"
"No"	"PILOTE ALDO"	"800065"	"BD66"	"(450) 555-6425"	"(450) 555-1325"	"3,214.10"	"CAD"	"n/a"	""	"(450) 555-7525"	""	"145,856.98"
"No"	"PINARD CATHARINA"	"800210"	"BD88"	"(450) 555-4359"	"(450) 555-2487"	"9,248.52"	"CAD"	"0.00"	""	"(450) 555-0240"	""	"881,624.38"
"No"	"PLATINE CHARTIER"	"800073"	"AC42"	"(450) 555-2637"	"(450) 555-4621"	"13,736.31"	"CAD"	"n/a"	""	"(450) 555-1052"	""	"940,686.33"
"No"	"POLOMSKI BENNY"	"800064"	"BD66"	"(450) 555-1464"	"(450) 555-9510"	"(15,709.17)"	"CAD"	"0.00"	""	"(450) 555-9312"	""	"1,090,965.72"
"No"	"POTYONDY ADAMS"	"800035"	"AC44"	"(450) 555-4060"	"(450) 555-8053"	"5,660.71"	"CAD"	"n/a"	""	"(450) 555-7794"	""	"1,453,568.06"
"No"	"PROJ. INC. RPT"	"800400"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"453,258.00"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"555,985.56"
"No"	"PROJ. INC. RPT"	"800401"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"453,258.00"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"555,985.56"
"No"	"QUAGHEBEUR CAROL"	"800041"	"AC44"	"(450) 555-3467"	"(450) 555-5811"	"388,181.71"	"CAD"	"n/a"	""	"(450) 555-5602"	""	"3,124,239.44"
"No"	"RAPPORT INTACC"	"800502"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"471,784.75"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"574,512.31"
"No"	"RETZLAFF CAISSE"	"800239"	"AC42"	"(450) 555-1316"	"(450) 555-0873"	"(7,656.59)"	"CAD"	"0.00"	""	"(450) 555-1070"	""	"3,486,416.42"
"No"	"ROLLAND CATELLIE"	"800227"	"BD88"	"(450) 555-4060"	"(450) 555-4861"	"2,982.47"	"CAD"	"n/a"	""	"(450) 555-0952"	""	"158,138.41"
"No"	"SAMBORSKI ALMA"	"800261"	"BD66"	"(450) 555-6604"	"(450) 555-0922"	"15,107.08"	"CAD"	"n/a"	""	"(450) 555-5074"	""	"831,253.90"
"No"	"SAMSON AMYN"	"800216"	"AC43"	"(450) 555-9953"	"(450) 555-3342"	"1,555,165.13"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"18,424,711.22"
"No"	"SANDHU BRUNO"	"800044"	"AC42"	"(450) 555-0239"	"(450) 555-3393"	"(71,385.96)"	"CAD"	"0.00"	""	"(450) 555-9281"	""	"367,036.04"
"No"	"SATTLER AYAAZ"	"800257"	"AC42"	"(450) 555-2752"	"(450) 555-6082"	"(51,988.64)"	"CAD"	"0.00"	""	"(450) 555-9847"	""	"2,592,859.80"
"No"	"SAUFFERER BOYD"	"800208"	"BD88"	"(450) 555-7341"	"(450) 555-6194"	"12,429.65"	"CAD"	"n/a"	""	"(450) 555-4177"	""	"255,547.82"
"No"	"SAYED AMANDA"	"800026"	"AC44"	"(450) 555-9115"	"(450) 555-8616"	"0.00"	"USD"	"0.00"	""	"(450) 555-4036"	""	"0.00"
"No"	"SAYEGH ACADIA"	"800025"	"AC55"	"(450) 555-2850"	"(450) 555-8033"	"0.00"	"CAD"	"n/a"	""	"(450) 555-0229"	""	"0.00"
"No"	"SCARLETT BLAIR"	"800022"	"AC44"	"(450) 555-8806"	"(450) 555-2583"	"5,913.97"	"CAD"	"n/a"	""	"(450) 555-1377"	""	"606,920.05"
"No"	"SERGE ALICK"	"800211"	"AC42"	"(450) 555-3598"	"(450) 555-2043"	"0.00"	"CAD"	"0.00"	""	"(450) 555-7776"	""	"0.00"
"No"	"SERGE ALICK"	"800212"	"BD88"	"(450) 555-3598"	"(450) 555-2043"	"45,712.03"	"CAD"	"0.00"	""	"(450) 555-7776"	""	"744,240.09"
"No"	"SHERMANN ASSURAN"	"800242"	"AC42"	"(450) 555-6685"	"(450) 555-4013"	"2,362.70"	"CAD"	"0.00"	""	"(450) 555-3790"	""	"596,511.74"
"No"	"SIDDALL BOUDRIAS"	"800015"	"AC44"	"(450) 555-3117"	"(450) 555-9586"	"0.00"	"CAD"	"0.00"	""	"(450) 555-5749"	""	"0.00"
"No"	"SIMARD AUGUSTINE"	"800070"	"BD88"	"(450) 555-1061"	"(450) 555-6970"	"0.00"	"CAD"	"n/a"	""	"(450) 555-4036"	""	"0.00"
"No"	"SINAGRA AILLEEN"	"800266"	"BD77"	"(450) 555-0496"	"(450) 555-2389"	"265.11"	"CAD"	"0.00"	""	"(450) 555-6986"	""	"822,102.70"
"No"	"SINNAEVE CANARDS"	"800233"	"BD88"	"(450) 555-8821"	"(450) 555-0001"	"4,395.88"	"CAD"	"n/a"	""	"(450) 555-5997"	""	"1,241,790.76"
"No"	"SKRUNDZ BEAUDOIN"	"800054"	"BD88"	"(450) 555-2656"	"(450) 555-2488"	"16,845.54"	"CAD"	"0.00"	""	"(450) 555-8729"	""	"453,130.27"
"No"	"STANTON CELINE"	"800005"	"AC42"	"(450) 555-1520"	"(450) 555-9455"	"0.00"	"CAD"	"0.00"	""	"(450) 555-3247"	""	"0.00"
"No"	"STEADWARD ANTOIN"	"800067"	"BD66"	"(450) 555-5536"	"(450) 555-6424"	"16,112.10"	"CAD"	"0.00"	""	"(450) 555-5481"	""	"3,403,964.31"
"No"	"STEELE AGGIE"	"800000"	"AC42"	"(450) 555-8918"	"(450) 555-7645"	"50.00"	"CAD"	"n/a"	""	"(450) 555-6340"	""	"139,964.11"
"No"	"STUART CARTERS"	"800262"	"BD66"	"(450) 555-5369"	"(450) 555-2378"	"22,759.01"	"CAD"	"0.00"	""	"(450) 555-3453"	""	"485,577.27"
"No"	"SWAN BELLA"	"800290"	"BD66"	"(416) 667-7654"	"(416) 667-7698"	"10,505.86"	"CAD"	"n/a"	""	""	""	"402,048.42"
"No"	"TABAK BERANGERE"	"800248"	"BD88"	"(450) 555-1478"	"(450) 555-9149"	"129,844.69"	"CAD"	"n/a"	""	"(450) 555-4703"	""	"959,424.14"
"No"	"TODOR ALARIE"	"800286"	"AC42"	"(450) 555-4812"	"(450) 555-2241"	"4,174.06"	"CAD"	"0.00"	""	"(450) 555-2137"	""	"1,114,617.20"
"No"	"TON ANNEMARIE"	"800040"	"AC55"	"(450) 555-3915"	"(450) 555-5535"	"31,537.84"	"CAD"	"0.00"	""	"(450) 555-8263"	""	"1,229,245.53"
"No"	"TREMBLAY CHINDA"	"800084"	"BD77"	"(450) 555-3915"	"(450) 555-8506"	"9,184.65"	"CAD"	"n/a"	""	"(450) 555-9059"	""	"2,599,148.85"
"No"	"TREN CIARAN"	"800278"	"AC42"	"(450) 555-2487"	"(450) 555-7833"	"15,972.50"	"CAD"	"0.00"	""	"(450) 555-2656"	""	"269,429.54"
"No"	"TRUEMAN AMARJIT"	"800236"	"BD66"	"(450) 555-9212"	"(450) 555-9276"	"111,315.54"	"CAD"	"n/a"	""	"(450) 555-0324"	""	"1,251,853.19"
"No"	"TRXIONS FONDS CI"	"300011"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"21,400.00"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"50,780.60"
"No"	"TRXIONS FONDS CI"	"300012"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"145,175.96"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"185,393.17"
"No"	"TRXIONS WEEKEND"	"300015"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"3,292.60"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"22,377.60"
"No"	"VALIDATION CR"	"300014"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"26,710.77"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"148,791.11"
"No"	"VALIDATIONS CALC"	"300001"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"119,035.70"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"939,286.10"
"No"	"VALIDATIONS CALC"	"300008"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"49,897.57"	"CAD"	"n/a"	""	"(450) 555-4442"	""	"149,654.06"
"No"	"VALIDATIONS SEPA"	"300002"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"191,112.54"	"CAD"	"n/a"	""	"(450) 555-4442"	"(450) 555-4443"	"493,193.25"
"No"	"VILLENEUVE GILLE"	"800264"	"BD66"	"(450) 555-7022"	"(450) 555-6707"	"5,071.42"	"CAD"	"n/a"	""	"(450) 555-5811"	""	"1,236,063.36"
"No"	"VOSSEN CARROLL"	"800045"	"AC55"	"(450) 555-0531"	"(450) 555-6343"	"432.24"	"CAD"	"0.00"	""	"(450) 555-1994"	""	"157,744.60"
"No"	"VOYER BERNARD"	"800215"	"AC43"	"(450) 555-3621"	"(450) 555-1081"	"21,259.22"	"CAD"	"n/a"	""	"(450) 555-5201"	""	"4,758,139.29"
"No"	"WATKINS BOURKE"	"800004"	"AC42"	"(450) 555-4522"	"(450) 555-6908"	"0.00"	"CAD"	"n/a"	""	"(450) 555-5059"	""	"0.00"
"No"	"WUSCHKE BRIAN"	"800226"	"AC42"	"(450) 555-8491"	"(450) 555-8049"	"0.00"	"CAD"	"n/a"	""	"(450) 555-7719"	""	"0.00"
"No"	"YANIC GOBEILLE A"	"800011"	"AC42"	"(450) 555-8961"	"(450) 555-1871"	"1,089.71"	"CAD"	"n/a"	""	"(450) 555-0629"	""	"965,830.43"
"No"	"YEKTA BERNI"	"800230"	"AC43"	"(450) 555-0128"	"(450) 555-7330"	"17,537.50"	"CAD"	"0.00"	""	"(450) 555-8777"	""	"804,511.32"
"No"	"ZIMMERMANN AYUKO"	"800204"	"BD66"	"(450) 555-8255"	"(450) 555-5445"	"51,018.59"	"CAD"	"n/a"	""	"(450) 555-9165"	""	"338,025.44"
