account_number, mgmt_start_date, uma_template, UMA_CASH_MVT, UMA_DATE_PROCH_INTEGR , UMA_MODEL_NO, ALLOCATION_UMA_1A7
11-Y11Q-E,2010-03-20,Template1,456,2010-03-21,~M-00007-0,2
11-Y150-A,2010-03-20,Template1,457,2010-03-21,~M-00007-0,2
11-Y151-A,2010-03-20,Template1,458,2010-03-21,~M-00007-0,2
11-Y1AX-A,2010-03-20,Template1,459,2010-03-21,~M-00007-0,2
11-Y1C2-A,2010-03-20,Template1,460,2010-03-21,~M-00007-0,2
11-Y1RW-A,2010-03-20,Template1,461,2010-03-21,~M-00007-0,2
11-Y1Y5-A,2010-03-20,Template1,462,2010-03-21,~M-00007-0,2
11-Y20R-E,2010-03-20,Template1,463,2010-03-21,~M-00007-0,2
11-Y23Z-A,2010-03-20,Template1,464,2010-03-21,~M-00007-0,2
11-Y26X-A,2010-03-20,Template1,465,2010-03-21,~M-00007-0,2
11-Y287-A,2010-03-20,Template1,466,2010-03-21,~M-00007-0,2
11-Y2D6-A,2010-03-20,Template1,467,2010-03-21,~M-00007-0,2
11-Y2FH-A,2010-03-20,Template1,468,2010-03-21,~M-00007-0,2
11-Y2ZR-E,2010-03-20,Template1,469,2010-03-21,~M-00007-0,2
11-Y3A4-A,2010-03-20,Template1,470,2010-03-21,~M-00007-0,2
11-Y3AT-E,2010-03-20,Template1,471,2010-03-21,~M-00007-0,2
11-Y3DP-A,2010-03-20,Template1,472,2010-03-21,~M-00007-0,2
11-Y3DP-B,2010-03-20,Template1,473,2010-03-21,~M-00007-0,2
11-Y3DZ-A,2010-03-20,Template1,474,2010-03-21,~M-00007-0,2
11-Y3G1-A,2010-03-20,Template1,475,2010-03-21,~M-00007-0,2
11-Y3QR-A,2010-03-20,Template1,476,2010-03-21,~M-00007-0,2
11-Y3T7-A,2010-03-20,Template1,477,2010-03-21,~M-00007-0,2
11-Y410-A,2010-03-20,Template1,478,2010-03-21,~M-00007-0,2
11-Y41H-A,2010-03-20,Template1,479,2010-03-21,~M-00007-0,2
11-Y46P-A,2010-03-20,Template1,480,2010-03-21,~M-00007-0,2
11-Y47P-A,2010-03-20,Template1,481,2010-03-21,~M-00007-0,2
11-Y4A7-E,2010-03-20,Template1,482,2010-03-21,~M-00007-0,2
11-Y4BW-A,2010-03-20,Template1,483,2010-03-21,~M-00007-0,2
11-Y4CW-X,2010-03-20,Template1,484,2010-03-21,~M-00007-0,2
11-Y4Q3-A,2010-03-20,Template1,485,2010-03-21,~M-00007-0,2
11-Y4R5-A,2010-03-20,Template1,486,2010-03-21,~M-00007-0,2
11-Y4R9-A,2010-03-20,Template1,487,2010-03-21,~M-00007-0,2
11-Y4TP-A,2010-03-20,Template1,488,2010-03-21,~M-00007-0,2
11-Y4TP-B,2010-03-20,Template1,489,2010-03-21,~M-00007-0,2
11-Y4Y5-E,2010-03-20,Template1,490,2010-03-21,~M-00007-0,2
11-Y4YW-A,2010-03-20,Template1,491,2010-03-21,~M-00007-0,2
11-Y4Z1-A,2010-03-20,Template1,492,2010-03-21,~M-00007-0,2
11-Y515-E,2010-03-20,Template1,493,2010-03-21,~M-00007-0,2
11-Y515-F,2010-03-20,Template1,494,2010-03-21,~M-00007-0,2
11-Y534-E,2010-03-20,Template1,495,2010-03-21,~M-00007-0,2
11-Y53W-A,2010-03-20,Template1,496,2010-03-21,~M-00007-0,2
11-Y547-A,2010-03-20,Template1,497,2010-03-21,~M-00007-0,2
11-Y547-E,2010-03-20,Template1,498,2010-03-21,~M-00007-0,2
11-Y57Q-A,2010-03-20,Template1,499,2010-03-21,~M-00007-0,2
11-Y5B8-E,2010-03-20,Template1,500,2010-03-21,~M-00007-0,2
11-Y5B8-F,2010-03-20,Template1,501,2010-03-21,~M-00007-0,2
11-Y5BV-A,2010-03-20,Template1,502,2010-03-21,~M-00007-0,2
11-Y5D7-E,2010-03-20,Template1,503,2010-03-21,~M-00007-0,2
11-Y5D7-F,2010-03-20,Template1,504,2010-03-21,~M-00007-0,2
11-Y5F8-A,2010-03-20,Template1,505,2010-03-21,~M-00007-0,2
11-Y5GK-E,2010-03-20,Template1,506,2010-03-21,~M-00007-0,2
11-Y5GK-F,2010-03-20,Template1,507,2010-03-21,~M-00007-0,2
11-Y5GZ-A,2010-03-20,Template1,508,2010-03-21,~M-00007-0,2
11-Y5R3-E,2010-03-20,Template1,509,2010-03-21,~M-00007-0,2
11-Y5XX-A,2010-03-20,Template1,510,2010-03-21,~M-00007-0,2
11-Y61V-B,2010-03-20,Template1,511,2010-03-21,~M-00007-0,2
11-Y621-B,2010-03-20,Template1,512,2010-03-21,~M-00007-0,2
11-Y622-A,2010-03-20,Template1,513,2010-03-21,~M-00007-0,2
11-Y62N-E,2010-03-20,Template1,514,2010-03-21,~M-00007-0,2
11-Y62V-A,2010-03-20,Template1,515,2010-03-21,~M-00007-0,2
11-Y63Y-B,2010-03-20,Template1,516,2010-03-21,~M-00007-0,2
11-Y64N-B,2010-03-20,Template1,517,2010-03-21,~M-00007-0,2
11-Y673-E,2010-03-20,Template1,518,2010-03-21,~M-00007-0,2
11-Y686-E,2010-03-20,Template1,519,2010-03-21,~M-00007-0,2
11-Y68G-A,2010-03-20,Template1,520,2010-03-21,~M-00007-0,2
11-Y6D3-E,2010-03-20,Template1,521,2010-03-21,~M-00007-0,2
11-Y6R2-E,2010-03-20,Template1,522,2010-03-21,~M-00007-0,2
11-Y6WR-E,2010-03-20,Template1,523,2010-03-21,~M-00007-0,2
11-Y6WR-F,2010-03-20,Template1,524,2010-03-21,~M-00007-0,2
11-Y6WT-E,2010-03-20,Template1,525,2010-03-21,~M-00007-0,2
11-Y6WT-F,2010-03-20,Template1,526,2010-03-21,~M-00007-0,2
11-Y72H-X,2010-03-20,Template1,527,2010-03-21,~M-00007-0,2
11-Y75W-A,2010-03-20,Template1,528,2010-03-21,~M-00007-0,2
11-Y75W-B,2010-03-20,Template1,529,2010-03-21,~M-00007-0,2
11-Y76R-E,2010-03-20,Template1,530,2010-03-21,~M-00007-0,2
11-Y7AX-A,2010-03-20,Template1,531,2010-03-21,~M-00007-0,2
11-Y7AX-B,2010-03-20,Template1,532,2010-03-21,~M-00007-0,2
11-Y7AY-A,2010-03-20,Template1,533,2010-03-21,~M-00007-0,2
11-Y7AY-B,2010-03-20,Template1,534,2010-03-21,~M-00007-0,2
11-Y7C7-A,2010-03-20,Template1,535,2010-03-21,~M-00007-0,2
11-Y7DG-A,2010-03-20,Template1,536,2010-03-21,~M-00007-0,2
11-Y7DX-A,2010-03-20,Template1,537,2010-03-21,~M-00007-0,2
11-Y7F5-A,2010-03-20,Template1,538,2010-03-21,~M-00007-0,2
11-Y7K7-A,2010-03-20,Template1,539,2010-03-21,~M-00007-0,2
11-Y7KK-E,2010-03-20,Template1,540,2010-03-21,~M-00007-0,2
11-Y7NQ-A,2010-03-20,Template1,541,2010-03-21,~M-00007-0,2
11-Y7Q1-B,2010-03-20,Template1,542,2010-03-21,~M-00007-0,2
11-Y7RQ-E,2010-03-20,Template1,543,2010-03-21,~M-00007-0,2
11-Y7VQ-A,2010-03-20,Template1,544,2010-03-21,~M-00007-0,2
11-Y7WG-E,2010-03-20,Template1,545,2010-03-21,~M-00007-0,2
11-Y7WG-F,2010-03-20,Template1,546,2010-03-21,~M-00007-0,2
11-Y7WV-E,2010-03-20,Template1,547,2010-03-21,~M-00007-0,2
11-Y807-A,2010-03-20,Template1,548,2010-03-21,~M-00007-0,2
11-Y845-A,2010-03-20,Template1,549,2010-03-21,~M-00007-0,2
11-Y85K-E,2010-03-20,Template1,550,2010-03-21,~M-00007-0,2
11-Y85K-F,2010-03-20,Template1,551,2010-03-21,~M-00007-0,2
11-Y85R-X,2010-03-20,Template1,552,2010-03-21,~M-00007-0,2
11-Y86R-E,2010-03-20,Template1,553,2010-03-21,~M-00007-0,2
11-Y86Y-A,2010-03-20,Template1,554,2010-03-21,~M-00007-0,2
11-Y8DN-A,2010-03-20,Template1,555,2010-03-21,~M-00007-0,2
11-Y8FY-A,2010-03-20,Template1,556,2010-03-21,~M-00007-0,2
11-Y8H1-A,2010-03-20,Template1,557,2010-03-21,~M-00007-0,2
11-Y8R6-E,2010-03-20,Template1,558,2010-03-21,~M-00007-0,2
11-Y8T9-A,2010-03-20,Template1,559,2010-03-21,~M-00007-0,2
11-Y8VW-A,2010-03-20,Template1,560,2010-03-21,~M-00007-0,2
11-Y8XZ-A,2010-03-20,Template1,561,2010-03-21,~M-00007-0,2
11-YA1Z-E,2010-03-20,Template1,562,2010-03-21,~M-00007-0,2
11-YA34-A,2010-03-20,Template1,563,2010-03-21,~M-00007-0,2
11-YA49-A,2010-03-20,Template1,564,2010-03-21,~M-00007-0,2
11-YA4Q-A,2010-03-20,Template1,565,2010-03-21,~M-00007-0,2
11-YA58-A,2010-03-20,Template1,566,2010-03-21,~M-00007-0,2
11-YA5K-A,2010-03-20,Template1,567,2010-03-21,~M-00007-0,2
11-YAKY-A,2010-03-20,Template1,568,2010-03-21,~M-00007-0,2
11-YAQ3-E,2010-03-20,Template1,569,2010-03-21,~M-00007-0,2
11-YAV1-A,2010-03-20,Template1,570,2010-03-21,~M-00007-0,2
11-YAY6-X,2010-03-20,Template1,571,2010-03-21,~M-00007-0,2
11-YBH1-E,2010-03-20,Template1,572,2010-03-21,~M-00007-0,2
11-YCF9-A,2010-03-20,Template1,573,2010-03-21,~M-00007-0,2
11-YCGG-X,2010-03-20,Template1,574,2010-03-21,~M-00007-0,2
11-YCNW-A,2010-03-20,Template1,575,2010-03-21,~M-00007-0,2
11-YWX7-A,2010-03-20,Template1,576,2010-03-21,~M-00007-0,2
11-YWXK-A,2010-03-20,Template1,577,2010-03-21,~M-00007-0,2
11-YY05-B,2010-03-20,Template1,578,2010-03-21,~M-00007-0,2
11-YY3H-A,2010-03-20,Template1,579,2010-03-21,~M-00007-0,2
11-YY3H-B,2010-03-20,Template1,580,2010-03-21,~M-00007-0,2
11-YY45-A,2010-03-20,Template1,581,2010-03-21,~M-00007-0,2
11-YY45-B,2010-03-20,Template1,582,2010-03-21,~M-00007-0,2
11-YY5G-A,2010-03-20,Template1,583,2010-03-21,~M-00007-0,2
11-YYC5-A,2010-03-20,Template1,584,2010-03-21,~M-00007-0,2
11-YYCW-E,2010-03-20,Template1,585,2010-03-21,~M-00007-0,2
11-YYV0-A,2010-03-20,Template1,586,2010-03-21,~M-00007-0,2
11-YYV0-B,2010-03-20,Template1,587,2010-03-21,~M-00007-0,2
11-YYWY-A,2010-03-20,Template1,588,2010-03-21,~M-00007-0,2
11-YYWY-X,2010-03-20,Template1,589,2010-03-21,~M-00007-0,2
11-YYZ3-B,2010-03-20,Template1,590,2010-03-21,~M-00007-0,2
11-YYZQ-A,2010-03-20,Template1,591,2010-03-21,~M-00007-0,2
11-YZ16-A,2010-03-20,Template1,592,2010-03-21,~M-00007-0,2
11-YZ1K-A,2010-03-20,Template1,593,2010-03-21,~M-00007-0,2
11-YZ23-A,2010-03-20,Template1,594,2010-03-21,~M-00007-0,2
11-YZ4T-E,2010-03-20,Template1,595,2010-03-21,~M-00007-0,2
11-YZ4T-F,2010-03-20,Template1,596,2010-03-21,~M-00007-0,2
11-YZB3-E,2010-03-20,Template1,597,2010-03-21,~M-00007-0,2
11-YZG6-E,2010-03-20,Template1,598,2010-03-21,~M-00007-0,2
11-YZHR-A,2010-03-20,Template1,599,2010-03-21,~M-00007-0,2
11-YZNR-A,2010-03-20,Template1,600,2010-03-21,~M-00007-0,2
11-YZT6-A,2010-03-20,Template1,601,2010-03-21,~M-00007-0,2
11-YZTN-A,2010-03-20,Template1,602,2010-03-21,~M-00007-0,2
11-YZW2-X,2010-03-20,Template1,603,2010-03-21,~M-00007-0,2
11-YZX4-A,2010-03-20,Template1,604,2010-03-21,~M-00007-0,2
11-YZYK-E,2010-03-20,Template1,605,2010-03-21,~M-00007-0,2
11-ZA43-E,2010-03-20,Template1,606,2010-03-21,~M-00007-0,2
11-ZA43-F,2010-03-20,Template1,607,2010-03-21,~M-00007-0,2
11-ZA43-X,2010-03-20,Template1,608,2010-03-21,~M-00007-0,2
11-ZA60-A,2010-03-20,Template1,609,2010-03-21,~M-00007-0,2
11-ZA60-B,2010-03-20,Template1,610,2010-03-21,~M-00007-0,2
11-ZA61-A,2010-03-20,Template1,611,2010-03-21,~M-00007-0,2
11-ZA61-B,2010-03-20,Template1,612,2010-03-21,~M-00007-0,2
11-ZAD1-X,2010-03-20,Template1,613,2010-03-21,~M-00007-0,2
11-ZAFK-E,2010-03-20,Template1,614,2010-03-21,~M-00007-0,2
11-ZAQ0-A,2010-03-20,Template1,615,2010-03-21,~M-00007-0,2
11-ZB10-A,2010-03-20,Template1,616,2010-03-21,~M-00007-0,2
11-ZB6W-E,2010-03-20,Template1,617,2010-03-21,~M-00007-0,2
11-ZB7R-E,2010-03-20,Template1,618,2010-03-21,~M-00007-0,2
11-ZB8Q-A,2010-03-20,Template1,619,2010-03-21,~M-00007-0,2
11-ZBAY-E,2010-03-20,Template1,620,2010-03-21,~M-00007-0,2
11-ZBFG-E,2010-03-20,Template1,621,2010-03-21,~M-00007-0,2
11-ZBGH-E,2010-03-20,Template1,622,2010-03-21,~M-00007-0,2
11-ZBK9-A,2010-03-20,Template1,623,2010-03-21,~M-00007-0,2
11-ZBKG-A,2010-03-20,Template1,624,2010-03-21,~M-00007-0,2
11-ZBKG-B,2010-03-20,Template1,625,2010-03-21,~M-00007-0,2
11-ZBNP-A,2010-03-20,Template1,626,2010-03-21,~M-00007-0,2
11-ZBV7-X,2010-03-20,Template1,627,2010-03-21,~M-00007-0,2
11-ZBWW-A,2010-03-20,Template1,628,2010-03-21,~M-00007-0,2
11-ZBXY-X,2010-03-20,Template1,629,2010-03-21,~M-00007-0,2
11-ZC03-A,2010-03-20,Template1,630,2010-03-21,~M-00007-0,2
11-ZC14-A,2010-03-20,Template1,631,2010-03-21,~M-00007-0,2
11-ZC2N-A,2010-03-20,Template1,632,2010-03-21,~M-00007-0,2
11-ZC2Y-A,2010-03-20,Template1,633,2010-03-21,~M-00007-0,2
11-ZCC3-A,2010-03-20,Template1,634,2010-03-21,~M-00007-0,2
11-ZCF9-A,2010-03-20,Template1,635,2010-03-21,~M-00007-0,2
11-ZCHT-E,2010-03-20,Template1,636,2010-03-21,~M-00007-0,2
11-ZCHY-A,2010-03-20,Template1,637,2010-03-21,~M-00007-0,2
11-ZCHZ-A,2010-03-20,Template1,638,2010-03-21,~M-00007-0,2
11-ZCKV-A,2010-03-20,Template1,639,2010-03-21,~M-00007-0,2
11-ZCN4-E,2010-03-20,Template1,640,2010-03-21,~M-00007-0,2
11-ZCR9-E,2010-03-20,Template1,641,2010-03-21,~M-00007-0,2
11-ZCTH-A,2010-03-20,Template1,642,2010-03-21,~M-00007-0,2
11-ZCV9-A,2010-03-20,Template1,643,2010-03-21,~M-00007-0,2
11-ZCV9-B,2010-03-20,Template1,644,2010-03-21,~M-00007-0,2
11-ZD14-A,2010-03-20,Template1,645,2010-03-21,~M-00007-0,2
11-ZD6K-A,2010-03-20,Template1,646,2010-03-21,~M-00007-0,2
11-ZD7Y-A,2010-03-20,Template1,647,2010-03-21,~M-00007-0,2
11-ZD8K-E,2010-03-20,Template1,648,2010-03-21,~M-00007-0,2
11-ZDBT-A,2010-03-20,Template1,649,2010-03-21,~M-00007-0,2
11-ZDBT-E,2010-03-20,Template1,650,2010-03-21,~M-00007-0,2
11-ZDBX-A,2010-03-20,Template1,651,2010-03-21,~M-00007-0,2
11-ZDGZ-E,2010-03-20,Template1,652,2010-03-21,~M-00007-0,2
11-ZDH2-A,2010-03-20,Template1,653,2010-03-21,~M-00007-0,2
11-ZDQT-E,2010-03-20,Template1,654,2010-03-21,~M-00007-0,2
11-ZDT1-A,2010-03-20,Template1,655,2010-03-21,~M-00007-0,2
11-ZDTY-A,2010-03-20,Template1,656,2010-03-21,~M-00007-0,2
11-ZDTY-B,2010-03-20,Template1,657,2010-03-21,~M-00007-0,2
11-ZDXR-E,2010-03-20,Template1,658,2010-03-21,~M-00007-0,2
11-ZDZ2-A,2010-03-20,Template1,659,2010-03-21,~M-00007-0,2
11-ZDZX-E,2010-03-20,Template1,660,2010-03-21,~M-00007-0,2
11-ZF0X-A,2010-03-20,Template1,661,2010-03-21,~M-00007-0,2
11-ZF60-A,2010-03-20,Template1,662,2010-03-21,~M-00007-0,2
11-ZF79-A,2010-03-20,Template1,663,2010-03-21,~M-00007-0,2
11-ZF8Y-A,2010-03-20,Template1,664,2010-03-21,~M-00007-0,2
11-ZFF7-A,2010-03-20,Template1,665,2010-03-21,~M-00007-0,2
11-ZFF7-B,2010-03-20,Template1,666,2010-03-21,~M-00007-0,2
11-ZFFR-A,2010-03-20,Template1,667,2010-03-21,~M-00007-0,2
11-ZFK4-A,2010-03-20,Template1,668,2010-03-21,~M-00007-0,2
11-ZFNZ-A,2010-03-20,Template1,669,2010-03-21,~M-00007-0,2
11-ZFW8-A,2010-03-20,Template1,670,2010-03-21,~M-00007-0,2
11-ZFXG-A,2010-03-20,Template1,671,2010-03-21,~M-00007-0,2
11-ZFYR-A,2010-03-20,Template1,672,2010-03-21,~M-00007-0,2
11-ZFYR-B,2010-03-20,Template1,673,2010-03-21,~M-00007-0,2
11-ZFZH-A,2010-03-20,Template1,674,2010-03-21,~M-00007-0,2
11-ZFZH-B,2010-03-20,Template1,675,2010-03-21,~M-00007-0,2
11-ZG12-A,2010-03-20,Template1,676,2010-03-21,~M-00007-0,2
11-ZG2Z-E,2010-03-20,Template1,677,2010-03-21,~M-00007-0,2
11-ZG6K-A,2010-03-20,Template1,678,2010-03-21,~M-00007-0,2
11-ZG81-A,2010-03-20,Template1,679,2010-03-21,~M-00007-0,2
11-ZGFK-X,2010-03-20,Template1,680,2010-03-21,~M-00007-0,2
11-ZGT9-A,2010-03-20,Template1,681,2010-03-21,~M-00007-0,2
11-ZGTR-A,2010-03-20,Template1,682,2010-03-21,~M-00007-0,2
11-ZGZ3-A,2010-03-20,Template1,683,2010-03-21,~M-00007-0,2
11-ZH0T-A,2010-03-20,Template1,684,2010-03-21,~M-00007-0,2
11-ZH16-A,2010-03-20,Template1,685,2010-03-21,~M-00007-0,2
11-ZH18-A,2010-03-20,Template1,686,2010-03-21,~M-00007-0,2
11-ZH6Y-A,2010-03-20,Template1,687,2010-03-21,~M-00007-0,2
11-ZH7V-A,2010-03-20,Template1,688,2010-03-21,~M-00007-0,2
11-ZH9Z-A,2010-03-20,Template1,689,2010-03-21,~M-00007-0,2
11-ZHA1-A,2010-03-20,Template1,690,2010-03-21,~M-00007-0,2
11-ZHAG-A,2010-03-20,Template1,691,2010-03-21,~M-00007-0,2
11-ZHD5-E,2010-03-20,Template1,692,2010-03-21,~M-00007-0,2
11-ZHDR-E,2010-03-20,Template1,693,2010-03-21,~M-00007-0,2
11-ZHH4-A,2010-03-20,Template1,694,2010-03-21,~M-00007-0,2
11-ZHK7-A,2010-03-20,Template1,695,2010-03-21,~M-00007-0,2
11-ZHKN-A,2010-03-20,Template1,696,2010-03-21,~M-00007-0,2
11-ZHKZ-A,2010-03-20,Template1,697,2010-03-21,~M-00007-0,2
11-ZHN7-A,2010-03-20,Template1,698,2010-03-21,~M-00007-0,2
11-ZHVN-A,2010-03-20,Template1,699,2010-03-21,~M-00007-0,2
11-ZHX1-A,2010-03-20,Template1,700,2010-03-21,~M-00007-0,2
11-ZHXN-A,2010-03-20,Template1,701,2010-03-21,~M-00007-0,2
11-ZHYZ-A,2010-03-20,Template1,702,2010-03-21,~M-00007-0,2
11-ZKAH-A,2010-03-20,Template1,703,2010-03-21,~M-00007-0,2
11-ZKD6-A,2010-03-20,Template1,704,2010-03-21,~M-00007-0,2
11-ZKGH-X,2010-03-20,Template1,705,2010-03-21,~M-00007-0,2
11-ZKH3-A,2010-03-20,Template1,706,2010-03-21,~M-00007-0,2
11-ZKHH-A,2010-03-20,Template1,707,2010-03-21,~M-00007-0,2
11-ZKK7-A,2010-03-20,Template1,708,2010-03-21,~M-00007-0,2
11-ZKQ2-A,2010-03-20,Template1,709,2010-03-21,~M-00007-0,2
11-ZKQW-A,2010-03-20,Template1,710,2010-03-21,~M-00007-0,2
12-0297-E,2010-03-20,Template1,711,2010-03-21,~M-00007-0,2
12-0487-E,2010-03-20,Template1,712,2010-03-21,~M-00007-0,2
12-0487-S,2010-03-20,Template1,713,2010-03-21,~M-00007-0,2
12-0518-E,2010-03-20,Template1,714,2010-03-21,~M-00007-0,2
12-0605-E,2010-03-20,Template1,715,2010-03-21,~M-00007-0,2
12-0605-T,2010-03-20,Template1,716,2010-03-21,~M-00007-0,2
12-0810-T,2010-03-20,Template1,717,2010-03-21,~M-00007-0,2
12-0830-A,2010-03-20,Template1,718,2010-03-21,~M-00007-0,2
12-1827-E,2010-03-20,Template1,719,2010-03-21,~M-00007-0,2
12-6111-E,2010-03-20,Template1,720,2010-03-21,~M-00007-0,2
12-6111-X,2010-03-20,Template1,721,2010-03-21,~M-00007-0,2
12-6787-A,2010-03-20,Template1,722,2010-03-21,~M-00007-0,2
12-8828-E,2010-03-20,Template1,723,2010-03-21,~M-00007-0,2
12-8828-X,2010-03-20,Template1,724,2010-03-21,~M-00007-0,2
12-9598-E,2010-03-20,Template1,725,2010-03-21,~M-00007-0,2
12-D002-A,2010-03-20,Template1,726,2010-03-21,~M-00007-0,2
12-D044-A,2010-03-20,Template1,727,2010-03-21,~M-00007-0,2
12-D829-E,2010-03-20,Template1,728,2010-03-21,~M-00007-0,2
12-D858-E,2010-03-20,Template1,729,2010-03-21,~M-00007-0,2
12-D859-E,2010-03-20,Template1,730,2010-03-21,~M-00007-0,2
1A-04C8-E,2010-03-20,Template1,731,2010-03-21,~M-00007-0,2
1A-0Q11-E,2010-03-20,Template1,732,2010-03-21,~M-00007-0,2
1A-0Q64-A,2010-03-20,Template1,733,2010-03-21,~M-00007-0,2
1A-0QAW-A,2010-03-20,Template1,734,2010-03-21,~M-00007-0,2
1A-0QBY-E,2010-03-20,Template1,735,2010-03-21,~M-00007-0,2
1A-1C4G-E,2010-03-20,Template1,736,2010-03-21,~M-00007-0,2
1A-1FGR-E,2010-03-20,Template1,737,2010-03-21,~M-00007-0,2
1A-1FKX-E,2010-03-20,Template1,738,2010-03-21,~M-00007-0,2
1A-2G69-A,2010-03-20,Template1,739,2010-03-21,~M-00007-0,2
1A-2RT8-E,2010-03-20,Template1,740,2010-03-21,~M-00007-0,2
1A-3F42-A,2010-03-20,Template1,741,2010-03-21,~M-00007-0,2
1A-3F8H-E,2010-03-20,Template1,742,2010-03-21,~M-00007-0,2
1A-3G3W-E,2010-03-20,Template1,743,2010-03-21,~M-00007-0,2
1A-3GFY-E,2010-03-20,Template1,744,2010-03-21,~M-00007-0,2
1A-3GV9-A,2010-03-20,Template1,745,2010-03-21,~M-00007-0,2
1A-3GWY-E,2010-03-20,Template1,746,2010-03-21,~M-00007-0,2
1A-3VGQ-E,2010-03-20,Template1,747,2010-03-21,~M-00007-0,2
1A-446W-E,2010-03-20,Template1,748,2010-03-21,~M-00007-0,2
1A-446W-F,2010-03-20,Template1,749,2010-03-21,~M-00007-0,2
1A-4A45-F,2010-03-20,Template1,750,2010-03-21,~M-00007-0,2
1A-4AZ9-E,2010-03-20,Template1,751,2010-03-21,~M-00007-0,2
1A-4AZ9-F,2010-03-20,Template1,752,2010-03-21,~M-00007-0,2
1A-4B40-E,2010-03-20,Template1,753,2010-03-21,~M-00007-0,2
1A-4B8R-X,2010-03-20,Template1,754,2010-03-21,~M-00007-0,2
1A-4BG7-E,2010-03-20,Template1,755,2010-03-21,~M-00007-0,2
1A-4BT5-E,2010-03-20,Template1,756,2010-03-21,~M-00007-0,2
1A-4CC0-E,2010-03-20,Template1,757,2010-03-21,~M-00007-0,2
1A-4CFV-E,2010-03-20,Template1,758,2010-03-21,~M-00007-0,2
1A-4CFV-F,2010-03-20,Template1,759,2010-03-21,~M-00007-0,2
1A-4CRR-A,2010-03-20,Template1,760,2010-03-21,~M-00007-0,2
1A-4V38-E,2010-03-20,Template1,761,2010-03-21,~M-00007-0,2
1A-4XBV-E,2010-03-20,Template1,762,2010-03-21,~M-00007-0,2
1A-51Q5-E,2010-03-20,Template1,763,2010-03-21,~M-00007-0,2
1A-5238-E,2010-03-20,Template1,764,2010-03-21,~M-00007-0,2
1A-58G2-E,2010-03-20,Template1,765,2010-03-21,~M-00007-0,2
1A-58G2-F,2010-03-20,Template1,766,2010-03-21,~M-00007-0,2
1A-5R72-A,2010-03-20,Template1,767,2010-03-21,~M-00007-0,2
1A-5T8H-E,2010-03-20,Template1,768,2010-03-21,~M-00007-0,2
1A-5VF1-A,2010-03-20,Template1,769,2010-03-21,~M-00007-0,2
1A-5VW1-A,2010-03-20,Template1,770,2010-03-21,~M-00007-0,2
1A-5WF4-A,2010-03-20,Template1,771,2010-03-21,~M-00007-0,2
1A-5WF4-E,2010-03-20,Template1,772,2010-03-21,~M-00007-0,2
1A-5ZC1-A,2010-03-20,Template1,773,2010-03-21,~M-00007-0,2
1A-66QX-A,2010-03-20,Template1,774,2010-03-21,~M-00007-0,2
1A-67B8-E,2010-03-20,Template1,775,2010-03-21,~M-00007-0,2
1A-6H5X-E,2010-03-20,Template1,776,2010-03-21,~M-00007-0,2
1A-6H5X-F,2010-03-20,Template1,777,2010-03-21,~M-00007-0,2
1A-6KAG-A,2010-03-20,Template1,778,2010-03-21,~M-00007-0,2
1A-6NN6-A,2010-03-20,Template1,779,2010-03-21,~M-00007-0,2
1A-6R39-E,2010-03-20,Template1,780,2010-03-21,~M-00007-0,2
1A-6RK6-A,2010-03-20,Template1,781,2010-03-21,~M-00007-0,2
1A-6RK6-B,2010-03-20,Template1,782,2010-03-21,~M-00007-0,2
1A-7A19-A,2010-03-20,Template1,783,2010-03-21,~M-00007-0,2
1A-7N9Q-A,2010-03-20,Template1,784,2010-03-21,~M-00007-0,2
1A-7Q23-A,2010-03-20,Template1,785,2010-03-21,~M-00007-0,2
1A-7Q35-A,2010-03-20,Template1,786,2010-03-21,~M-00007-0,2
1A-7Q38-E,2010-03-20,Template1,787,2010-03-21,~M-00007-0,2
1A-7QB9-E,2010-03-20,Template1,788,2010-03-21,~M-00007-0,2
1A-A3B7-E,2010-03-20,Template1,789,2010-03-21,~M-00007-0,2
1A-A3B7-F,2010-03-20,Template1,790,2010-03-21,~M-00007-0,2
1A-A3X6-A,2010-03-20,Template1,791,2010-03-21,~M-00007-0,2
1A-AFCE-E,2010-03-20,Template1,792,2010-03-21,~M-00007-0,2
1A-AGB6-A,2010-03-20,Template1,793,2010-03-21,~M-00007-0,2
1A-AYBE-E,2010-03-20,Template1,794,2010-03-21,~M-00007-0,2
1A-B58X-A,2010-03-20,Template1,795,2010-03-21,~M-00007-0,2
1A-B58X-E,2010-03-20,Template1,796,2010-03-21,~M-00007-0,2
1A-B667-A,2010-03-20,Template1,797,2010-03-21,~M-00007-0,2
1A-B693-A,2010-03-20,Template1,798,2010-03-21,~M-00007-0,2
1A-B693-E,2010-03-20,Template1,799,2010-03-21,~M-00007-0,2
1A-B6Q5-E,2010-03-20,Template1,800,2010-03-21,~M-00007-0,2
1A-B6QG-A,2010-03-20,Template1,801,2010-03-21,~M-00007-0,2
1A-B6XV-E,2010-03-20,Template1,802,2010-03-21,~M-00007-0,2
1A-BF8E-A,2010-03-20,Template1,803,2010-03-21,~M-00007-0,2
1A-BK7E-E,2010-03-20,Template1,804,2010-03-21,~M-00007-0,2
1A-BRW0-X,2010-03-20,Template1,805,2010-03-21,~M-00007-0,2
1A-BV1Y-A,2010-03-20,Template1,806,2010-03-21,~M-00007-0,2
1A-BV1Y-B,2010-03-20,Template1,807,2010-03-21,~M-00007-0,2
