Acct. No.	Source	Settlement	Security	Rate	Note	Name	Manual Invest. Cost	MV Ind.	Invest. Cap. G/L	Interest Portion	Description	Client No.	Cash Flow	Processing	Transaction	IA Code	Type	Symbol	Quantity	Price	Cur.	Total	Commission	Gains/Losses	Accrued Int.	Fees	Manual ACB	Cash Balance
800082-SF	ACHAT	01/28/2010	687153	1.00000000		NEVINS BENNETT	0.000		0.00	0.00	UNILEVER N V N.Y SH	800082	0.00	01/25/2010	01/25/2010	BD88	Buy	UN	300	31.230	USD	(9,369.00)	0.00	0.00	0.00	0.00	0.000	(8,428.31)
800082-RE	VENTE	01/28/2010	B68926	1.00000000		NEVINS BENNETT	0.000		(233.84)	0.00	FIN QUEBEC-M FL/RT 1DC10Q	800082	0.00	01/25/2010	01/25/2010	BD88	Sell	B68926	(68,890)	100.020	CAD	68,953.24	0.00	(233.84)	49.26	0.00	0.000	74,399.78
800082-RE	VENTE	01/28/2010	Q50015	1.00000000		NEVINS BENNETT	0.000		(317.25)	0.00	MONTREAL      V/R  20DC12	800082	0.00	01/25/2010	01/25/2010	BD88	Sell	Q50015	(31,725)	99.000	CAD	31,425.83	0.00	(317.25)	18.08	0.00	0.000	5,446.54
800082-RE	INT	01/25/2010	R40289	1.00000000		NEVINS BENNETT	0.000		0.00	0.00	BOARDWLK S-A 5.61% 23JA12	800082	0.00	01/25/2010	01/25/2010	BD88	Interest	R40289	23,700	0.000	CAD	670.25	0.00	0.00	0.00	0.00	0.000	(25,979.29)
800082-RE	ACHAT	01/28/2010	X35404	1.00000000		NEVINS BENNETT	0.000		0.00	0.00	VIDEOTR C15 7.125% 15JA20	800082	0.00	01/25/2010	01/25/2010	BD88	Buy	X35404	50,000	102.750	CAD	(51,521.40)	0.00	0.00	(146.40)	0.00	0.000	(26,649.54)
800082-RE	VENTE	01/28/2010	355699	1.00000000		NEVINS BENNETT	0.000		3,068.61	0.00	ISHARES CD S&P/TSX EN ETF	800082	0.00	01/25/2010	01/25/2010	BD88	Sell	XEG	(870)	18.060	CAD	15,712.20	0.00	3,068.61	0.00	0.00	0.000	24,871.86
800082-RE	VENTE	01/28/2010	594615	1.00000000		NEVINS BENNETT	0.000		4,421.33	0.00	SNC-LAVALIN GROUP	800082	0.00	01/25/2010	01/25/2010	BD88	Sell	SNC	(200)	52.300	CAD	10,460.00	0.00	4,421.33	0.00	0.00	0.000	9,159.66
800082-RE	ACHAT	01/28/2010	679010	1.00000000		NEVINS BENNETT	0.000		0.00	0.00	TRANSCANADA CORP	800082	0.00	01/25/2010	01/25/2010	BD88	Buy	TRP	200	34.950	CAD	(6,990.00)	0.00	0.00	0.00	0.00	0.000	(1,300.34)
800082-FS	INT	01/25/2010	R40289	1.00000000		NEVINS BENNETT	0.000		0.00	0.00	BOARDWLK S-A 5.61% 23JA12	800082	0.00	01/25/2010	01/25/2010	BD88	Interest	R40289	1,300	0.000	CAD	36.77	0.00	0.00	0.00	0.00	0.000	12,919.00
800081-LY	INT	01/25/2010	V46119	1.00000000		BROGAN CLARENCE	0.000		0.00	0.00	LBC FX-11 4.9%-F/R 25JA16	800081	0.00	01/25/2010	01/25/2010	BD66	Interest	V46119	14,000	0.000	CAD	343.00	0.00	0.00	0.00	0.00	0.000	1,958.90
800079-NA	INT	01/25/2010	V46119	1.00000000		KLINGMAN AILLEEN	0.000		0.00	0.00	LBC FX-11 4.9%-F/R 25JA16	800079	0.00	01/25/2010	01/25/2010	BD66	Interest	V46119	13,000	0.000	CAD	318.50	0.00	0.00	0.00	0.00	0.000	642.14
800079-GT	INT	01/25/2010	V46119	1.00000000		KLINGMAN AILLEEN	0.000		0.00	0.00	LBC FX-11 4.9%-F/R 25JA16	800079	0.00	01/25/2010	01/25/2010	BD66	Interest	V46119	14,000	0.000	CAD	343.00	0.00	0.00	0.00	0.00	0.000	1,185.97
800075-SF	CONV$	01/25/2010		1.00000000		BORTOLUS BRITES	0.000		0.00	0.00	BALANCE ( USD )	800075	(15,918.60)	01/25/2010	01/25/2010	BD88	Transfer	1USD	0.00	0.000	USD	(15,918.60)	0.00	0.00	0.00	0.00	0.000	85.00
800075-SF	DIV	01/25/2010	278309	1.00000000		BORTOLUS BRITES	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800075	0.00	01/25/2010	01/25/2010	BD88	Dividends	GE	1,000	0.000	USD	85.00	0.00	0.00	0.00	15.00	0.000	16,003.60
800075-RE	CONV$	01/25/2010		1.00000000		BORTOLUS BRITES	0.000		0.00	0.00	BALANCE ( CAD )	800075	16,714.53	01/25/2010	01/25/2010	BD88	Transfer	1CAD	0.00	0.000	CAD	16,714.53	0.00	0.00	0.00	0.00	0.000	69,818.98
800075-RE	ACHAT	01/28/2010	M02900	1.00000000		BORTOLUS BRITES	0.000		0.00	0.00	INT-PROV QUEBEC    21SP21	800075	0.00	01/25/2010	01/25/2010	BD88	Buy	M02900	60,823	57.543	CAD	(34,999.48)	0.00	0.00	0.00	0.00	0.000	53,104.45
800074-SF	DIV	01/25/2010	278309	1.00000000		OSER ALEXANDRIA	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800074	0.00	01/25/2010	01/25/2010	BD66	Dividends	GE	400	0.000	USD	34.00	0.00	0.00	0.00	6.00	0.000	2,745.40
800074-RE	INT	01/25/2010	Q61649	1.00000000		OSER ALEXANDRIA	0.000		0.00	0.00	QUE URB COMM   11% 23JA11	800074	0.00	01/25/2010	01/25/2010	BD66	Interest	Q61649	22,000	0.000	CAD	1,210.00	0.00	0.00	0.00	0.00	0.000	4,250.44
800073-NA	INT	01/25/2010	Q47689	1.00000000		PLATINE CHARTIER	0.000		0.00	0.00	VAUDR-DOR BEO 4.5% 25JL11	800073	0.00	01/25/2010	01/25/2010	AC42	Interest	Q47689	33,000	0.000	CAD	742.50	0.00	0.00	0.00	0.00	0.000	12,942.57
800069-LV	DIV	01/25/2010	278309	1.00000000		MAHEU MATHIEU	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800069	0.00	01/25/2010	01/25/2010	BD88	Dividends	GE	165	0.000	CAD	17.46	0.00	0.00	0.00	0.00	0.000	4,501.46
800067-SF	DIV	01/25/2010	278309	1.00000000		STEADWARD ANTOIN	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800067	0.00	01/25/2010	01/25/2010	BD66	Dividends	GE	135	0.000	USD	11.47	0.00	0.00	0.00	2.03	0.000	3,453.39
800067-RE	DIV	01/25/2010	146889	1.00000000		STEADWARD ANTOIN	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800067	0.00	01/25/2010	01/25/2010	BD66	Dividends	CP	255	0.000	CAD	63.11	0.00	0.00	0.00	0.00	0.000	10,723.72
800067-OB	VENTE	01/28/2010	538579	1.00000000		STEADWARD ANTOIN	0.000		51.03	0.00	PEPSICO INC	800067	0.00	01/25/2010	01/25/2010	BD66	Sell	PEP	(10)	60.393	USD	603.92	0.00	51.03	0.00	0.01	0.000	1,523.77
800067-OB	SPLIT	01/25/2010	682857	1.00000000		STEADWARD ANTOIN	0.000		0.00	0.00	TRINA SOLAR LTD    SP/ADR	800067	0.00	01/25/2010	01/25/2010	BD66	Split	TSL	15	0.000	USD	0.00	0.00	0.00	0.00	0.00	0.000	919.85
800067-OB	ACHAT	01/28/2010	682857	1.00000000		STEADWARD ANTOIN	0.000		0.00	0.00	TRINA SOLAR LTD    SP/ADR	800067	0.00	01/25/2010	01/25/2010	BD66	Buy	TSL	17	21.930	USD	(372.81)	0.00	0.00	0.00	0.00	0.000	919.85
800066-ZM	DRIP	01/22/2010	995707	1.00000000	Loader:Price received is 0 or NULL, using 13.177	APPEL BERVERLY	0.000		0.00	0.00	MCK SEN BOND-A    /N	800066	0.00	01/25/2010	01/22/2010	AC42	Dividends	MFC432	2.004	13.177	CAD	0.00	0.00	0.00	0.00	0.00	0.000	2,725.53
800066-GT	DRIP	01/22/2010	995721	1.00000000	Loader:Price received is 0 or NULL, using 13.177	APPEL BERVERLY	0.000		0.00	0.00	MCK SEN BOND-A  /D/N	800066	0.00	01/25/2010	01/22/2010	AC42	Dividends	MFC302	1.460	13.177	CAD	0.00	0.00	0.00	0.00	0.00	0.000	13,445.90
800062-OB	DIV	01/25/2010	278309	1.00000000		ISSENMAN AMALIE	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800062	0.00	01/25/2010	01/25/2010	AC42	Dividends	GE	200	0.000	USD	17.00	0.00	0.00	0.00	3.00	0.000	35,682.15
800059-FS	INT	01/25/2010	Q61649	1.00000000		CAPEK ADRIANA	0.000		0.00	0.00	QUE URB COMM   11% 23JA11	800059	0.00	01/25/2010	01/25/2010	AC42	Interest	Q61649	5,012	0.000	CAD	275.66	0.00	0.00	0.00	0.00	0.000	5,393.06
800058-RE	DIV	01/25/2010	278309	1.00000000		BELLINI CARILYNE	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800058	0.00	01/25/2010	01/25/2010	AC42	Dividends	GE	65	0.000	CAD	5.84	0.00	0.00	0.00	1.04	0.000	6,765.89
800058-FS	INT	01/25/2010	Q61649	1.00000000		BELLINI CARILYNE	0.000		0.00	0.00	QUE URB COMM   11% 23JA11	800058	0.00	01/25/2010	01/25/2010	AC42	Interest	Q61649	1,400	0.000	CAD	77.00	0.00	0.00	0.00	0.00	0.000	2,612.16
800056-FS	INT	01/25/2010	Q61649	1.00000000		ARAMBASICH BETTI	0.000		0.00	0.00	QUE URB COMM   11% 23JA11	800056	0.00	01/25/2010	01/25/2010	AC42	Interest	Q61649	6,689	0.000	CAD	367.90	0.00	0.00	0.00	0.00	0.000	368.09
800054-FS	DIV	01/25/2010	278309	1.00000000		SKRUNDZ BEAUDOIN	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800054	0.00	01/25/2010	01/25/2010	BD88	Dividends	GE	40	0.000	CAD	4.23	0.00	0.00	0.00	0.00	0.000	16,845.54
800053-NA	DRIP	01/22/2010	995752	1.00000000	Loader:Price received is 0 or NULL, using 17.306	MALO BEAULIEU	0.000		0.00	0.00	MCK MAXX DIV GW /D/N	800053	0.00	01/25/2010	01/22/2010	BD66	Dividends	MFC285	2.440	17.306	CAD	0.00	0.00	0.00	0.00	0.00	0.000	8,754.62
800053-FS	DRIP	01/22/2010	995752	1.00000000	Loader:Price received is 0 or NULL, using 17.306	MALO BEAULIEU	0.000		0.00	0.00	MCK MAXX DIV GW /D/N	800053	0.00	01/25/2010	01/22/2010	BD66	Dividends	MFC285	4.261	17.306	CAD	0.00	0.00	0.00	0.00	0.00	0.000	728.25
800049-OB	DIV	01/25/2010	278309	1.00000000		ARMAND ARVIS	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800049	0.00	01/25/2010	01/25/2010	AC42	Dividends	GE	300	0.000	USD	25.50	0.00	0.00	0.00	4.50	0.000	9,180.42
800048-NA	EFT	01/29/2010		1.00000000		KADOTA ALOURDES	0.000		0.00	0.00	BALANCE ( CAD )	800048	(2,000.00)	01/25/2010	01/25/2010	AC55	Withdrawal	1CAD	0.00	0.000	CAD	(2,000.00)	0.00	0.00	0.00	0.00	0.000	(464.60)
800046-NA	DIV	01/25/2010	278309	1.00000000		FRESEY CHRISTINE	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800046	0.00	01/25/2010	01/25/2010	AC55	Dividends	GE	112	0.000	CAD	10.07	0.00	0.00	0.00	1.78	0.000	8,391.61
800043-SF	DIV	01/25/2010	278309	1.00000000		OLEKSIEW ADRESSE	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800043	0.00	01/25/2010	01/25/2010	AC42	Dividends	GE	400	0.000	USD	40.00	0.00	0.00	0.00	0.00	0.000	4,310.85
800041-NA	DIV	01/25/2010	146889	1.00000000		QUAGHEBEUR CAROL	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800041	0.00	01/25/2010	01/25/2010	AC44	Dividends	CP	1,100	0.000	CAD	272.25	0.00	0.00	0.00	0.00	0.000	143,256.11
800041-FS	TXPDDV	01/25/2010	378025	1.00000000		QUAGHEBEUR CAROL	0.000		0.00	0.00	LABRADOR IRON ORE-RYL T/U	800041	0.00	01/25/2010	01/25/2010	AC44	Dividends	LIF.UN	1,800	0.000	CAD	900.00	0.00	0.00	0.00	0.00	0.000	94,546.82
800035-HU	DIV	01/25/2010	146889	1.00000000		POTYONDY ADAMS	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800035	0.00	01/25/2010	01/25/2010	AC44	Dividends	CP	200	0.000	CAD	49.50	0.00	0.00	0.00	0.00	0.000	5,572.69
800030-GT	MFDIV	01/22/2010	982298	1.00000000		MCNEIL BELISLE	0.000		0.00	0.00	MCK SEN CORP BND-A/N	800030	0.00	01/25/2010	01/22/2010	AC55	Dividends	MFC756	0.000	0.000	CAD	50.92	0.00	0.00	0.00	0.00	0.000	15,516.50
800022-NA	DIV	01/25/2010	278309	1.00000000		SCARLETT BLAIR	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800022	0.00	01/25/2010	01/25/2010	AC44	Dividends	GE	500	0.000	CAD	44.96	0.00	0.00	0.00	7.94	0.000	4,410.32
800021-NA	EFT	01/29/2010		1.00000000		GARTON BAYNE	0.000		0.00	0.00	BALANCE ( CAD )	800021	(4,000.00)	01/25/2010	01/25/2010	AC44	Withdrawal	1CAD	0.00	0.000	CAD	(4,000.00)	0.00	0.00	0.00	0.00	0.000	(4,000.00)
800021-NA	SELL	01/25/2010	991531	1.00000000		GARTON BAYNE	0.000		16.29	0.00	ALT H/I CSH PRF/NL/N	800021	0.00	01/25/2010	01/22/2010	AC44	Sell	NBC100	(1,488.220)	1.000	CAD	1,488.22	0.00	0.00	0.00	0.00	0.000	0.00
800021-FS	INT	01/25/2010	V46119	1.00000000		GARTON BAYNE	0.000		0.00	0.00	LBC FX-11 4.9%-F/R 25JA16	800021	0.00	01/25/2010	01/25/2010	AC44	Interest	V46119	46,750	0.000	CAD	1,145.38	0.00	0.00	0.00	0.00	0.000	(26,713.18)
800021-FS	BUY	01/28/2010	163252	1.00000000		GARTON BAYNE	0.000		0.00	0.00	CLAYM JPN FD IND ETF C$HD	800021	0.00	01/25/2010	01/25/2010	AC44	Buy	CJP	900	9.610	CAD	(8,854.41)	205.41	0.00	0.00	0.00	0.000	(27,858.56)
800021-FS	TXPDDV	01/25/2010	342516	1.00000000		GARTON BAYNE	0.000		0.00	0.00	INNERGEX POWER INC FD T/U	800021	0.00	01/25/2010	01/25/2010	AC44	Dividends	IEF.UN	2,000	0.000	CAD	166.68	0.00	0.00	0.00	0.00	0.000	(19,004.15)
800021-FS	BUY	01/28/2010	355701	1.00000000		GARTON BAYNE	0.000		0.00	0.00	ISHARES CDN MSCI C$ ETF	800021	0.00	01/25/2010	01/25/2010	AC44	Buy	XIN	500	17.670	CAD	(9,042.62)	207.62	0.00	0.00	0.00	0.000	(19,170.83)
800021-FS	BUY	01/28/2010	356136	1.00000000		GARTON BAYNE	0.000		0.00	0.00	ISHARES CDN MSCI EMRG ETF	800021	0.00	01/25/2010	01/25/2010	AC44	Buy	XEM	375	23.950	CAD	(9,194.55)	213.30	0.00	0.00	0.00	0.000	(10,128.21)
800021-FS	BUY	01/28/2010	399715	1.00000000		GARTON BAYNE	0.000		0.00	0.00	ISHARES CDN RUSS 2000 ETF	800021	0.00	01/25/2010	01/25/2010	AC44	Buy	XSU	650	13.580	CAD	(9,036.64)	209.64	0.00	0.00	0.00	0.000	(933.66)
800020-RE	WDEFT	01/22/2010		1.00000000		MAKRIS ACACIA	0.000		0.00	0.00	BALANCE ( CAD )	800020	(47.65)	01/25/2010	01/22/2010	AC42	Withdrawal	1CAD	0.00	0.000	CAD	(47.65)	0.00	0.00	0.00	0.00	0.000	113,045.51
800013-OB	BUY	01/28/2010	198086	1.00000000		LANDRY BERNARDIN	0.000		0.00	0.00	CO-OP GEN INS 5%-E S-C PF	800013	0.00	01/25/2010	01/25/2010	AC55	Buy	CCS.PR.C	600	19.450	CAD	(11,670.00)	0.00	0.00	0.00	0.00	0.000	55,541.99
800011-NA	SELL	01/25/2010	991531	1.00000000		YANIC GOBEILLE A	0.000		0.56	0.00	ALT H/I CSH PRF/NL/N	800011	0.00	01/25/2010	01/22/2010	AC42	Sell	NBC100	(4,100.000)	1.000	CAD	4,100.00	0.00	0.00	0.00	0.00	0.000	5,014.19
800010-JJ	INT	01/25/2010	R86864	1.00000000		DABADIE AMERICO	0.000		0.00	0.00	CWB GIC NCI 4.22% 24JA11A	800010	0.00	01/25/2010	01/25/2010	AC42	Interest	R86864	26,000	0.000	CAD	1,097.20	0.00	0.00	0.00	0.00	0.000	1,097.20
800008-OB	BUY	01/28/2010	033740	1.00000000		CHADILLON ANNEKE	0.000		0.00	0.00	APPLE INC	800008	0.00	01/25/2010	01/25/2010	AC42	Buy	AAPL	200	203.140	USD	(40,753.00)	125.00	0.00	0.00	0.00	0.000	233,938.96
800008-NA	DIV	01/25/2010	146889	1.00000000		CHADILLON ANNEKE	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800008	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	92	0.000	CAD	22.77	0.00	0.00	0.00	0.00	0.000	5,943.20
800007-NA	VENTE	01/25/2010	991531	1.00000000		CHADILLON ANNEKE	0.000		186.60	0.00	ALT H/I CSH PRF/NL/N	800007	0.00	01/25/2010	01/22/2010	AC42	Sell	NBC100	(79,000.000)	1.000	CAD	79,000.00	0.00	0.00	0.00	0.00	0.000	(811.54)
800006-NA	DIV	01/25/2010	146889	1.00000000		MCGILLICUDDY BLA	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800006	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	244	0.000	CAD	60.39	0.00	0.00	0.00	0.00	0.000	(22,607.83)
800006-GT	DIV	01/25/2010	146889	1.00000000		MCGILLICUDDY BLA	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800006	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	436	0.000	CAD	107.91	0.00	0.00	0.00	0.00	0.000	577.75
800003-NA	DIV	01/25/2010	146889	1.00000000		MARSTON BRITT	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800003	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	238	0.000	CAD	58.91	0.00	0.00	0.00	0.00	0.000	6,499.10
800002-NA	DIV	01/25/2010	146889	1.00000000		BEANLAND AUGUSTU	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800002	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	500	0.000	CAD	123.75	0.00	0.00	0.00	0.00	0.000	32,554.52
800001-OB	DIV	01/25/2010	278309	1.00000000		HEFFELFINGER ALA	0.000		0.00	0.00	GENERAL ELECTRIC COMPANY	800001	0.00	01/25/2010	01/25/2010	AC42	Dividends	GE	800	0.000	USD	68.00	0.00	0.00	0.00	12.00	0.000	46,832.77
800001-NA	DIV	01/25/2010	146889	1.00000000		HEFFELFINGER ALA	0.000		0.00	0.00	CANADIAN PACIFIC RAIL	800001	0.00	01/25/2010	01/25/2010	AC42	Dividends	CP	400	0.000	CAD	99.00	0.00	0.00	0.00	0.00	0.000	(15,381.69)
300015-NA	TRF	01/16/2010	059960	1.00000000	TRF-in ABX	TRXIONS WEEKEND	0.000		0.00	0.00	BARRICK GOLD CORP	300015	20,160.00	01/25/2010	01/16/2010	BD88	Transfer	ABX	500	23.540	CAD	0.00	0.00	0.00	0.00	0.00	0.000	3,292.60
300015-NA	ACH	07/10/2009	802708	1.00000000	CALL NA EXPIRE	TRXIONS WEEKEND	0.000		0.00	0.00	CALL-100 NA        JAN@60	300015	0.00	01/25/2010	07/08/2009	BD88	Buy	NA.AL	10	1.690	CAD	(1,707.40)	16.90	0.00	0.00	0.50	0.000	3,292.60
300015-NA	DEP	04/01/2009		1.00000000	Depot	TRXIONS WEEKEND	0.000		0.00	0.00	BALANCE ( CAD )	300015	5,000.00	01/25/2010	04/01/2009	BD88	Deposit	1CAD	0.00	0.000	CAD	5,000.00	0.00	0.00	0.00	0.00	0.000	5,000.00
300014-NA	ACH	01/26/2010	B87545	1.00000000	2e achat PROV CB	VALIDATION CR	0.000		0.00	0.00	PROV B.C.     5.7% 18JN29	300014	0.00	01/25/2010	01/22/2010	BD88	Buy	B87545	10,000	112.700	CAD	(11,331.57)	112.00	0.00	(61.07)	0.50	0.000	26,764.47
300014-NA	VEN	01/25/2010	M22762	1.05000000	INT-HYDRO QUE	VALIDATION CR	0.000		(451.66)	103.74	INT-HYDRO QUE  U$  13JA13	300014	0.00	01/25/2010	01/21/2010	BD88	Sell	M22762	(5,000)	93.500	USD	4,908.25	93.00	(451.66)	0.00	0.50	0.000	38,096.04
300014-NA	ACH	01/22/2010	M61475	1.00000000	OER période coupon	VALIDATION CR	0.000		0.00	0.00	PKG-ONT 9.5%  2JN18-2JN25	300014	0.00	01/25/2010	01/20/2010	BD88	Buy	M61475	10,000	90.000	CAD	(9,000.50)	90.00	0.00	0.00	0.50	0.000	33,187.79
300014-NA	REMB	01/15/2010	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	01/15/2010	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	42,188.29
300014-NA	INT	01/15/2010	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	01/15/2010	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	42,156.49
300014-NA	VEN	01/18/2010	L05144	1.00000000	Vente ACC BANC	VALIDATION CR	0.000		(1.44)	3.69	NBC BA              9MR10	300014	0.00	01/25/2010	01/14/2010	BD88	Sell	L05144	(10,000)	99.955	CAD	9,995.50	99.00	(1.44)	0.00	0.50	0.000	41,956.49
300014-NA	ACH	12/28/2009	M22762	1.05000000	INT-HYDRO QUE	VALIDATION CR	0.000		0.00	0.00	INT-HYDRO QUE  U$  13JA13	300014	0.00	01/25/2010	12/23/2009	BD88	Buy	M22762	10,000	93.000	USD	(9,765.50)	93.00	0.00	0.00	0.50	0.000	31,960.99
300014-NA	REMB	12/18/2009	B87545	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	PROV B.C.     5.7% 18JN29	300014	0.00	01/25/2010	12/18/2009	BD88	Redemption	B87545	10,000	0.000	CAD	85.00	0.00	0.00	0.00	0.00	0.000	41,726.49
300014-NA	INT	12/18/2009	B87545	1.00000000	Interet PROV C.B. 5.7%18JN29	VALIDATION CR	0.000		0.00	0.00	PROV B.C.     5.7% 18JN29	300014	0.00	01/25/2010	12/18/2009	BD88	Interest	B87545	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	41,641.49
300014-NA	REMB	12/15/2009	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	12/15/2009	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	41,441.49
300014-NA	INT	12/15/2009	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	12/15/2009	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	41,409.69
300014-NA	ACH	12/11/2009	L05144	1.00000000	ACC BANC remplace bon du trésor CAD	VALIDATION CR	0.000		0.00	0.00	NBC BA              9MR10	300014	0.00	01/25/2010	12/09/2009	BD88	Buy	L05144	20,000	99.900	CAD	(19,980.50)	194.00	0.00	0.00	0.50	0.000	41,209.69
300014-NA	REM	12/01/2009	M89953	1.00000000	Remb PRIN-Bell	VALIDATION CR	0.000		0.00	53.70	PRIN-B.C. PROV      1DC09	300014	0.00	01/25/2010	12/01/2009	BD88	Redemption	M89953	(20,000)	100.000	CAD	20,000.00	0.00	0.00	0.00	0.00	0.000	61,190.19
300014-NA	REMB	11/15/2009	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	11/15/2009	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	41,190.19
300014-NA	INT	11/15/2009	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	11/15/2009	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	41,158.39
300014-NA	REMB	10/15/2009	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	10/15/2009	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	40,958.39
300014-NA	INT	10/15/2009	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	10/15/2009	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	40,926.59
300014-NA	ACH	10/05/2009	M89953	1.00000000	PRIN BC remplace coupons détachés PRIN-Bell remb	VALIDATION CR	0.000		0.00	0.00	PRIN-B.C. PROV      1DC09	300014	0.00	01/25/2010	10/01/2009	BD88	Buy	M89953	10,000	99.953	CAD	(9,995.80)	98.50	0.00	0.00	0.50	0.000	40,726.59
300014-NA	REMB	09/15/2009	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	09/15/2009	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	50,722.39
300014-NA	INT	09/15/2009	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	09/15/2009	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	50,690.59
300014-NA	REMB	08/15/2009	V61248	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	08/15/2009	BD88	Redemption	V61248	0	0.000	CAD	31.80	0.00	0.00	0.00	0.00	0.000	50,490.59
300014-NA	INT	08/15/2009	V61248	1.00000000	MBS	VALIDATION CR	0.000		0.00	0.00	N45 CMBS-A2 4.636%15MR13M	300014	0.00	01/25/2010	08/15/2009	BD88	Interest	V61248	0	0.000	CAD	200.00	0.00	0.00	0.00	0.00	0.000	50,458.79
300014-NA	REMB	08/15/2009	M80675	1.00000000	REMB test CR799	VALIDATION CR	0.000		0.00	0.00	PKG-HYQ-11% 15FB96-15AG20	300014	0.00	01/25/2010	08/15/2009	BD88	Redemption	M80675	0	0.000	CAD	50.00	0.00	0.00	0.00	0.00	0.000	50,258.79
300014-NA	INT	08/15/2009	M80675	1.00000000	Interet	VALIDATION CR	0.000		0.00	0.00	PKG-HYQ-11% 15FB96-15AG20	300014	0.00	01/25/2010	08/15/2009	BD88	Interest	M80675	0	0.000	CAD	500.00	0.00	0.00	0.00	0.00	0.000	50,208.79
300014-NA	ACH	07/31/2009	M80675	1.00000000	OER période oblig	VALIDATION CR	0.000		0.00	0.00	PKG-HYQ-11% 15FB96-15AG20	300014	0.00	01/25/2010	07/29/2009	BD88	Buy	M80675	10,000	154.000	CAD	(15,904.92)	155.00	0.00	(504.42)	0.50	0.000	49,708.79
