Nom	No client	Code de CP	Téléphone 1	Téléphone 2	Solde	Devise	Revenu brut	carolet	Bouquet	bateau F	Bagage	Arbre F	Type tél. 4	Type tél. 3	Type tél. 2	Type tél. 1	Segmentation	Nom modèle	Nom complet	No modèle	Langue	Interlocuteur	Date de naissance	Courriel 3	Courriel 2	Courriel 1	Communication	Marge	Dern. Communication	Âge	Téléphone 3	Téléphone 4	Valeur totale
HOFFMAN ARRY	800249	BD88	(450) 555-6934	(450) 555-4795	"162 759,21"	CAD								3	2	1			ARRY HOFFMAN		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-2219		"21 360 941,40"
HOLLIS ACURA	800271	BD77	(450) 555-7821	(450) 555-9043	"0,00"	CAD						"78,00"		3	2	1			ACURA HOLLIS		Français	Non	1975-06-15			AURELIANO.CONNELL@yahoo.com		"0,00"		43	(450) 555-4080		"0,00"
HUMPHREY ANTONIN	800243	AC42	(450) 555-0805	(450) 555-6049	"511,06"	CAD								3	2	1			ANTONINE HUMPHREY		Français	Non	1959-10-11			ali.hachemi@croesus.com		"0,00"		59	(450) 555-3135		"96 755,89"
ISMAN CAHTERINE	800220	AC42	(450) 555-2470	(450) 555-4704	"0,00"	CAD								3	2	1			CAHTERINE ISMAN		Français	Non	1965-03-07			AUTOBUS.CARIGNAN@yahoo.com		"0,00"		53	(450) 555-0964		"0,00"
ISSENMAN AMALIE	800062	AC42	(450) 555-5792	(450) 555-5859	"40 424,08"	CAD								3	2	1			AMALIE ISSENMAN		Anglais	Non	1970-12-12			BRANT.BISSONETTE@caramail.com		"0,00"		47	(450) 555-3247		"235 515,87"
JAKOBSEN ANTONIU	800254	AC42	(450) 555-7000	(450) 555-6489	"0,00"	CAD								3	2	1			ANTONIUS JAKOBSEN		Français	Non	1981-08-12			ACAKIU.COOK@usa.net		"0,00"		37	(450) 555-5568		"0,00"
JANELLE CARLEY	800221	BD88			"3 265,27"	CAD								3	2	1			JANELLE CARLEY		Français	Non	1968-07-21			BERUBE.CARNOGURSKY@yahoo.com		"0,00"		50	(450) 555-5330		"643 757,68"
JANSEN BABCOCK	800078	BD88	(450) 555-0097	(450) 555-7078	"0,00"	CAD								3	2	1			BABCOCK JANSEN		Français	Non	1975-06-18			CHANTAL.BOURASSA@videotron.ca		"0,00"		43	(450) 555-6370		"0,00"
JOAN CAYLEY	800087	AC42	(450) 555-4064	(450) 555-0850	"12 409,99"	CAD								3	2	1			JOAN MCDOWALL		Anglais	Non	1975-06-18			BOIVIN.BRISSON@caramail.com		"0,00"		43	(450) 555-9125		"406 271,36"
KADOTA ALOURDES	800048	AC55	(450) 555-5398	(450) 555-5398	"35 147,92"	CAD								3	2	1			ALOURDES KADOTA		Français	Non	1968-02-03			BELLEROSE.BELVAN@yahoo.com		"0,00"		50	(450) 555-4403		"809 365,04"
KALA PERSON	800230-2	AC43	4506626102	5146626102	"17 537,50"	CAD								3	2	1			"Mme person Jr, Kala maître"		Français	Non	1970-07-21			Toto2@carmail.cr		"0,00"		48			"804 500,34"
KING MCKENZIE	800077	0AED	1234567890	9876543210	"8 066,27"	CAD	580 000							3	TYPE21	TYPE11			MCKENZIE KING		Français	Non	1975-06-18			Kach.Haja@CROESUS.COM		"0,00"		43	(450) 555-7381		"181 014,83"
KING MCKENZIE	800081-2	BD66	450 6626101B	1234567890	"2 758,48"	CAD								3	TiTi1	ToTo1			MCKENZIE KING		Français	Oui				Toto1@yahoo.ds		"0,00"					"432 140,27"
KINOSHITA CHARTR	800260	BD66	(450) 555-1222	(450) 555-2627	"562,82"	CAD								3	2	1			CHARTRAND KINOSHITA		Anglais	Non	1947-07-28			BARGAIN.RENALD@yahoo.com		"0,00"		71	(450) 555-7387		"716 778,62"
KLINGMAN AILLEEN	800079	BD66	(450) 555-5954	(450) 555-2795	"1 963,11"	CAD								3	2	1			AILLEEN KLINGMAN		Français	Non	1975-06-18			CARMINE.BOURDEAU($US)@caramail.com		"0,00"		43	(450) 555-6027		"824 818,01"
KNIGHT AMEDEE	800236	BD66			"128 382,85"	CAD	7			% en d'obligations canadiennes	"ceci est un long texte
 pour valider comment
 est interpréter les saut de ligne
dans info client et msword"	852.36		3	2	1			Mr. AMEDEE Jr. KNIGHT DR.		Français	Non	1959-10-11			CHEF.CHEVARIE@videotron.ca		"0,00"		59	(450) 555-0324		"2 941 391,97"
KNIGHT AMEDEE	900235	0AED			"93 297,43"	CAD								3	2	1			AMEDEE KNIGHT DR.		Français	Non	1959-10-11			email99@créca		"0,00"		59	777 888 9999		"1 993 044,04"
KROEGER BABE	800014	AC42	(450) 555-4622	(450) 555-8363	"0,00"	CAD								3	2	1			BABE KROEGER		Français	Non	1950-01-10			CHARTIER.ASSEDOU@videotron.ca		"0,00"		68	(450) 555-0128		"0,00"
LA FABRIQUE DE L	800036	AC44	4502638715F		"358 856,66"	CAD								3	2	OSSOTH2			LA FABRIQUE DE LA RESERVE DE NOTRE-DAME-DE-LAFRIQUE		Français	Non	1900-01-01			BERRTRAND.BAUDOUIN@yahoo.com		"0,00"		118	(450) 555-9221		"991 182,19"
LAFERRIERE BLAKE	800080-2	BD66	450 6626101B	1234567890	"5 005,94"	CAD	560 000							3	TiTi	ToTo			BLAKE LAFERRIERE		Français	Oui	1975-06-15			Toto@yahoo.ds		"0,00"		43			"895 925,09"
LAFERRIERE BLAKE	800272	0AED	1234567890	9876543210	"59 084,57"	CAD	200				Je fais un test de longueur de profil pour voir comment les informations sont imprimées sur les rapports information client. Il y a déjà eu un problème dans cette fonction et je veux m'assure que tout est OK.	452.36		3	TYPE21	TYPE11			BLAKE LAFERRIERE		Français	Non	1975-06-15			E12@CROESUS.COM		"0,00"		43	(450) 555-8881		"2 886 021,67"
LAFERRIERE BLAKE	900272	BD77	1234567890	9876543210	"0,00"	CAD			Numéro de titre			452.36		3	TYPE21	TYPE11			BLAKE LAFERRIERE		Français	Non	1975-06-15			E11@CROESUS.COM		"0,00"		43	777 888 9999		"0,00"
LANDRY BERNARDIN	800013	AC55	(450) 555-2336	(450) 555-7096	"88 540,53"	CAD								3	2	1			BERNARDIN LANDRY		Français	Non	1950-01-10			carole.turcotte@croesus.com		"0,00"		68	(450) 555-7846		"1 948 194,25"
LAPICO BERNICE	800218	AC42	(450) 555-6452	(450) 555-5224	"608,13"	CAD								3	2	1			BERNICE LAPICO		Français	Non	1965-03-07			BERT.CAPONI@yahoo.com		"0,00"		53	(450) 555-2110		"401 796,81"
LEVEILLEE ABBAYE	800247	AC42	(450) 555-6604	(450) 555-3152	"1 946,17"	CAD								3	2	1			ABBAYE LEVEILLEE		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-3933		"890 334,75"
LIMITED KJB-RU	800039	AC42	(450) 555-4676	(450) 555-4168	"0,00"	CAD								3	2	1	D		KJB-RU LIMITED		Français	Non	1900-01-01			AUGUSTUS.BEANLAND@hotmail.com	Téléphone	"0,00"		118	(450) 555-7727		"0,00"
LOUIS BRENNAN	800018	AC55	(450) 555-2486	(450) 555-6577	"0,00"	CAD								3	2	1			BRENNAN LOUIS		Anglais	Non	1950-01-10			AUDE.AUMOND@hotmail.com		"0,00"		68	(450) 555-8865		"0,00"
LYTLE ALEX	800276	0AED	(450) 555-7542	(450) 555-3195	"0,00"	CAD								3	2	1			ALEX LYTLE		Français	Non	1975-06-15			BOURSE.COUSSON@caramail.com		"0,00"		43	(450) 555-8412		"0,00"
MACDONALD CEDARS	800071	0AED	(450) 555-0523	(450) 555-7723	"1 768,44"	CAD								3	2	1			CEDARS MACDONALD		Français	Non	1953-02-11			CLAIRA.BOMEK@videotron.ca		"0,00"		65	(450) 555-5770		"108 893,79"
MAHEU MATHIEU	800069	BD88	(450) 555-0843	(450) 555-8003	"11 302,74"	CAD								3	2	1			MATHIEU MAHEU		Français	Non	1953-02-11			AMEDEE.BOHUON@usa.net		"0,00"		65	(450) 555-9745		"161 133,13"
MAKRIS ACACIA	800020	AC42	(450) 555-3128	(450) 555-7332	"121 305,66"	CAD								3	2	1			ACACIA MAKRIS		Anglais	Non	1950-01-10			ALMOOR.AYOTTE@usa.net		"0,00"		68	(450) 555-7588		"4 373 616,02"
MALISKA BALLANT	800229	0AED			"29 742,82"	CAD								3	2	1			BALLANTY MALISKA		Français	Non	1965-03-07			ATUL.CHAMARD@hotmail.com		"0,00"		53	(450) 555-1113		"819 748,15"
MALITO CELINE	800009	AC42	(450) 555-8881	(450) 555-3223	"0,00"	CAD								3	2	1			CELINE MALITO		Français	Non	1948-09-12			BESS.ARCILA@yahoo.com		"0,00"		70	(450) 555-4649		"0,00"
MARCIL CARLE	800246	BD66	(450) 555-4339	(450) 555-3138	"5 522,58"	CAD					"1. Faire un critère sur un profil numérique tel que:
2. Liste des clients(client réel) ayant Profil x égale à 0.00.
3. Constater que tous les clients avec le profil vide sont sélectionnés"			3	2	1			CARLE MARCIL		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-1328		"550 356,13"
MARSTON BRITT	800003	AC42	(450) 555-8077	(450) 555-1655	"10 434,74"	CAD								3	2	1			BRITT MARSTON		Français	Non	1948-09-12			mugurels@croesus.com		"0,00"		70	(450) 555-3691		"817 555,17"
MARTELLO AUDETTE	800268	AC42	(450) 555-1284	(450) 555-5778	"4 111,26"	CAD								3	2	1			AUDETTE MARTELLO		Français	Non	1947-07-28			ASHRAF.COLQUHOUN@hotmail.com		"0,00"		71	(450) 555-3267		"873 447,62"
MASSIE BENNO	800205	0AED	(450) 555-4830	(450) 555-4237	"19 858,84"	CAD								3	2	1			BENNO MASSIE		Français	Non	1975-06-18			ANGELINA.BRUYNOOGHE@hotmail.com		"0,00"		43	(450) 555-1332		"7 584 703,95"
MAUDE BOURBON	800250-4	AC42	7592822		"0,00"	CAD								3	2	OSSOTH			BOURBON MAUDE JR		Français	Non				ed@cr.ca		"0,00"					"0,00"
MCCOMBE AURELIAN	800222	BD77	(450) 555-6658	(450) 555-6615	"0,00"	CAD								3	2	1			AURELIANO MCCOMBE		Français	Non	1965-03-07			AMZINA.CASINO@yahoo.com		"0,00"		53	(450) 555-1316		"0,00"
MCDOWALL CAYLEY	800086	AC42	(450) 555-4064	(450) 555-0850	"11 094,54"	CAD								3	2	1			CAYLEY MCDOWALL		Anglais	Non	1975-06-18			BOIVIN.BRISSON@caramail.com		"0,00"		43	(450) 555-9125		"157 568,79"
MCGILLICUDDY BLA	800006	AC42	(450) 555-2490	(450) 555-3099	"(6 659,96)"	CAD								3	2	1			BLACK MCGILLICUDDY		Français	Non	1948-09-12			mugurel.scobiac@croesus.com		"0,00"		70	(450) 555-3496		"2 059 858,16"
MCGRATH ALFONSO	800224	AC42	(450) 555-5501	(450) 555-3816	"21 875,49"	CAD								3	2	1			ALFONSO MCGRATH		Anglais	Non	1965-03-07			ANASTASIA.CASSISTAT@hotmail.com		"0,00"		53	(450) 555-2397		"473 632,89"
MCINTAGGART ALDE	800203	AC42	(450) 555-2933	(450) 555-0804	"13 294,55"	CAD								3	2	1			ALDEGE MCINTAGGART		Français	Non	1975-06-18			CAMIL.BROWNE@caramail.com		"0,00"		43	(450) 555-3578		"602 910,57"
MIGUÉ BECHARA	800016	AC44	(450) 555-5962	(450) 555-9688	"0,00"	CAD								3	2	1			BECHARA MIGUÉ		Anglais	Non	1950-01-10			AUDREY.AUBREY@hotmail.com		"0,00"		68	(450) 555-1163		"0,00"
MINOU SUCCESSION	800030	AC55	4509652249		"39 308,65"	CAD								3	2	OSSOTH			SUCCESSION MINOU		Français	Non	1936-07-22			Badr@medina.ar		"0,00"		82	(450) 555-8921		"404 304,26"
MURDOCK BRUCE	800201	AC42	(450) 555-7515	(450) 555-1014	"1 260,05"	CAD								3	2	1			BRUCE MURDOCK		Français	Non	1975-06-18			CLARENCE.BROGAN@videotron.ca		"0,00"		43	(450) 555-5468		"73 332,75"
MUTCHMORE ANNU	800206	BD77	(450) 555-7763	(450) 555-0545	"9 136,78"	CAD								3	2	1			ANNU MUTCHMORE		Français	Non	1975-06-18			BRASSEURS.BUCHER@caramail.com		"0,00"		43	(450) 555-3782		"1 136 094,19"
NATIONALE DU CAN	800034	AC42	(450) 555-9271	(450) 555-2623	"28 675,88"	CAD								3	2	1			BANQUE NATIONALE DU CANADA REF PRIVATE 999A		Français	Non	1900-01-01			BLAINE.BARTLEY@yahoo.com		"0,00"		118	(450) 555-8693		"220 995,64"
NEILL ANTOINETTE	800083-1	BD66	450 6626101B	1234567890	"0,00"	CAD								3	TiTi3	ToTo3			ANTOINETTE NEILL ANTOINETTE		Français	Non				Toto3@yahoo.ds		"0,00"					"0,00"
NEVINS BENNETT-1	800082-1	0AED	450 6626101B	1234567890	"93 297,43"	CAD			Numéro de titre	% en actions privilégiées				3	TiTi2	ToTo2			BENNETT NEVINS-1		Français	Non			amara.bamba@croesus.com	Toto2@yahoo.ds		"0,00"			(450) 555-3222		"1 993 044,04"
NOEL AQUARIUS	800029	AC42	(450) 555-5750	(450) 555-8918	"0,00"	CAD								3	2	1			AQUARIUS NOEL		Français	Non	1936-07-22			CARINE.BARABY@caramail.com		"0,00"		82	(450) 555-1771		"0,00"
NOLAN CHERYL	800019	AC42	(450) 555-5925	(450) 555-9762	"9 518,29"	CAD								3	2	1			CHERYL NOLAN		Anglais	Non	1950-01-10			BARB.AUSTEN@yahoo.com		"0,00"		68	(450) 555-4556		"171 247,39"
NOUNOU	800031	AC42	4185432287		"140 392,51"	CAD				% en actions privilégiées				3	2	OSSOTH			NOUNOU		Français	Non	1953-02-17			BRAD.BARISH@caramail.com		"0,00"		65	(450) 555-4534		"824 569,31"
OLIVIER BOURBON	800250-6	AC42	7592822		"0,00"	CAD								3	2	OSSOTH			BOURBON OLIVIER ING		Français	Non				ed@cr.ca		"0,00"					"0,00"
ORLEAN ADMAX	800256	AC42	(450) 555-9118	(450) 555-4215	"16 410,42"	CAD								3	2	1			ADMAX ORLEAN		Français	Non	1981-08-12			ASTRID.SENECHAL@hotmail.com		"0,00"		37	(450) 555-2521		"1 112 613,79"
OSER ALEXANDRIA	800074	BD66	(450) 555-4709	(450) 555-0767	"7 156,45"	CAD								3	2	1			ALEXANDRIA OSER		Français	Non	1975-06-18			BORDELEAU.HOLLAND@caramail.com		"0,00"		43	(450) 555-6761		"1 135 941,13"
PILOTE ALDO	800065	BD66	(450) 555-6425	(450) 555-1325	"3 214,10"	CAD								3	2	1			ALDO PILOTE		Français	Non	1953-02-11			BESSIM.BLANCHE@yahoo.com		"0,00"		65	(450) 555-7525		"145 856,98"
PINARD CATHARINA	800210-1	BD88	(450) 555-4476	(450) 555-9713	"9 248,52"	CAD								3	2	1			//1 CATHARINA Mid1 PINARD hon1		Anglais	Non				ARIANE.BANG@hotmail.com		"0,00"					"881 624,38"
PINARDETTE CATH	800210-2	BD88	(450) 555-4476	(450) 555-9713	"9 248,52"	CAD								3	2	1			//11 CATH Mid11 PINARDETTE hon11		Anglais	Non				ARIANE.BANG@hotmail.com		"0,00"					"881 624,38"
PLATINE CHARTIER	800073	AC42	(450) 555-2637	(450) 555-4621	"13 736,31"	CAD								3	2	1			CHARTIER PLATINE		Français	Non	1953-02-11			CAROLE.BONTE@caramail.com		"0,00"		65	(450) 555-1052		"947 086,43"
POLOMSKI BENNY	800064	BD66	(450) 555-1464	(450) 555-9510	"(15 709,17)"	CAD								3	2	1			BENNY POLOMSKI		Français	Non	1920-07-13			BALANCED.TALVEST@yahoo.com		"0,00"		98	(450) 555-9312		"1 090 965,72"
PROJ. INC. RPT	800400	BD88	(450) 555-4444	(450) 555-4441	"906 516,00"	CAD								3	2	1			PROJECTED INCOME REPORT		Français	Non	1990-01-01			julie.lamarche@croesus.com		"0,00"		28	(450) 555-4442		"1 111 971,12"
RAPPORT INTACC	800502	BD88	(450) 555-4444	(450) 555-4441	"471 784,75"	CAD								3	2	1			RAPPORT INTACC		Français	Non	1990-01-01			julie.lamarche@croesus.com		"0,00"		28	(450) 555-4442		"574 512,31"
RENTES DES EMPLO	800037	AC44	(450) 555-2241	(450) 555-5351	"11 006,85"	CAD								3	2	1			REGIME RENTES DES EMPLOYES DE REPUBLIQUEDE BANANES INC		Anglais	Non	1900-01-01			BAILEY.BAWOLAK@yahoo.com		"0,00"		118	(450) 555-5840		"750 956,87"
RETZLAFF CAISSE	800239	AC42	(450) 555-1316	(450) 555-0873	"(7 656,59)"	CAD								3	2	1			CAISSE RETZLAFF		Anglais	Non	1959-10-11			CATHIE.CLAIR@videotron.ca		"0,00"		59	(450) 555-1070		"3 486 416,42"
ROLLAND CATELLIE	800227	BD88	(450) 555-4060	(450) 555-4861	"2 982,47"	CAD								3	2	1			CATELLIER ROLLAND		Français	Non	1965-03-07			BERNARDIN.CERAT@yahoo.com		"0,00"		53	(450) 555-0952		"158 138,41"
SAMBORSKI ALMA	800261	BD66	(450) 555-6604	(450) 555-0922	"15 107,08"	CAD								3	2	1			ALMA SAMBORSKI		Anglais	Non	1947-07-28			BETH.BELLEFONTAINE@yahoo.com		"0,00"		71	(450) 555-5074		"831 253,90"
SAMSON AMYN	800216	AC43	(450) 555-9953	(450) 555-3342	"1 555 165,13"	CAD								3	2	1			AMYN SAMSON		Français	Non	1936-10-10			BOHEMIER.CANESSO@caramail.com		"0,00"		82	(450) 555-4442		"18 425 926,09"
SATTLER AYAAZ	800257	AC42	(450) 555-2752	(450) 555-6082	"(51 988,64)"	CAD								3	2	1			AYAAZ SATTLER		Français	Non	1981-08-12			CATHRINE.RUBINO@videotron.ca		"0,00"		37	(450) 555-9847		"2 592 825,21"
SAUFFERER BOYD	800208	BD88	(450) 555-7341	(450) 555-6194	"12 429,65"	CAD								3	2	1			BOYD SAUFFERER		Anglais	Non	1975-06-18			BERGERON.BUJOLD@yahoo.com		"0,00"		43	(450) 555-4177		"255 547,82"
SAYED AMANDA	800026	AC44	(450) 555-9115	(450) 555-8616	"0,00"	USD								3	2	1			AMANDA SAYED		Français	Non	1950-01-10			BELLEFLEUR.BANDIERA@yahoo.com		"0,00"		68	(450) 555-4036		"0,00"
SAYEGH ACADIA	800025	AC55	(450) 555-2850	(450) 555-8033	"0,00"	CAD								3	2	1			ACADIA SAYEGH		Français	Non	1950-01-10			CLAIRA.BALLARD@videotron.ca		"0,00"		68	(450) 555-0229		"0,00"
SCARLETT BLAIR	800022	AC44	(450) 555-4476	(450) 555-9713	"5 913,97"	CAD	88 000							3	TEL.	TELEPHONE			BLAIR SCARLETT		Anglais	Non	1950-01-10			test@essai.com		"0,00"		68	(450) 555-1377		"606 920,05"
SCARLETT BLAIR	800023	AC42	(450) 555-4476	(450) 555-9713	"0,00"	CAD	1 000							3	TEL.	TELEPHONE			BLAIR SCARLETT		Anglais	Non	1950-01-10			test@essai.com		"0,00"		68	(450) 555-5063		"0,00"
SERGE ALICIA	800212-2	AC42	(450) 555-1057	(450) 555-2279	"45 712,03"	CAD								3	FDP_TEL2	FDP_TEL1			ALICIA MME SERGE		Français	Non	1956-10-20			CAMPBELL.BURGESS@caramail.com		"0,00"		62			"744 419,59"
SERGE ALICK	800211	AC42	(450) 555-1057	(450) 555-2279	"45 712,03"	CAD	111 000							3	FDP_TEL2	FDP_TEL1			ALICK SERGE		Français	Oui	1936-10-10			ali.hachemi@croesus.com		"0,00"		82	(450) 555-7776		"744 419,59"
SHERMANN ASSURAN	800242	AC42	(450) 555-6685	(450) 555-4013	"2 362,70"	CAD								3	2	1			ASSURANCE SHERMANN & FRERES (1996)		Français	Non	1959-10-11			ali.hachemi@croesus.com		"0,00"		59	(450) 555-3790		"596 511,74"
SIDDALL BOUDRIAS	800015	AC44	(450) 555-3117	(450) 555-9586	"0,00"	CAD								3	2	1			BOUDRIAS SIDDALL		Anglais	Non	1950-01-10			AAA@hotmail.com		"0,00"		68	(450) 555-5749		"0,00"
SIMARD AUGUSTINE	800070	BD88	(450) 555-1061	(450) 555-6970	"0,00"	CAD								3	2	1			AUGUSTINE SIMARD		Français	Non	1953-02-11			BOMBARDIER.TIMMERMANS@caramail.com		"0,00"		65	(450) 555-4036		"0,00"
SINAGRA AILLEEN	800266	BD77	(450) 555-0496	(450) 555-2389	"265,11"	CAD								3	2	1			AILLEEN SINAGRA		Français	Non	1947-07-28			AUDRIE.COALLIER@hotmail.com		"0,00"		71	(450) 555-6986		"822 102,70"
SINNAEVE CANARDS	800233	BD88	(450) 555-8821	(450) 555-0001	"4 395,88"	CAD								3	2	1			CANARDS SINNAEVE		Français	Non	1959-10-11			ADRIAN.CHATEAUNEUF@usa.net		"0,00"		59	(450) 555-5997		"1 226 786,51"
STANTON CELINE	800005	AC42	(450) 555-1520	(450) 555-9455	"0,00"	CAD								3	2	1			CELINE STANTON		Français	Non	1948-09-12			mugurel.scobiac@croesus.com		"0,00"		70	(450) 555-3247		"0,00"
STEADWARD ANTOIN	800067	BD66	(450) 555-5536	(450) 555-6424	"16 112,10"	CAD								3	2	1			ANTOINETTA STEADWARD		Français	Non	1953-02-11			BLUMARMIDON.BLOOMFIELD@caramail.com		"0,00"		65	(450) 555-5481		"3 403 947,75"
STEELE AGGIE	800000	AC42	(450) 555-8918	(450) 555-7645	"50,00"	CAD								3	2	1			AGGIE STEELE		Français	Non	1948-10-11			ARTI.ALDERSON@hotmail.com		"0,00"		70	(450) 555-6340		"139 964,11"
STUART CARTERS	800262	BD66	(450) 555-5369	(450) 555-2378	"22 759,01"	CAD								3	2	1			CARTERS STUART		Anglais	Non	1947-07-28			ALTON.AUCLAIR@usa.net		"0,00"		71	(450) 555-3453		"485 594,84"
SYLVIE TROUSSEAU	800250-2	AC42	7592822		"0,00"	CAD								3	2	OSSOTH			MME TROUSSEAU SYLVIE MAITRE		Français	Non	1977-05-25			ed@cr.ca		"0,00"		41			"0,00"
TABAK BERANGERE	800248	BD88	(450) 555-1478	(450) 555-9149	"129 844,69"	CAD								3	2	1			BERANGERE TABAK		Français	Non	1968-09-07			ali.hachemi@croesus.com		"0,00"		50	(450) 555-4703		"959 424,14"
TESTEST	90099B	BD77			"0,00"	CAD													testest		Français	Non	1987-02-23					"0,00"		31			"0,00"
TESTEST2	90099C	BD66			"0,00"	CAD													testest2		Français	Non	1984-08-12					"0,00"		34			"0,00"
TODOR ALARIE	800286	AC42	(450) 555-4812	(450) 555-2241	"4 174,06"	CAD								3	2	1	A		ALARIE TODOR		Français	Non	1964-04-09			ARCHBISHOP.CRIBB@hotmail.com		"0,00"		54	(450) 555-2137		"1 114 614,02"
Toto Personne	800226-1	AC42	4506626102	5146626102	"0,00"	CAD								3	2	1	A		Mr. Personne en Toto Doc.		Français	Non	1968-07-21			Toto2@carmail.cr		"0,00"		50			"0,00"
Toto1 Personne1	800225	BD66	4506626101	5146626101	"2 356,49"	CAD								3	2	1			Mr. Personne1 en Toto1 Doc.		Français	Non	1968-07-21			Toto@carmail.cr		"0,00"		50	(450) 555-2074		"901 784,26"
TREMBLAY CHINDA	800084-1	BD77	450 6626101B	1234567890	"9 184,65"	CAD								3	TiTi4	ToTo4			CHINDA TREMBLAY		Anglais	Non				Toto4@yahoo.ds		"0,00"					"2 599 148,85"
TREN123 CIARAN	800278	AC42	123 456 1111	123 456-2222	"15 972,50"	CAD								3	2	1			CIARAN TREN123		Français	Non	1975-06-15			Tes@carmail.com		"0,00"		43	(450) 555-2656		"269 429,54"
TRXIONS FONDS CI	300011	BD88	(450) 555-4444	(450) 555-4441	"21 400,00"	CAD							4	3	2	1			TRXIONS FONDS CIBC		Français	Non	1982-01-01			julie.lamarche@croesus.com		"0,00"		36	(450) 555-4442	(450) 555-4443	"50 780,60"
TRXIONS FONDS CI	300012	BD88	(450) 555-4444	(450) 555-4441	"145 175,96"	CAD							4	3	2	1			TRXIONS FONDS CIBC		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442	(450) 555-4443	"185 393,17"
TRXIONS WEEKEND	300015	BD88	(450) 555-4444	(450) 555-4441	"3 292,60"	CAD							4	3	2	1			TRXIONS WEEKEND		Français	Non	1982-01-01			julie.lamarche@croesus.com		"0,00"		36	(450) 555-4442	(450) 555-4443	"22 377,60"
VALIDATION CR	300014	BD88	(450) 555-4444	(450) 555-4441	"26 764,47"	CAD								3	2	1			VALIDATION CR		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442		"148 840,10"
VALIDATIONS CALC	300001	BD88	(450) 555-4444	(450) 555-4441	"100 693,02"	CAD							4	3	2	1			VALIDATIONS CALCULS		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442	(450) 555-4443	"513 641,53"
VALIDATIONS CALC	300008	BD88	(450) 555-4444	(450) 555-4441	"49 951,27"	CAD								3	2	1			VALIDATIONS CALCULS		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442		"149 707,76"
VALIDATIONS SEPA	300002	BD88	(450) 555-4444	(450) 555-4441	"196 312,54"	CAD							4	3	2	1			VALIDATIONS SEPARATION LOT		Français	Non	1980-01-01			julie.lamarche@croesus.com		"0,00"		38	(450) 555-4442	(450) 555-4443	"503 832,50"
VILLENEUVE GILLE	800264	BD66	(450) 555-7022	(450) 555-6707	"5 071,42"	CAD								3	2	1	A		GILLES VILLENEUVE		Français	Non	1947-07-28			BABE.MAINWARING@yahoo.com		"0,00"		71	(450) 555-5811		"1 147 606,99"
VOSSEN CARROLL	800045	AC55	(450) 555-0531	(450) 555-6343	"432,24"	CAD								3	2	1			CARROLL VOSSEN		Français	Non	1960-01-30			BELANGER.BUISSON@yahoo.com		"0,00"		58	(450) 555-1994		"157 744,60"
VOYER BERNADETTE	800215-2	AC43			"21 259,22"	CAD								3	2	1			Mme BERNADETTE JR VOYER ING		Français	Non				BART.CANDOW@yahoo.com		"0,00"					"4 758 136,93"
VOYER BERNARD	800215-1	AC43			"21 259,22"	CAD								3	2	1			BERNARD VOYER		Français	Non				BART.CANDOW@yahoo.com		"0,00"					"4 758 136,93"
WATKINS BOURKE	800004	AC42	(450) 555-4522	(450) 555-6908	"0,00"	CAD								3	2	1			BOURKE WATKINS		Français	Non	1948-09-12			mscobiac@croesus.com		"0,00"		70	(450) 555-5059		"0,00"
X COMPTE REFEREN	111100	BD88	(450) 555-4364	(450) 555-3482	"0,00"	CAD								3	2	1			X CPT REF		Français	Non	1972-10-07			mugurel.scobiac@croesus.com		"0,00"	1999-12-07	46	(450) 555-0128		"0,00"
YANIC GOBEILLE A	800011	AC42	(450) 555-8961	(450) 555-1871	"1 089,71"	CAD								3	2	1			YANIC AUBUT GOBEILLE		Français	Non	1950-01-10			AFTAB.AREL@usa.net		"0,00"		68	(450) 555-0629		"965 684,18"
YEKTA BERNI	800230-1	AC43	4506626102	5146626102	"17 537,50"	CAD								3	2	1			BERNI YEKTA		Français	Non	1968-07-21			Toto2@carmail.cr		"0,00"		50			"804 500,34"
ZIMMERMANN AYUKO	800204	BD66	(450) 555-8255	(450) 555-5445	"51 018,59"	CAD								3	2	1			AYUKO ZIMMERMANN		Français	Non	1975-06-18			ANGUS.BROWNING@hotmail.com		"0,00"		43	(450) 555-9165		"338 021,65"
