"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Statut"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Langue"	"Dernier achat/vente"	"Dern. trans."	"Début de gestion"	"Date de fermeture"	"Création"	"Marge"	"Valeur totale"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"(65 632,67)"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/03"	""	""	"2009/12/01"	"n/d"	"0,00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Comptant"	""	"(450) 555-8078"	"(450) 555-6495"	"0,00"	"CAD"	"Ouvert"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"161 676,52"
"BORTOLUS BRITES"	"800075-JJ"	"BD88"	"J -"	""	"(450) 555-3387"	"(450) 555-3798"	"4 230,94"	"CAD"	"Ouvert"	"*FALL BACK"	"BRITES BORTOLUS"	"~M-00005-0"	"800075"	"Français"	""	"2010/01/21"	""	""	"2009/12/01"	"n/d"	"4 230,94"
"BORTOLUS BRITES"	"800075-RE"	"BD88"	"E - Marge couvert"	""	"(450) 555-3387"	"(450) 555-3798"	"69 818,98"	"CAD"	"Ouvert"	""	"BRITES BORTOLUS"	""	"800075"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"1 464 975,72"
"BORTOLUS BRITES"	"800075-SF"	"BD88"	"E - Marge couvert"	""	"(450) 555-3387"	"(450) 555-3798"	"85,00"	"USD"	"Ouvert"	""	"BRITES BORTOLUS"	""	"800075"	"Français"	"2010/01/22"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"280 999,00"
"BOWMAN BARBEL"	"800034-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9271"	"(450) 555-2623"	"21 517,30"	"CAD"	"Ouvert"	""	"BARBEL BOWMAN"	""	"800034"	"Français"	"2010/01/14"	"2010/01/21"	""	""	"2009/12/01"	"n/d"	"131 493,44"
"BOWMAN BARBEL"	"800034-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-9271"	"(450) 555-2623"	"5 108,90"	"CAD"	"Ouvert"	""	"BARBEL BOWMAN"	""	"800034"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"9 264,10"
"BOWMAN BARBEL"	"800034-LV"	"AC42"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16,20"	"CAD"	"Ouvert"	""	"BARBEL BOWMAN"	""	"800034"	"Français"	""	"2007/12/18"	""	""	"2009/12/01"	"n/d"	"2 267,81"
"BOWMAN BARBEL"	"800034-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9271"	"(450) 555-2623"	"0,00"	"CAD"	"Ouvert"	""	"BARBEL BOWMAN"	""	"800034"	"Français"	""	"2003/07/09"	""	""	"2009/12/01"	"n/d"	"0,00"
"BOWMAN BARBEL"	"800034-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9271"	"(450) 555-2623"	"2 033,48"	"CAD"	"Ouvert"	""	"BARBEL BOWMAN"	""	"800034"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"0,00"	"77 970,29"
"BRABANTB BERVERL"	"800225-NA"	"BD66"	"A - Comptant"	""	"(450) 555-5808"	"(450) 555-3177"	"0,00"	"CAD"	"Ouvert"	""	"BERVERLY BRABANTB"	""	"800225"	"Anglais"	""	"1999/06/22"	""	""	"2009/12/01"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-OB"	"BD66"	"A - Comptant"	""	"(450) 555-5808"	"(450) 555-3177"	"0,00"	"USD"	"Ouvert"	""	"BERVERLY BRABANTB"	""	"800225"	"Anglais"	""	"1999/06/04"	""	""	"2009/12/01"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-RE"	"BD66"	"E - Marge couvert"	""	"(450) 555-5808"	"(450) 555-3177"	"(1 345,57)"	"CAD"	"Ouvert"	""	"BERVERLY BRABANTB"	""	"800225"	"Anglais"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"785 951,96"
"BRABANTB BERVERL"	"800225-SF"	"BD66"	"E - Marge couvert"	""	"(450) 555-5808"	"(450) 555-3177"	"3 497,46"	"USD"	"Ouvert"	""	"BERVERLY BRABANTB"	""	"800225"	"Anglais"	"2010/01/13"	"2010/01/13"	""	""	"2009/12/01"	"0,00"	"109 439,18"
"BRACKHAUS BRAD"	"800028-JJ"	"AC44"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	"Ouvert"	""	"BRAD BRACKHAUS"	""	"800028"	"Français"	""	"2005/04/19"	""	""	"2009/12/01"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-NA"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	"Ouvert"	""	"BRAD BRACKHAUS"	""	"800028"	"Français"	""	"2005/05/02"	""	""	"2009/12/01"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-OB"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"USD"	"Ouvert"	""	"BRAD BRACKHAUS"	""	"800028"	"Français"	""	"2005/04/07"	""	""	"2009/12/01"	"n/d"	"0,00"
"BRASSERIE STAN"	"800275-NA"	"BD77"	"A - Comptant"	""	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	"Ouvert"	""	"BRASSERIE CHEZ STAN ENR."	""	"800275"	"Français"	""	"2006/02/28"	""	""	"2009/12/01"	"n/d"	"0,00"
"BREESE ALAIN"	"800282-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9334"	"(450) 555-9512"	"0,00"	"CAD"	"Ouvert"	""	"ALAIN BREESE"	""	"800282"	"Français"	""	"2009/04/02"	""	""	"2009/12/01"	"n/d"	"0,00"
"BREESE ALAIN"	"800283-HU"	"BD88"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-1106"	"(450) 555-8881"	"35 969,79"	"CAD"	"Ouvert"	""	"ALAIN BREESE"	""	"800283"	"Français"	""	"2009/03/16"	""	""	"2009/12/01"	"n/d"	"35 969,79"
"BREESE ALAIN"	"800283-RE"	"BD88"	"E - Marge couvert"	""	"(450) 555-1106"	"(450) 555-8881"	"0,00"	"CAD"	"Ouvert"	""	"ALAIN BREESE"	""	"800283"	"Français"	""	"2007/10/25"	""	""	"2009/12/01"	"0,00"	"0,00"
"BRODEUR MARTIN"	"800017-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9114"	"(450) 555-8987"	"4 953,12"	"CAD"	"Ouvert"	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"Anglais"	"2009/12/23"	"2010/01/21"	""	""	"2009/12/01"	"n/d"	"184 401,01"
"BRODEUR MARTIN"	"800017-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9114"	"(450) 555-8987"	"3 220,57"	"CAD"	"Ouvert"	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"8 742,57"
"BROGAN CLARENCE"	"800081-HU"	"BD66"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-6934"	"(450) 555-0534"	"0,00"	"CAD"	"Ouvert"	""	"CLARENCE BROGAN"	""	"800081"	"Français"	""	"2006/12/04"	""	""	"2009/12/01"	"n/d"	"0,00"
"BROGAN CLARENCE"	"800081-LY"	"BD66"	"Y - Rente viagère"	""	"(450) 555-6934"	"(450) 555-0534"	"1 958,90"	"CAD"	"Ouvert"	""	"CLARENCE BROGAN"	""	"800081"	"Français"	"2009/12/09"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"150 646,01"
"BROGAN CLARENCE"	"800081-RE"	"BD66"	"E - Marge couvert"	""	"(450) 555-6934"	"(450) 555-0534"	"799,58"	"CAD"	"Ouvert"	""	"CLARENCE BROGAN"	""	"800081"	"Français"	"2009/12/31"	"2010/01/19"	""	""	"2009/12/01"	"0,00"	"281 499,23"
"BUCHER BRASSEURS"	"800057-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7203"	"(450) 555-8729"	"4 837,12"	"CAD"	"Ouvert"	""	"BRASSEURS BUCHER"	""	"800057"	"Anglais"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"297 746,13"
"BUCHER BRASSEURS"	"800057-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7203"	"(450) 555-8729"	"0,00"	"CAD"	"Ouvert"	""	"BRASSEURS BUCHER"	""	"800057"	"Anglais"	""	"2008/11/25"	""	""	"2009/12/01"	"n/d"	"0,00"
"BUCHER BRASSEURS"	"800057-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7203"	"(450) 555-8729"	"848,50"	"CAD"	"Ouvert"	""	"BRASSEURS BUCHER"	""	"800057"	"Anglais"	""	"2010/01/13"	""	""	"2009/12/01"	"0,00"	"113 118,37"
"BULLETIN ACURA"	"800259-FS"	"AC43"	"S - Régime d'épargne-retraite"	""	"(450) 555-8616"	"(450) 555-9526"	"0,00"	"CAD"	"Ouvert"	""	"ACURA BULLETIN"	""	"800259"	"Anglais"	""	"2006/11/16"	""	""	"2009/12/01"	"n/d"	"0,00"
"BULLETIN ACURA"	"800259-GT"	"AC43"	"T - Fonds de revenu de retraite"	""	"(450) 555-8616"	"(450) 555-9526"	"218,03"	"CAD"	"Ouvert"	""	"ACURA BULLETIN"	""	"800259"	"Anglais"	""	"2009/10/29"	""	""	"2009/12/01"	"n/d"	"534 864,72"
"BULLETIN ACURA"	"800259-JW"	"AC43"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8616"	"(450) 555-9526"	"5 000,00"	"CAD"	"Ouvert"	""	"ACURA BULLETIN"	""	"800259"	"Anglais"	""	"2009/02/10"	""	""	"2009/12/01"	"n/d"	"5 000,00"
"BULLETIN ACURA"	"800259-NA"	"AC43"	"A - Comptant"	""	"(450) 555-8616"	"(450) 555-9526"	"1 607,97"	"CAD"	"Ouvert"	""	"ACURA BULLETIN"	""	"800259"	"Anglais"	"2009/12/14"	"2009/12/17"	""	""	"2009/12/01"	"n/d"	"208 504,18"
"BURDETT ALAIN"	"800281-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	"Ouvert"	""	"ALAIN BURDETT"	""	"800281"	"Français"	"2010/01/18"	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"476 994,31"
"CALCUL SCORE"	"800303-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"Ouvert"	""	"1SCORE FOND"	""	"800303"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"
"CALCULS ESCOMPTE"	"300005-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	"Ouvert"	""	"CALCULS ESCOMPTES"	""	"300005"	"Français"	"2010/01/22"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"149 707,76"
"CALCULS GAINS/PE"	"300010-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"268 852,65"	"CAD"	"Ouvert"	""	"CALCULS GAINS/PERTES"	""	"300010"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"517 131,15"
"CALCULS GAINS/PE"	"300010-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"276 630,41"	"USD"	"Ouvert"	""	"CALCULS GAINS/PERTES"	""	"300010"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"486 306,24"
"CALCULS USD"	"300006-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"17 804,38"	"USD"	"Ouvert"	""	"CALCULS USD"	""	"300006"	"Français"	"2010/01/21"	"2010/01/25"	""	""	"2010/01/25"	"n/d"	"196 480,13"
"CALDER CARILYNE"	"800274-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"(450) 555-8856"	"(450) 555-8077"	"1 436,85"	"CAD"	"Ouvert"	""	"CARILYNE CALDER"	""	"800274"	"Français"	""	"2009/12/29"	""	""	"2009/12/01"	"n/d"	"60 482,00"
"CALDER CARILYNE"	"800274-RE"	"BD88"	"E - Marge couvert"	""	"(450) 555-8856"	"(450) 555-8077"	"0,00"	"CAD"	"Ouvert"	""	"CARILYNE CALDER"	""	"800274"	"Français"	""	"2003/11/07"	""	""	"2009/12/01"	"0,00"	"0,00"
"CANESSO BEATRICE"	"800258-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	"Ouvert"	""	"BEATRICE CANESSO"	""	"800258"	"Français"	""	"2008/09/30"	""	""	"2009/12/01"	"n/d"	"0,00"
"CANESSO BEATRICE"	"800258-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	"Ouvert"	""	"BEATRICE CANESSO"	""	"800258"	"Français"	""	"2008/12/01"	""	""	"2009/12/01"	"0,00"	"0,00"
"CAPEK ADRIANA"	"800059-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-3924"	"(450) 555-6516"	"5 393,06"	"CAD"	"Ouvert"	""	"ADRIANA CAPEK"	""	"800059"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"1 004 630,48"
"CAPEK ADRIANA"	"800059-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"CAD"	"Ouvert"	""	"ADRIANA CAPEK"	""	"800059"	"Anglais"	""	"2009/01/02"	""	""	"2009/12/01"	"n/d"	"5 205,15"
"CAPEK ADRIANA"	"800059-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"(20,01)"	"CAD"	"Ouvert"	""	"ADRIANA CAPEK"	""	"800059"	"Anglais"	""	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"651 756,99"
"CAPEK ADRIANA"	"800059-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"USD"	"Ouvert"	""	"ADRIANA CAPEK"	""	"800059"	"Anglais"	""	"2009/12/31"	""	""	"2009/12/01"	"0,00"	"79 244,77"
"CASTLE ARDEN"	"800284-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-9890"	"(450) 555-4077"	"505,40"	"CAD"	"Ouvert"	""	"ARDEN CASTLE"	""	"800284"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"40 172,61"
"CASTLE ARDEN"	"800284-HU"	"BD66"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	"Ouvert"	""	"ARDEN CASTLE"	""	"800284"	"Français"	""	"2006/05/31"	""	""	"2009/12/01"	"n/d"	"0,00"
"CASTLE ARDEN"	"800284-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	"Ouvert"	""	"ARDEN CASTLE"	""	"800284"	"Français"	""	"2006/02/24"	""	""	"2009/12/01"	"n/d"	"0,00"
"CASTLE ARDEN"	"800284-OB"	"BD66"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"USD"	"Ouvert"	""	"ARDEN CASTLE"	""	"800284"	"Français"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"
"CATANI BRAY"	"800072-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"(1 208,31)"	"CAD"	"Ouvert"	""	"BRAY CATANI"	""	"800072"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"427 301,38"
"CATANI BRAY"	"800072-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"82 550,22"	"USD"	"Ouvert"	""	"BRAY CATANI"	""	"800072"	"Français"	"2009/12/09"	"2010/01/18"	""	""	"2009/12/01"	"0,00"	"161 496,22"
"CELLARD AMIR"	"800200-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9360"	"(450) 555-5958"	"6 043,91"	"CAD"	"Ouvert"	""	"AMIR CELLARD"	""	"800200"	"Français"	"2010/01/12"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"117 919,14"
"CELLARD AMIR"	"800200-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9360"	"(450) 555-5958"	"18,14"	"CAD"	"Ouvert"	""	"AMIR CELLARD"	""	"800200"	"Français"	""	"2008/06/03"	""	""	"2009/12/01"	"0,00"	"19,51"
"CHADILLON ANNEKE"	"800007-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-0404"	"(450) 555-5460"	"320,91"	"CAD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800007"	"Anglais"	"2010/01/22"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"521 426,42"
"CHADILLON ANNEKE"	"800007-NA"	"AC42"	"A - Comptant"	""	"(450) 555-0404"	"(450) 555-5460"	"(811,54)"	"CAD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800007"	"Anglais"	"2010/01/22"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"1 232 286,40"
"CHADILLON ANNEKE"	"800008-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-0404"	"(450) 555-5460"	"0,00"	"CAD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800008"	"Anglais"	""	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"0,00"
"CHADILLON ANNEKE"	"800008-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0404"	"(450) 555-5460"	"106,19"	"CAD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800008"	"Anglais"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"5 570,67"
"CHADILLON ANNEKE"	"800008-NA"	"AC42"	"A - Comptant"	""	"(450) 555-0404"	"(450) 555-5460"	"5 943,20"	"CAD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800008"	"Anglais"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"383 990,09"
"CHADILLON ANNEKE"	"800008-OB"	"AC42"	"A - Comptant"	""	"(450) 555-0404"	"(450) 555-5460"	"233 938,96"	"USD"	"Ouvert"	""	"ANNEKE CHADILLON"	""	"800008"	"Anglais"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"784 776,77"
"CHAMPS TRF"	"600001-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"Ouvert"	""	"CHAMPS TRF"	""	"600001"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"
"CHAMPS TRF"	"600001-RE"	"BD88"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	"Ouvert"	""	"CHAMPS TRF"	""	"600001"	"Français"	""	""	""	""	"2010/01/25"	"0,00"	"0,00"
"CHAMPS TRF VIDE"	"600002-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"Ouvert"	""	"CHAMPS TRF VIDE"	""	"600002"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"
"CHAMPS TRF VIDE"	"600003-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"Ouvert"	""	"CHAMPS TRF VIDE"	""	"600003"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"
"CHAMPS TRF VIDE"	"600004-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"Ouvert"	""	"CHAMPS TRF VIDE"	""	"600004"	"Français"	""	""	""	""	"2010/01/25"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800244-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800244"	"Français"	""	"2006/02/15"	""	""	"2009/12/01"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800244-NA"	"AC42"	"A - Comptant"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800244"	"Français"	""	"2006/07/17"	""	""	"2009/12/01"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"416,08"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"Français"	"2010/01/14"	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"497 873,06"
"CHATEAUNEUF ADRI"	"800294-HU"	"AC42"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"Français"	""	"2000/09/27"	""	""	"2009/12/01"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-LY"	"AC42"	"Y - Rente viagère"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"Français"	""	"2001/01/31"	""	""	"2009/12/01"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"41,45"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"Français"	""	"2009/02/24"	""	""	"2009/12/01"	"0,00"	"41,45"
"CHATEAUNEUF ADRI"	"800294-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"474,14"	"CAD"	"Ouvert"	""	"ADRIAN CHATEAUNEUF"	""	"800294"	"Français"	""	"2009/12/01"	""	""	"2009/12/01"	"0,00"	"2 497,15"
"CHENIER PAUL"	"800027-FS"	"AC44"	"S - Régime d'épargne-retraite"	""	"(450) 555-4476"	"(450) 555-9713"	"33 570,89"	"CAD"	"Ouvert"	""	"PAUL CHENIER"	""	"800027"	"Français"	"2010/01/06"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"867 197,05"
"CHENIER PAUL"	"800027-NA"	"AC44"	"A - Comptant"	""	"(450) 555-4476"	"(450) 555-9713"	"3 023,75"	"CAD"	"Ouvert"	""	"PAUL CHENIER"	""	"800027"	"Français"	""	"2010/01/14"	""	""	"2009/12/01"	"n/d"	"106 237,72"
"CICANSKY DUHAMEL"	"800253-LY"	"BD77"	"Y - Rente viagère"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	"Ouvert"	""	"DUHAMEL CICANSKY"	""	"800253"	"Français"	""	"2006/07/13"	""	""	"2009/12/01"	"n/d"	"0,00"
"CICANSKY DUHAMEL"	"800253-NA"	"BD77"	"A - Comptant"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	"Ouvert"	""	"DUHAMEL CICANSKY"	""	"800253"	"Français"	""	"2006/06/21"	""	""	"2009/12/01"	"n/d"	"0,00"
"CLEMENT BRETT"	"800209-HU"	"AC42"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	"Ouvert"	""	"BRETT CLEMENT"	""	"800209"	"Anglais"	""	"2004/05/19"	""	""	"2009/12/01"	"n/d"	"0,00"
"CLEMENT BRETT"	"800209-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	"Ouvert"	""	"BRETT CLEMENT"	""	"800209"	"Anglais"	""	"2004/05/17"	""	""	"2009/12/01"	"0,00"	"0,00"
"CONWAY BORDELEAU"	"800080-GT"	"BD66"	"T - Fonds de revenu de retraite"	""	"(450) 555-6290"	"(450) 555-3377"	"635,64"	"CAD"	"Ouvert"	""	"BORDELEAU CONWAY"	""	"800080"	"Français"	""	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"96 413,79"
"CONWAY BORDELEAU"	"800080-NA"	"BD66"	"A - Comptant"	""	"(450) 555-6290"	"(450) 555-3377"	"4 370,30"	"CAD"	"Ouvert"	""	"BORDELEAU CONWAY"	""	"800080"	"Français"	""	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"799 516,11"
"COUSSON BOURSE"	"800012-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	"Ouvert"	""	"BOURSE COUSSON"	""	"800012"	"Anglais"	""	"2005/10/25"	""	""	"2009/12/01"	"n/d"	"0,00"
"COUSSON BOURSE"	"800012-NA"	"AC42"	"A - Comptant"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	"Ouvert"	""	"BOURSE COUSSON"	""	"800012"	"Anglais"	""	"2005/10/20"	""	""	"2009/12/01"	"n/d"	"0,00"
"CROIL CHRYSTIAN"	"800051-BO"	"AC55"	"C - Paiement sur livraison"	""	"(450) 555-6110"	"(450) 555-9648"	"0,00"	"USD"	"Ouvert"	""	"CHRYSTIAN CROIL"	""	"800051"	"Français"	""	"2008/10/28"	""	""	"2009/12/01"	"n/d"	"0,00"
"CULLEN CARLISLE"	"800292-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"(416) 666-9876"	"(416) 666-6543"	"6 892,78"	"CAD"	"Ouvert"	""	"CARLISLE CULLEN"	""	"800292"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"239 616,87"
"CULLEN CARLISLE"	"800292-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	"(416) 666-9876"	"(416) 666-6543"	"0,02"	"CAD"	"Ouvert"	""	"CARLISLE CULLEN"	""	"800292"	"Anglais"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"10 359,98"
"CULLEN CARLISLE"	"800292-RE"	"BD88"	"E - Marge couvert"	""	"(416) 666-9876"	"(416) 666-6543"	"236,28"	"CAD"	"Ouvert"	""	"CARLISLE CULLEN"	""	"800292"	"Anglais"	""	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"36 825,04"
"CULLEN EDWARD"	"800289-OB"	"AC42"	"A - Comptant"	""	"(416) 666-9876"	"(416) 666-6543"	"0,00"	"USD"	"Ouvert"	""	"EDWARD CULLEN"	""	"800289"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"0,00"
"DABADIE AMERICO"	"800010-JJ"	"AC42"	"J -"	""	"(450) 555-8486"	"(450) 555-2810"	"1 097,20"	"CAD"	"Ouvert"	""	"AMERICO DABADIE"	""	"800010"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"1 097,20"
