"Client No."	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Gross Income"	"carolet"	"Bouquet"	"bateau A"	"Bagage"	"Arbre A"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Segmentation"	"Representative"	"Model Number"	"Model Name"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Discretionary"	"Date of Birth"	"Communication"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"	"Name"
"800292-1"	"123 456 7890"	"(416) 666-6543"	"7,129.08"	"CAD"	""	""	""	""	""	""	""	""	"FDP_TEL2"	"Type1"	""	"No"	""	""	"English"	"CARLISLE CULLEN"	""	""	"CARLISLE.CULLEM@yahoo.ca"	"Yes"	""	""	"0.00"	""	""	""	"286,801.89"	"CULLEN CARLISLE"
"800289"	""	""	"0.00"	"USD"	""	""	""	""	""	""	""	""	"2"	"1"	""	"No"	""	""	"French"	"EDWARD jr. CULLEN"	""	""	"EDWARD.CULLEM@caramail.com"	"Yes"	"05/09/1964"	""	"0.00"	""	""	""	"0.00"	"CULLEN EDWARD"
"800010"	"(450) 555-4476"	"(450) 555-9713"	"1,111.61"	"CAD"	""	""	""	""	""	"9,876,543,210.36"	""	"3"	"TEL."	"TELEPHONE"	""	"No"	""	""	"French"	"AMERICO DABADIE"	""	""	"test@essai.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-3448"	""	"73,594.54"	"DABADIE AMERICO"
"900010"	"123456789"	"987654321"	"0.00"	"CAD"	"18"	"1"	"Category"	"Other Bonds"	""	"85,693.25"	""	"3"	"Ph2"	"Ph1"	""	"No"	""	""	"French"	"AMERICO DABADIE"	""	""	"qwerty@lfr.se"	"Yes"	"01/10/1950"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"DABADIE AMERICO"
"800044"	""	""	"(71,385.96)"	"CAD"	""	""	"Sector"	"% Medium-Term Bonds (5-10 yrs)"	""	"12,345,678,901.12"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"Tests de co-détention 1"	""	""	"AVIS.BEDWELL@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-9281"	""	"367,036.04"	"DE CO-DÉTENTION"
"800251"	"(450) 555-4859"	"(450) 555-0474"	"12,613.56"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANDREA7890123456789012345678901234567890DEEM56789012345678901234"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-0181"	""	"1,327,792.14"	"DEEM567890123456"
"800047"	"(450) 555-2059"	"(450) 555-3010"	"(8,501.45)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"YOGOURT DELISLE"	""	""	"CARILYNE.BELLINI@caramail.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-1849"	""	"567,024.82"	"DELISLE YOGOURT"
"800288"	""	""	"18,218.90"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARNAST DEMERCHANT"	""	""	"BERNICE.CROWLE@yahoo.com"	"Yes"	"04/09/1964"	""	"0.00"	""	"(450) 555-9607"	""	"44,559.16"	"DEMERCHANT ARNAS"
"800263"	"(450) 555-1974"	"(450) 555-1470"	"15,431.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AQUARIUS DODOK"	""	""	"BELLA.LARRIVEE@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-9842"	""	"2,345,914.92"	"DODOK AQUARIUS"
"800250-3"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"MLLE BOURBON ELYSA"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"	"ELYSA BOURBON"
"800063"	"(450) 555-8191"	"(450) 555-7525"	"473,998.64"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNATCHEZ EVERTON"	""	""	"CHINDA.BLAIKIE@videotron.ca"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-2841"	""	"1,833,492.98"	"EVERTON BERNATCH"
"800237"	"(450) 555-2466"	"(450) 555-8267"	"10,630.96"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANESTIS FATA"	""	""	"BOUDREAU.CHIRIKDJIAN@caramail.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-7542"	""	"492,899.76"	"FATA ANESTIS"
"800043"	"4507742741"	""	"23,726.11"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"FIDUCIE TESTAMENTAIRE FAMILIALE ADRESSE OLEKSIEW"	""	""	"ALFREDA.BEDA@usa.net"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8852"	""	"612,472.99"	"FIDUCIE TESTAMEN"
"800214"	"(450) 555-8651"	"(450) 555-9211"	"3,107.75"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CATHY FORTIN"	""	""	"CARILYNE.CALDER@caramail.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-5404"	""	"120,218.91"	"FORTIN CAT"
"800055-1"	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"tt2"	"tt1"	""	"No"	""	""	"French"	"FRANCOIS BOMBARDIER"	""	""	"em1@qwert.com"	"Yes"	""	""	"0.00"	""	""	""	"161,676.52"	"FRANCOIS BOMBARD"
"800024"	"(450) 555-7248"	"(450) 555-5038"	"27.80"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CELIA FRANCOIS"	""	""	"BRANT.BALDING@caramail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-6324"	""	"27.80"	"FRANCOIS CELIA"
"800055-2"	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"tt2"	"tt1"	""	"No"	""	""	"French"	"FRANCOISE DAVID"	""	""	"em1@qwert.com"	"Yes"	""	""	"0.00"	""	""	""	"161,676.52"	"FRANCOISE DAVID"
"800046"	"(450) 555-3143"	"(450) 555-2128"	"31,075.36"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CHRISTINE FRESEY"	""	""	"ARGIA.BELIVEAU@hotmail.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-0669"	""	"1,469,233.88"	"FRESEY CHRISTINE"
"800280"	"1234567890"	"9876543210"	"215,121.45"	"CAD"	"111"	""	"Security Number"	"% Other Derivatives Content"	""	"85,552.00"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BENEZETTE GALLEY"	""	""	"E11@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-9786"	""	"1,604,227.44"	"GALLEY BENEZETTE"
"800021"	"(450) 555-7564"	"(450) 555-0541"	"(27,223.37)"	"CAD"	""	"8"	"Subcategory"	"% Canadian Bond Content"	""	"852.36"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BAYNE GARTON"	""	""	"AAA@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5501"	""	"1,385,172.97"	"GARTON BAYNE"
"800267"	"(450) 555-5552"	"(450) 555-4777"	"27,233.61"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALOIS GATES"	""	""	"BERNIE.COLELLA@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-6300"	""	"1,200,700.65"	"GATES ALOIS"
"800041"	"4183346666"	""	"388,181.71"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"GESTION ABCDEF INC."	""	""	"ANNEMARIE.BEAUDRY@hotmail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-5602"	""	"3,124,442.75"	"GESTION ABCDEF I"
"800250-1"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"MR BOURBON GHILZON DR"	""	""	"ed@cr.ca"	"Yes"	"09/07/1968"	""	"0.00"	""	""	""	"0.00"	"GHILZON BOURBON"
"800277"	"123 456 7890"	"123 456-7890"	"27,229.24"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"//1 ANGELLA Mid1 GIRARDIN hon1"	""	""	"TestCroesus@carmail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-4251"	""	"1,032,303.72"	"GIRARDIN ANGELLA"
"300007"	"(450) 555-4444"	"(450) 555-4441"	"952,722.73"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"GP VALIDATION"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"952,722.73"	"GP VALIDATION"
"800213"	"(450) 555-6400"	"(450) 555-0551"	"9,178.02"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AMIOT GRACIE"	""	""	"AUGUSTUS.CADOTTE@yahoo.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-1473"	""	"1,040,331.72"	"GRACIE AMIOT"
"800269"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BARRY GREICO"	""	""	"BELISLE.COMPTABLE@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-8094"	""	"0.00"	"GREICO BARRY"
"800060"	""	""	"266,432.63"	"CAD"	""	"1"	""	"% Cash Content"	"111 rue dfffffff ftttt"	"8,563.25"	""	"3"	"2"	"1"	""	"Yes"	""	""	"French"	"CHANTAL GRUEN"	""	""	"AMIOT.BIRT@hotmail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-1306"	""	"999,539.12"	"GRUEN CHANTAL"
"800084-2"	"450 6626101B"	"1234567890"	"9,184.65"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi4"	"ToTo4"	""	"Yes"	""	""	"French"	"ALLAN GUERASSIMENKO"	""	""	"Toto4@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"2,599,148.85"	"GUERASSIMENKO AL"
"800085"	"(450) 555-2559"	"(450) 555-4855"	"3,150.94"	"CAD"	"500,000"	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALLAN GUERASSIMENKO"	""	""	"BERTHIAUM.BRIDGMAN@yahoo.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-2499"	""	"136,858.80"	"GUERASSIMENKO AL"
"800279"	"(450) 555-8609"	"(450) 555-8745"	"9,522.84"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"OLIVIER GUIMOND"	""	""	"CATHERYN.POIRE@videotron.ca"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-0091"	""	"1,804,764.06"	"GUIMOND OLIVIER"
"800061"	""	""	"0.00"	"CAD"	""	""	"Security Number"	"% Other Securities Content"	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BONACE GURAK"	""	""	"ARCHEVEQUE.BISH@hotmail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-5030"	""	"0.00"	"GURAK BONACE"
"800287"	"(450) 555-0474"	"(450) 555-7343"	"11,408.47"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AURORE HARTER"	""	""	"ANGES.CROSKERY@hotmail.com"	"Yes"	"04/09/1964"	""	"0.00"	""	"(450) 555-9184"	""	"1,000,447.02"	"HARTER AURORE"
"800001"	"(450) 555-6794"	"(450) 555-3879"	"34,190.80"	"CAD"	""	""	"Category"	"% Preferred Equity Content"	"long texte de plusieurs 
ligne afind e valider l'affichage
dans l'export
le alt-p
les copye avec entête et
autres tests"	"123,456,789.00"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALAIN HEFFELFINGER"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3513"	""	"1,254,339.46"	"HEFFELFINGER ALA"
"800249"	"(450) 555-6934"	"(450) 555-4795"	"162,759.21"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARRY HOFFMAN"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-2219"	""	"21,360,941.40"	"HOFFMAN ARRY"
"800271"	"(450) 555-7821"	"(450) 555-9043"	"0.00"	"CAD"	""	""	""	""	""	"78.00"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ACURA HOLLIS"	""	""	"AURELIANO.CONNELL@yahoo.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-4080"	""	"0.00"	"HOLLIS ACURA"
"800243"	"(450) 555-0805"	"(450) 555-6049"	"511.06"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANTONINE HUMPHREY"	""	""	"ali.hachemi@croesus.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-3135"	""	"96,755.89"	"HUMPHREY ANTONIN"
"800220"	"(450) 555-2470"	"(450) 555-4704"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CAHTERINE ISMAN"	""	""	"AUTOBUS.CARIGNAN@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-0964"	""	"0.00"	"ISMAN CAHTERINE"
"800062"	"(450) 555-5792"	"(450) 555-5859"	"40,424.08"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AMALIE ISSENMAN"	""	""	"BRANT.BISSONETTE@caramail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-3247"	""	"235,515.87"	"ISSENMAN AMALIE"
"800254"	"(450) 555-7000"	"(450) 555-6489"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANTONIUS JAKOBSEN"	""	""	"ACAKIU.COOK@usa.net"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-5568"	""	"0.00"	"JAKOBSEN ANTONIU"
"800221"	""	""	"3,265.27"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"JANELLE CARLEY"	""	""	"BERUBE.CARNOGURSKY@yahoo.com"	"Yes"	"07/21/1968"	""	"0.00"	""	"(450) 555-5330"	""	"643,757.68"	"JANELLE CARLEY"
"800078"	"(450) 555-0097"	"(450) 555-7078"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BABCOCK JANSEN"	""	""	"CHANTAL.BOURASSA@videotron.ca"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-6370"	""	"0.00"	"JANSEN BABCOCK"
"800087"	"(450) 555-4064"	"(450) 555-0850"	"12,409.99"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"JOAN MCDOWALL"	""	""	"BOIVIN.BRISSON@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9125"	""	"406,271.36"	"JOAN CAYLEY"
"800048"	"(450) 555-5398"	"(450) 555-5398"	"35,147.92"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALOURDES KADOTA"	""	""	"BELLEROSE.BELVAN@yahoo.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-4403"	""	"809,365.04"	"KADOTA ALOURDES"
"800230-2"	"4506626102"	"5146626102"	"17,537.50"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mme person Jr, Kala maître"	""	""	"Toto2@carmail.cr"	"Yes"	"07/21/1970"	""	"0.00"	""	""	""	"804,500.34"	"KALA PERSON"
"800077"	"1234567890"	"9876543210"	"8,066.27"	"CAD"	"580,000"	""	""	""	""	""	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"MCKENZIE KING"	""	""	"Kach.Haja@CROESUS.COM"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-7381"	""	"181,014.83"	"KING MCKENZIE"
"800081-2"	"450 6626101B"	"1234567890"	"2,758.48"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi1"	"ToTo1"	""	"Yes"	""	""	"French"	"MCKENZIE KING"	""	""	"Toto1@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"432,140.27"	"KING MCKENZIE"
"800260"	"(450) 555-1222"	"(450) 555-2627"	"562.82"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CHARTRAND KINOSHITA"	""	""	"BARGAIN.RENALD@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-7387"	""	"716,778.62"	"KINOSHITA CHARTR"
"800079"	"(450) 555-5954"	"(450) 555-2795"	"1,963.11"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AILLEEN KLINGMAN"	""	""	"CARMINE.BOURDEAU($US)@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-6027"	""	"824,818.01"	"KLINGMAN AILLEEN"
"800236"	""	""	"128,382.85"	"CAD"	"7"	""	""	"% Canadian Bond Content"	"ceci est un long texte
 pour valider comment
 est interpréter les saut de ligne
dans info client et msword"	"852.36"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mr. AMEDEE Jr. KNIGHT DR."	""	""	"CHEF.CHEVARIE@videotron.ca"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-0324"	""	"2,941,391.97"	"KNIGHT AMEDEE"
"900235"	""	""	"93,297.43"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AMEDEE KNIGHT DR."	""	""	"email99@créca"	"Yes"	"10/11/1959"	""	"0.00"	""	"777 888 9999"	""	"1,993,044.04"	"KNIGHT AMEDEE"
"800014"	"(450) 555-4622"	"(450) 555-8363"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BABE KROEGER"	""	""	"CHARTIER.ASSEDOU@videotron.ca"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-0128"	""	"0.00"	"KROEGER BABE"
"800036"	"4502638715F"	""	"358,856.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH2"	""	"No"	""	""	"French"	"LA FABRIQUE DE LA RESERVE DE NOTRE-DAME-DE-LAFRIQUE"	""	""	"BERRTRAND.BAUDOUIN@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-9221"	""	"991,182.19"	"LA FABRIQUE DE L"
"800080-2"	"450 6626101B"	"1234567890"	"5,005.94"	"CAD"	"560,000"	""	""	""	""	""	""	"3"	"TiTi"	"ToTo"	""	"Yes"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"Toto@yahoo.ds"	"Yes"	"06/15/1975"	""	"0.00"	""	""	""	"895,925.09"	"LAFERRIERE BLAKE"
"800272"	"1234567890"	"9876543210"	"59,084.57"	"CAD"	"200"	""	""	""	"Je fais un test de longueur de profil pour voir comment les informations sont imprimées sur les rapports information client. Il y a déjà eu un problème dans cette fonction et je veux m'assure que tout est OK."	"452.36"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"E12@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-8881"	""	"2,886,021.67"	"LAFERRIERE BLAKE"
"900272"	"1234567890"	"9876543210"	"0.00"	"CAD"	""	""	"Security Number"	""	""	"452.36"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"E11@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"777 888 9999"	""	"0.00"	"LAFERRIERE BLAKE"
"800013"	"(450) 555-2336"	"(450) 555-7096"	"88,540.53"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNARDIN LANDRY"	""	""	"carole.turcotte@croesus.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-7846"	""	"1,948,194.25"	"LANDRY BERNARDIN"
"800218"	"(450) 555-6452"	"(450) 555-5224"	"608.13"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNICE LAPICO"	""	""	"BERT.CAPONI@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-2110"	""	"401,796.81"	"LAPICO BERNICE"
"800247"	"(450) 555-6604"	"(450) 555-3152"	"1,946.17"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ABBAYE LEVEILLEE"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-3933"	""	"890,334.75"	"LEVEILLEE ABBAYE"
"800039"	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"D"	"No"	""	""	"French"	"KJB-RU LIMITED"	""	""	"AUGUSTUS.BEANLAND@hotmail.com"	"Yes"	"01/01/1900"	"Telephone"	"0.00"	""	"(450) 555-7727"	""	"0.00"	"LIMITED KJB-RU"
"800018"	"(450) 555-2486"	"(450) 555-6577"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BRENNAN LOUIS"	""	""	"AUDE.AUMOND@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-8865"	""	"0.00"	"LOUIS BRENNAN"
"800276"	"(450) 555-7542"	"(450) 555-3195"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALEX LYTLE"	""	""	"BOURSE.COUSSON@caramail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-8412"	""	"0.00"	"LYTLE ALEX"
"800071"	"(450) 555-0523"	"(450) 555-7723"	"1,768.44"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CEDARS MACDONALD"	""	""	"CLAIRA.BOMEK@videotron.ca"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-5770"	""	"108,893.79"	"MACDONALD CEDARS"
"800069"	"(450) 555-0843"	"(450) 555-8003"	"11,302.74"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"MATHIEU MAHEU"	""	""	"AMEDEE.BOHUON@usa.net"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-9745"	""	"161,133.13"	"MAHEU MATHIEU"
"800020"	"(450) 555-3128"	"(450) 555-7332"	"121,305.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ACACIA MAKRIS"	""	""	"ALMOOR.AYOTTE@usa.net"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-7588"	""	"4,373,616.02"	"MAKRIS ACACIA"
"800229"	""	""	"29,742.82"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BALLANTY MALISKA"	""	""	"ATUL.CHAMARD@hotmail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-1113"	""	"819,748.15"	"MALISKA BALLANT"
"800009"	"(450) 555-8881"	"(450) 555-3223"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CELINE MALITO"	""	""	"BESS.ARCILA@yahoo.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-4649"	""	"0.00"	"MALITO CELINE"
"800246"	"(450) 555-4339"	"(450) 555-3138"	"5,522.58"	"CAD"	""	""	""	""	"1. Faire un critère sur un profil numérique tel que:
2. Liste des clients(client réel) ayant Profil x égale à 0.00.
3. Constater que tous les clients avec le profil vide sont sélectionnés"	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CARLE MARCIL"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-1328"	""	"550,356.13"	"MARCIL CARLE"
"800003"	"(450) 555-8077"	"(450) 555-1655"	"10,434.74"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRITT MARSTON"	""	""	"mugurels@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3691"	""	"817,555.17"	"MARSTON BRITT"
"800268"	"(450) 555-1284"	"(450) 555-5778"	"4,111.26"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AUDETTE MARTELLO"	""	""	"ASHRAF.COLQUHOUN@hotmail.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-3267"	""	"873,447.62"	"MARTELLO AUDETTE"
"800205"	"(450) 555-4830"	"(450) 555-4237"	"19,858.84"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BENNO MASSIE"	""	""	"ANGELINA.BRUYNOOGHE@hotmail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-1332"	""	"7,584,703.95"	"MASSIE BENNO"
"800250-4"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"BOURBON MAUDE JR"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"	"MAUDE BOURBON"
"800222"	"(450) 555-6658"	"(450) 555-6615"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AURELIANO MCCOMBE"	""	""	"AMZINA.CASINO@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-1316"	""	"0.00"	"MCCOMBE AURELIAN"
"800086"	"(450) 555-4064"	"(450) 555-0850"	"11,094.54"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CAYLEY MCDOWALL"	""	""	"BOIVIN.BRISSON@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9125"	""	"157,568.79"	"MCDOWALL CAYLEY"
"800006"	"(450) 555-2490"	"(450) 555-3099"	"(6,659.96)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BLACK MCGILLICUDDY"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3496"	""	"2,059,858.16"	"MCGILLICUDDY BLA"
"800224"	"(450) 555-5501"	"(450) 555-3816"	"21,875.49"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALFONSO MCGRATH"	""	""	"ANASTASIA.CASSISTAT@hotmail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-2397"	""	"473,632.89"	"MCGRATH ALFONSO"
