"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Gross Income"	"carolet"	"Bouquet"	"bateau A"	"Bagage"	"Arbre A"	"Tel type 4"	"Tel type 3"	"Tel type 2"	"Tel type 1"	"Segmentation"	"Representative"	"Model Number"	"Model Name"	"Language"	"Full Name"	"Email 3"	"Email 2"	"Email 1"	"Discretionary"	"Date of Birth"	"Communication"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"COCO"	"800033"	"AC44"	"5144584732"	""	"1,463.29"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"FDP_TEL1"	""	"No"	""	""	"French"	"COCO"	""	""	"ARTHUR.BARROWS@hotmail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-1370"	""	"521,037.01"
"CONWAY BORDELEAU"	"800080-1"	"BD66"	"450 6626101B"	"1234567890"	"5,005.94"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi"	"ToTo"	""	"No"	""	""	"French"	"BORDELEAU CONWAY"	""	""	"Toto@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"895,925.09"
"COUSSON BOURSE"	"800012"	"AC42"	"(450) 555-0007"	"(450) 555-1949"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BOURSE COUSSON"	""	""	"CARRIE.ARSENEAU@videotron.ca"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5018"	""	"0.00"
"CULLEN CARLISLE"	"800292-1"	"BD88"	"123 456 7890"	"(416) 666-6543"	"7,129.08"	"CAD"	""	""	""	""	""	""	""	""	"FDP_TEL2"	"Type1"	""	"No"	""	""	"English"	"CARLISLE CULLEN"	""	""	"CARLISLE.CULLEM@yahoo.ca"	"Yes"	""	""	"0.00"	""	""	""	"286,801.89"
"CULLEN EDWARD"	"800289"	"AC42"	""	""	"0.00"	"USD"	""	""	""	""	""	""	""	""	"2"	"1"	""	"No"	""	""	"French"	"EDWARD jr. CULLEN"	""	""	"EDWARD.CULLEM@caramail.com"	"Yes"	"05/09/1964"	""	"0.00"	""	""	""	"0.00"
"DABADIE AMERICO"	"800010"	"AC42"	"(450) 555-4476"	"(450) 555-9713"	"1,111.61"	"CAD"	""	""	""	""	""	"9,876,543,210.36"	""	"3"	"TEL."	"TELEPHONE"	""	"No"	""	""	"French"	"AMERICO DABADIE"	""	""	"test@essai.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-3448"	""	"73,594.54"
"DABADIE AMERICO"	"900010"	"AC44"	"123456789"	"987654321"	"0.00"	"CAD"	"18"	"1"	"Category"	"Other Bonds"	""	"85,693.25"	""	"3"	"Ph2"	"Ph1"	""	"No"	""	""	"French"	"AMERICO DABADIE"	""	""	"qwerty@lfr.se"	"Yes"	"01/10/1950"	""	"0.00"	""	"777 888 9999"	""	"0.00"
"DE CO-DÉTENTION"	"800044"	"AC42"	""	""	"(71,385.96)"	"CAD"	""	""	"Sector"	"% Medium-Term Bonds (5-10 yrs)"	""	"12,345,678,901.12"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"Tests de co-détention 1"	""	""	"AVIS.BEDWELL@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-9281"	""	"367,036.04"
"DEEM567890123456"	"800251"	"AC42"	"(450) 555-4859"	"(450) 555-0474"	"12,613.56"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANDREA7890123456789012345678901234567890DEEM56789012345678901234"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-0181"	""	"1,327,792.14"
"DELISLE YOGOURT"	"800047"	"AC55"	"(450) 555-2059"	"(450) 555-3010"	"(8,501.45)"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"YOGOURT DELISLE"	""	""	"CARILYNE.BELLINI@caramail.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-1849"	""	"567,024.82"
"DEMERCHANT ARNAS"	"800288"	"BD66"	""	""	"18,218.90"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARNAST DEMERCHANT"	""	""	"BERNICE.CROWLE@yahoo.com"	"Yes"	"04/09/1964"	""	"0.00"	""	"(450) 555-9607"	""	"44,559.16"
"DODOK AQUARIUS"	"800263"	"BD66"	"(450) 555-1974"	"(450) 555-1470"	"15,431.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AQUARIUS DODOK"	""	""	"BELLA.LARRIVEE@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-9842"	""	"2,345,914.92"
"ELYSA BOURBON"	"800250-3"	"AC42"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"MLLE BOURBON ELYSA"	""	""	"ed@cr.ca"	"Yes"	""	""	"0.00"	""	""	""	"0.00"
"EVERTON BERNATCH"	"800063"	"AC42"	"(450) 555-8191"	"(450) 555-7525"	"473,998.64"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNATCHEZ EVERTON"	""	""	"CHINDA.BLAIKIE@videotron.ca"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-2841"	""	"1,833,492.98"
"FATA ANESTIS"	"800237"	"0AED"	"(450) 555-2466"	"(450) 555-8267"	"10,630.96"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANESTIS FATA"	""	""	"BOUDREAU.CHIRIKDJIAN@caramail.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-7542"	""	"492,899.76"
"FIDUCIE TESTAMEN"	"800043"	"AC42"	"4507742741"	""	"23,726.11"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"FIDUCIE TESTAMENTAIRE FAMILIALE ADRESSE OLEKSIEW"	""	""	"ALFREDA.BEDA@usa.net"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-8852"	""	"612,472.99"
"FORTIN CAT"	"800214"	"BD88"	"(450) 555-8651"	"(450) 555-9211"	"3,107.75"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CATHY FORTIN"	""	""	"CARILYNE.CALDER@caramail.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-5404"	""	"120,218.91"
"FRANCOIS BOMBARD"	"800055-1"	"AC42"	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"tt2"	"tt1"	""	"No"	""	""	"French"	"FRANCOIS BOMBARDIER"	""	""	"em1@qwert.com"	"Yes"	""	""	"0.00"	""	""	""	"161,676.52"
"FRANCOIS CELIA"	"800024"	"AC55"	"(450) 555-7248"	"(450) 555-5038"	"27.80"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CELIA FRANCOIS"	""	""	"BRANT.BALDING@caramail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-6324"	""	"27.80"
"FRANCOISE DAVID"	"800055-2"	"AC42"	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"tt2"	"tt1"	""	"No"	""	""	"French"	"FRANCOISE DAVID"	""	""	"em1@qwert.com"	"Yes"	""	""	"0.00"	""	""	""	"161,676.52"
"FRESEY CHRISTINE"	"800046"	"AC55"	"(450) 555-3143"	"(450) 555-2128"	"31,075.36"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CHRISTINE FRESEY"	""	""	"ARGIA.BELIVEAU@hotmail.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-0669"	""	"1,469,233.88"
"GALLEY BENEZETTE"	"800280"	"AC43"	"1234567890"	"9876543210"	"215,121.45"	"CAD"	"111"	""	"Security Number"	"% Other Derivatives Content"	""	"85,552.00"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BENEZETTE GALLEY"	""	""	"E11@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-9786"	""	"1,604,227.44"
"GARTON BAYNE"	"800021"	"AC44"	"(450) 555-7564"	"(450) 555-0541"	"(27,223.37)"	"CAD"	""	"8"	"Subcategory"	"% Canadian Bond Content"	""	"852.36"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BAYNE GARTON"	""	""	"AAA@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-5501"	""	"1,385,172.97"
"GATES ALOIS"	"800267"	"AC43"	"(450) 555-5552"	"(450) 555-4777"	"27,233.61"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALOIS GATES"	""	""	"BERNIE.COLELLA@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-6300"	""	"1,200,700.65"
"GESTION ABCDEF I"	"800041"	"AC44"	"4183346666"	""	"388,181.71"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"GESTION ABCDEF INC."	""	""	"ANNEMARIE.BEAUDRY@hotmail.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-5602"	""	"3,124,442.75"
"GHILZON BOURBON"	"800250-1"	"AC42"	"7592822"	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH"	""	"No"	""	""	"French"	"MR BOURBON GHILZON DR"	""	""	"ed@cr.ca"	"Yes"	"09/07/1968"	""	"0.00"	""	""	""	"0.00"
"GIRARDIN ANGELLA"	"800277"	"AC42"	"123 456 7890"	"123 456-7890"	"27,229.24"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"//1 ANGELLA Mid1 GIRARDIN hon1"	""	""	"TestCroesus@carmail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-4251"	""	"1,032,303.72"
"GP VALIDATION"	"300007"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"952,722.73"	"CAD"	""	""	""	""	""	""	"4"	"3"	"2"	"1"	""	"No"	""	""	"French"	"GP VALIDATION"	""	""	"julie.lamarche@croesus.com"	"Yes"	"01/01/1980"	""	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"952,722.73"
"GRACIE AMIOT"	"800213"	"AC42"	"(450) 555-6400"	"(450) 555-0551"	"9,178.02"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AMIOT GRACIE"	""	""	"AUGUSTUS.CADOTTE@yahoo.com"	"Yes"	"10/10/1936"	""	"0.00"	""	"(450) 555-1473"	""	"1,040,331.72"
"GREICO BARRY"	"800269"	"AC42"	""	""	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BARRY GREICO"	""	""	"BELISLE.COMPTABLE@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-8094"	""	"0.00"
"GRUEN CHANTAL"	"800060"	"AC42"	""	""	"266,432.63"	"CAD"	""	"1"	""	"% Cash Content"	"111 rue dfffffff ftttt"	"8,563.25"	""	"3"	"2"	"1"	""	"Yes"	""	""	"French"	"CHANTAL GRUEN"	""	""	"AMIOT.BIRT@hotmail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-1306"	""	"999,539.12"
"GUERASSIMENKO AL"	"800084-2"	"BD77"	"450 6626101B"	"1234567890"	"9,184.65"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi4"	"ToTo4"	""	"Yes"	""	""	"French"	"ALLAN GUERASSIMENKO"	""	""	"Toto4@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"2,599,148.85"
"GUERASSIMENKO AL"	"800085"	"AC42"	"(450) 555-2559"	"(450) 555-4855"	"3,150.94"	"CAD"	"500,000"	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALLAN GUERASSIMENKO"	""	""	"BERTHIAUM.BRIDGMAN@yahoo.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-2499"	""	"136,858.80"
"GUIMOND OLIVIER"	"800279"	"AC42"	"(450) 555-8609"	"(450) 555-8745"	"9,522.84"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"OLIVIER GUIMOND"	""	""	"CATHERYN.POIRE@videotron.ca"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-0091"	""	"1,804,764.06"
"GURAK BONACE"	"800061"	"AC42"	""	""	"0.00"	"CAD"	""	""	"Security Number"	"% Other Securities Content"	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BONACE GURAK"	""	""	"ARCHEVEQUE.BISH@hotmail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-5030"	""	"0.00"
"HARTER AURORE"	"800287"	"BD66"	"(450) 555-0474"	"(450) 555-7343"	"11,408.47"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AURORE HARTER"	""	""	"ANGES.CROSKERY@hotmail.com"	"Yes"	"04/09/1964"	""	"0.00"	""	"(450) 555-9184"	""	"1,000,447.02"
"HEFFELFINGER ALA"	"800001"	"AC42"	"(450) 555-6794"	"(450) 555-3879"	"34,190.80"	"CAD"	""	""	"Category"	"% Preferred Equity Content"	"long texte de plusieurs 
ligne afind e valider l'affichage
dans l'export
le alt-p
les copye avec entête et
autres tests"	"123,456,789.00"	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ALAIN HEFFELFINGER"	""	""	"mugurel.scobiac@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3513"	""	"1,254,339.46"
"HOFFMAN ARRY"	"800249"	"BD88"	"(450) 555-6934"	"(450) 555-4795"	"162,759.21"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ARRY HOFFMAN"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-2219"	""	"21,360,941.40"
"HOLLIS ACURA"	"800271"	"BD77"	"(450) 555-7821"	"(450) 555-9043"	"0.00"	"CAD"	""	""	""	""	""	"78.00"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ACURA HOLLIS"	""	""	"AURELIANO.CONNELL@yahoo.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-4080"	""	"0.00"
"HUMPHREY ANTONIN"	"800243"	"AC42"	"(450) 555-0805"	"(450) 555-6049"	"511.06"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANTONINE HUMPHREY"	""	""	"ali.hachemi@croesus.com"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-3135"	""	"96,755.89"
"ISMAN CAHTERINE"	"800220"	"AC42"	"(450) 555-2470"	"(450) 555-4704"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CAHTERINE ISMAN"	""	""	"AUTOBUS.CARIGNAN@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-0964"	""	"0.00"
"ISSENMAN AMALIE"	"800062"	"AC42"	"(450) 555-5792"	"(450) 555-5859"	"40,424.08"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"AMALIE ISSENMAN"	""	""	"BRANT.BISSONETTE@caramail.com"	"Yes"	"12/12/1970"	""	"0.00"	""	"(450) 555-3247"	""	"235,515.87"
"JAKOBSEN ANTONIU"	"800254"	"AC42"	"(450) 555-7000"	"(450) 555-6489"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ANTONIUS JAKOBSEN"	""	""	"ACAKIU.COOK@usa.net"	"Yes"	"08/12/1981"	""	"0.00"	""	"(450) 555-5568"	""	"0.00"
"JANELLE CARLEY"	"800221"	"BD88"	""	""	"3,265.27"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"JANELLE CARLEY"	""	""	"BERUBE.CARNOGURSKY@yahoo.com"	"Yes"	"07/21/1968"	""	"0.00"	""	"(450) 555-5330"	""	"643,757.68"
"JANSEN BABCOCK"	"800078"	"BD88"	"(450) 555-0097"	"(450) 555-7078"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BABCOCK JANSEN"	""	""	"CHANTAL.BOURASSA@videotron.ca"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-6370"	""	"0.00"
"JOAN CAYLEY"	"800087"	"AC42"	"(450) 555-4064"	"(450) 555-0850"	"12,409.99"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"JOAN MCDOWALL"	""	""	"BOIVIN.BRISSON@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-9125"	""	"406,271.36"
"KADOTA ALOURDES"	"800048"	"AC55"	"(450) 555-5398"	"(450) 555-5398"	"35,147.92"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALOURDES KADOTA"	""	""	"BELLEROSE.BELVAN@yahoo.com"	"Yes"	"02/03/1968"	""	"0.00"	""	"(450) 555-4403"	""	"809,365.04"
"KALA PERSON"	"800230-2"	"AC43"	"4506626102"	"5146626102"	"17,537.50"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mme person Jr, Kala maître"	""	""	"Toto2@carmail.cr"	"Yes"	"07/21/1970"	""	"0.00"	""	""	""	"804,500.34"
"KING MCKENZIE"	"800077"	"0AED"	"1234567890"	"9876543210"	"8,066.27"	"CAD"	"580,000"	""	""	""	""	""	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"MCKENZIE KING"	""	""	"Kach.Haja@CROESUS.COM"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-7381"	""	"181,014.83"
"KING MCKENZIE"	"800081-2"	"BD66"	"450 6626101B"	"1234567890"	"2,758.48"	"CAD"	""	""	""	""	""	""	""	"3"	"TiTi1"	"ToTo1"	""	"Yes"	""	""	"French"	"MCKENZIE KING"	""	""	"Toto1@yahoo.ds"	"Yes"	""	""	"0.00"	""	""	""	"432,140.27"
"KINOSHITA CHARTR"	"800260"	"BD66"	"(450) 555-1222"	"(450) 555-2627"	"562.82"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"CHARTRAND KINOSHITA"	""	""	"BARGAIN.RENALD@yahoo.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-7387"	""	"716,778.62"
"KLINGMAN AILLEEN"	"800079"	"BD66"	"(450) 555-5954"	"(450) 555-2795"	"1,963.11"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AILLEEN KLINGMAN"	""	""	"CARMINE.BOURDEAU($US)@caramail.com"	"Yes"	"06/18/1975"	""	"0.00"	""	"(450) 555-6027"	""	"824,818.01"
"KNIGHT AMEDEE"	"800236"	"BD66"	""	""	"128,382.85"	"CAD"	"7"	""	""	"% Canadian Bond Content"	"ceci est un long texte
 pour valider comment
 est interpréter les saut de ligne
dans info client et msword"	"852.36"	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"Mr. AMEDEE Jr. KNIGHT DR."	""	""	"CHEF.CHEVARIE@videotron.ca"	"Yes"	"10/11/1959"	""	"0.00"	""	"(450) 555-0324"	""	"2,941,391.97"
"KNIGHT AMEDEE"	"900235"	"0AED"	""	""	"93,297.43"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AMEDEE KNIGHT DR."	""	""	"email99@créca"	"Yes"	"10/11/1959"	""	"0.00"	""	"777 888 9999"	""	"1,993,044.04"
"KROEGER BABE"	"800014"	"AC42"	"(450) 555-4622"	"(450) 555-8363"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BABE KROEGER"	""	""	"CHARTIER.ASSEDOU@videotron.ca"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-0128"	""	"0.00"
"LA FABRIQUE DE L"	"800036"	"AC44"	"4502638715F"	""	"358,856.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"OSSOTH2"	""	"No"	""	""	"French"	"LA FABRIQUE DE LA RESERVE DE NOTRE-DAME-DE-LAFRIQUE"	""	""	"BERRTRAND.BAUDOUIN@yahoo.com"	"Yes"	"01/01/1900"	""	"0.00"	""	"(450) 555-9221"	""	"991,182.19"
"LAFERRIERE BLAKE"	"800080-2"	"BD66"	"450 6626101B"	"1234567890"	"5,005.94"	"CAD"	"560,000"	""	""	""	""	""	""	"3"	"TiTi"	"ToTo"	""	"Yes"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"Toto@yahoo.ds"	"Yes"	"06/15/1975"	""	"0.00"	""	""	""	"895,925.09"
"LAFERRIERE BLAKE"	"800272"	"0AED"	"1234567890"	"9876543210"	"59,084.57"	"CAD"	"200"	""	""	""	"Je fais un test de longueur de profil pour voir comment les informations sont imprimées sur les rapports information client. Il y a déjà eu un problème dans cette fonction et je veux m'assure que tout est OK."	"452.36"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"E12@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-8881"	""	"2,886,021.67"
"LAFERRIERE BLAKE"	"900272"	"BD77"	"1234567890"	"9876543210"	"0.00"	"CAD"	""	""	"Security Number"	""	""	"452.36"	""	"3"	"TYPE21"	"TYPE11"	""	"No"	""	""	"French"	"BLAKE LAFERRIERE"	""	""	"E11@CROESUS.COM"	"Yes"	"06/15/1975"	""	"0.00"	""	"777 888 9999"	""	"0.00"
"LANDRY BERNARDIN"	"800013"	"AC55"	"(450) 555-2336"	"(450) 555-7096"	"88,540.53"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNARDIN LANDRY"	""	""	"carole.turcotte@croesus.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-7846"	""	"1,948,194.25"
"LAPICO BERNICE"	"800218"	"AC42"	"(450) 555-6452"	"(450) 555-5224"	"608.13"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BERNICE LAPICO"	""	""	"BERT.CAPONI@yahoo.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-2110"	""	"401,796.81"
"LEVEILLEE ABBAYE"	"800247"	"AC42"	"(450) 555-6604"	"(450) 555-3152"	"1,946.17"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ABBAYE LEVEILLEE"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-3933"	""	"890,334.75"
"LIMITED KJB-RU"	"800039"	"AC42"	"(450) 555-4676"	"(450) 555-4168"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	"D"	"No"	""	""	"French"	"KJB-RU LIMITED"	""	""	"AUGUSTUS.BEANLAND@hotmail.com"	"Yes"	"01/01/1900"	"Telephone"	"0.00"	""	"(450) 555-7727"	""	"0.00"
"LOUIS BRENNAN"	"800018"	"AC55"	"(450) 555-2486"	"(450) 555-6577"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"BRENNAN LOUIS"	""	""	"AUDE.AUMOND@hotmail.com"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-8865"	""	"0.00"
"LYTLE ALEX"	"800276"	"0AED"	"(450) 555-7542"	"(450) 555-3195"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"ALEX LYTLE"	""	""	"BOURSE.COUSSON@caramail.com"	"Yes"	"06/15/1975"	""	"0.00"	""	"(450) 555-8412"	""	"0.00"
"MACDONALD CEDARS"	"800071"	"0AED"	"(450) 555-0523"	"(450) 555-7723"	"1,768.44"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CEDARS MACDONALD"	""	""	"CLAIRA.BOMEK@videotron.ca"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-5770"	""	"108,893.79"
"MAHEU MATHIEU"	"800069"	"BD88"	"(450) 555-0843"	"(450) 555-8003"	"11,302.74"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"MATHIEU MAHEU"	""	""	"AMEDEE.BOHUON@usa.net"	"Yes"	"02/11/1953"	""	"0.00"	""	"(450) 555-9745"	""	"161,133.13"
"MAKRIS ACACIA"	"800020"	"AC42"	"(450) 555-3128"	"(450) 555-7332"	"121,305.66"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"English"	"ACACIA MAKRIS"	""	""	"ALMOOR.AYOTTE@usa.net"	"Yes"	"01/10/1950"	""	"0.00"	""	"(450) 555-7588"	""	"4,373,616.02"
"MALISKA BALLANT"	"800229"	"0AED"	""	""	"29,742.82"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BALLANTY MALISKA"	""	""	"ATUL.CHAMARD@hotmail.com"	"Yes"	"03/07/1965"	""	"0.00"	""	"(450) 555-1113"	""	"819,748.15"
"MALITO CELINE"	"800009"	"AC42"	"(450) 555-8881"	"(450) 555-3223"	"0.00"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CELINE MALITO"	""	""	"BESS.ARCILA@yahoo.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-4649"	""	"0.00"
"MARCIL CARLE"	"800246"	"BD66"	"(450) 555-4339"	"(450) 555-3138"	"5,522.58"	"CAD"	""	""	""	""	"1. Faire un critère sur un profil numérique tel que:
2. Liste des clients(client réel) ayant Profil x égale à 0.00.
3. Constater que tous les clients avec le profil vide sont sélectionnés"	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"CARLE MARCIL"	""	""	"ali.hachemi@croesus.com"	"Yes"	"09/07/1968"	""	"0.00"	""	"(450) 555-1328"	""	"550,356.13"
"MARSTON BRITT"	"800003"	"AC42"	"(450) 555-8077"	"(450) 555-1655"	"10,434.74"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"BRITT MARSTON"	""	""	"mugurels@croesus.com"	"Yes"	"09/12/1948"	""	"0.00"	""	"(450) 555-3691"	""	"817,555.17"
"MARTELLO AUDETTE"	"800268"	"AC42"	"(450) 555-1284"	"(450) 555-5778"	"4,111.26"	"CAD"	""	""	""	""	""	""	""	"3"	"2"	"1"	""	"No"	""	""	"French"	"AUDETTE MARTELLO"	""	""	"ASHRAF.COLQUHOUN@hotmail.com"	"Yes"	"07/28/1947"	""	"0.00"	""	"(450) 555-3267"	""	"873,447.62"
