"Name"	"Client No."	"IA Code"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Margin"	"Last Communication"	"Telephone 3"	"Telephone 4"	"Total Value"
"PILOTE ALDO"	"800065"	"BD66"	"(450) 555-6425"	"(450) 555-1325"	"3,214.10"	"CAD"	"0.00"	""	"(450) 555-7525"	""	"145,856.98"
"PINARD CATHARINA"	"800210-1"	"BD88"	"(450) 555-4476"	"(450) 555-9713"	"9,248.52"	"CAD"	"0.00"	""	""	""	"881,624.38"
"PINARDETTE CATH"	"800210-2"	"BD88"	"(450) 555-4476"	"(450) 555-9713"	"9,248.52"	"CAD"	"0.00"	""	""	""	"881,624.38"
"PLATINE CHARTIER"	"800073"	"AC42"	"(450) 555-2637"	"(450) 555-4621"	"13,736.31"	"CAD"	"0.00"	""	"(450) 555-1052"	""	"947,086.43"
"POLOMSKI BENNY"	"800064"	"BD66"	"(450) 555-1464"	"(450) 555-9510"	"(15,709.17)"	"CAD"	"0.00"	""	"(450) 555-9312"	""	"1,090,965.72"
"PROJ. INC. RPT"	"800400"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"906,516.00"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"1,111,971.12"
"RAPPORT INTACC"	"800502"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"471,784.75"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"574,512.31"
"RENTES DES EMPLO"	"800037"	"AC44"	"(450) 555-2241"	"(450) 555-5351"	"11,006.85"	"CAD"	"0.00"	""	"(450) 555-5840"	""	"750,956.87"
"RETZLAFF CAISSE"	"800239"	"AC42"	"(450) 555-1316"	"(450) 555-0873"	"(7,656.59)"	"CAD"	"0.00"	""	"(450) 555-1070"	""	"3,486,416.42"
"ROLLAND CATELLIE"	"800227"	"BD88"	"(450) 555-4060"	"(450) 555-4861"	"2,982.47"	"CAD"	"0.00"	""	"(450) 555-0952"	""	"158,138.41"
"SAMBORSKI ALMA"	"800261"	"BD66"	"(450) 555-6604"	"(450) 555-0922"	"15,107.08"	"CAD"	"0.00"	""	"(450) 555-5074"	""	"831,253.90"
"SAMSON AMYN"	"800216"	"AC43"	"(450) 555-9953"	"(450) 555-3342"	"1,555,165.13"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"18,425,926.09"
"SATTLER AYAAZ"	"800257"	"AC42"	"(450) 555-2752"	"(450) 555-6082"	"(51,988.64)"	"CAD"	"0.00"	""	"(450) 555-9847"	""	"2,592,825.21"
"SAUFFERER BOYD"	"800208"	"BD88"	"(450) 555-7341"	"(450) 555-6194"	"12,429.65"	"CAD"	"0.00"	""	"(450) 555-4177"	""	"255,547.82"
"SAYED AMANDA"	"800026"	"AC44"	"(450) 555-9115"	"(450) 555-8616"	"0.00"	"USD"	"0.00"	""	"(450) 555-4036"	""	"0.00"
"SAYEGH ACADIA"	"800025"	"AC55"	"(450) 555-2850"	"(450) 555-8033"	"0.00"	"CAD"	"0.00"	""	"(450) 555-0229"	""	"0.00"
"SCARLETT BLAIR"	"800022"	"AC44"	"(450) 555-4476"	"(450) 555-9713"	"5,913.97"	"CAD"	"0.00"	""	"(450) 555-1377"	""	"606,920.05"
"SCARLETT BLAIR"	"800023"	"AC42"	"(450) 555-4476"	"(450) 555-9713"	"0.00"	"CAD"	"0.00"	""	"(450) 555-5063"	""	"0.00"
"SERGE ALICIA"	"800212-2"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"45,712.03"	"CAD"	"0.00"	""	""	""	"744,419.59"
"SERGE ALICK"	"800211"	"AC42"	"(450) 555-1057"	"(450) 555-2279"	"45,712.03"	"CAD"	"0.00"	""	"(450) 555-7776"	""	"744,419.59"
"SHERMANN ASSURAN"	"800242"	"AC42"	"(450) 555-6685"	"(450) 555-4013"	"2,362.70"	"CAD"	"0.00"	""	"(450) 555-3790"	""	"596,511.74"
"SIDDALL BOUDRIAS"	"800015"	"AC44"	"(450) 555-3117"	"(450) 555-9586"	"0.00"	"CAD"	"0.00"	""	"(450) 555-5749"	""	"0.00"
"SIMARD AUGUSTINE"	"800070"	"BD88"	"(450) 555-1061"	"(450) 555-6970"	"0.00"	"CAD"	"0.00"	""	"(450) 555-4036"	""	"0.00"
"SINAGRA AILLEEN"	"800266"	"BD77"	"(450) 555-0496"	"(450) 555-2389"	"265.11"	"CAD"	"0.00"	""	"(450) 555-6986"	""	"822,102.70"
"SINNAEVE CANARDS"	"800233"	"BD88"	"(450) 555-8821"	"(450) 555-0001"	"4,395.88"	"CAD"	"0.00"	""	"(450) 555-5997"	""	"1,226,786.51"
"STANTON CELINE"	"800005"	"AC42"	"(450) 555-1520"	"(450) 555-9455"	"0.00"	"CAD"	"0.00"	""	"(450) 555-3247"	""	"0.00"
"STEADWARD ANTOIN"	"800067"	"BD66"	"(450) 555-5536"	"(450) 555-6424"	"16,112.10"	"CAD"	"0.00"	""	"(450) 555-5481"	""	"3,403,947.75"
"STEELE AGGIE"	"800000"	"AC42"	"(450) 555-8918"	"(450) 555-7645"	"50.00"	"CAD"	"0.00"	""	"(450) 555-6340"	""	"139,964.11"
"STUART CARTERS"	"800262"	"BD66"	"(450) 555-5369"	"(450) 555-2378"	"22,759.01"	"CAD"	"0.00"	""	"(450) 555-3453"	""	"485,594.84"
"SYLVIE TROUSSEAU"	"800250-2"	"AC42"	"7592822"	""	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"TABAK BERANGERE"	"800248"	"BD88"	"(450) 555-1478"	"(450) 555-9149"	"129,844.69"	"CAD"	"0.00"	""	"(450) 555-4703"	""	"959,424.14"
"TESTEST"	"90099B"	"BD77"	""	""	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"TESTEST2"	"90099C"	"BD66"	""	""	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"TODOR ALARIE"	"800286"	"AC42"	"(450) 555-4812"	"(450) 555-2241"	"4,174.06"	"CAD"	"0.00"	""	"(450) 555-2137"	""	"1,114,614.02"
"Toto Personne"	"800226-1"	"AC42"	"4506626102"	"5146626102"	"0.00"	"CAD"	"0.00"	""	""	""	"0.00"
"Toto1 Personne1"	"800225"	"BD66"	"4506626101"	"5146626101"	"2,356.49"	"CAD"	"0.00"	""	"(450) 555-2074"	""	"901,784.26"
"TREMBLAY CHINDA"	"800084-1"	"BD77"	"450 6626101B"	"1234567890"	"9,184.65"	"CAD"	"0.00"	""	""	""	"2,599,148.85"
"TREN123 CIARAN"	"800278"	"AC42"	"123 456 1111"	"123 456-2222"	"15,972.50"	"CAD"	"0.00"	""	"(450) 555-2656"	""	"269,429.54"
"TRXIONS FONDS CI"	"300011"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"21,400.00"	"CAD"	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"50,780.60"
"TRXIONS FONDS CI"	"300012"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"145,175.96"	"CAD"	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"185,393.17"
"TRXIONS WEEKEND"	"300015"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"3,292.60"	"CAD"	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"22,377.60"
"VALIDATION CR"	"300014"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"26,764.47"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"148,840.10"
"VALIDATIONS CALC"	"300001"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"100,693.02"	"CAD"	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"513,641.53"
"VALIDATIONS CALC"	"300008"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"49,951.27"	"CAD"	"0.00"	""	"(450) 555-4442"	""	"149,707.76"
"VALIDATIONS SEPA"	"300002"	"BD88"	"(450) 555-4444"	"(450) 555-4441"	"196,312.54"	"CAD"	"0.00"	""	"(450) 555-4442"	"(450) 555-4443"	"503,832.50"
"VILLENEUVE GILLE"	"800264"	"BD66"	"(450) 555-7022"	"(450) 555-6707"	"5,071.42"	"CAD"	"0.00"	""	"(450) 555-5811"	""	"1,147,606.99"
"VOSSEN CARROLL"	"800045"	"AC55"	"(450) 555-0531"	"(450) 555-6343"	"432.24"	"CAD"	"0.00"	""	"(450) 555-1994"	""	"157,744.60"
"VOYER BERNADETTE"	"800215-2"	"AC43"	""	""	"21,259.22"	"CAD"	"0.00"	""	""	""	"4,758,136.93"
"VOYER BERNARD"	"800215-1"	"AC43"	""	""	"21,259.22"	"CAD"	"0.00"	""	""	""	"4,758,136.93"
"WATKINS BOURKE"	"800004"	"AC42"	"(450) 555-4522"	"(450) 555-6908"	"0.00"	"CAD"	"0.00"	""	"(450) 555-5059"	""	"0.00"
"X COMPTE REFEREN"	"111100"	"BD88"	"(450) 555-4364"	"(450) 555-3482"	"0.00"	"CAD"	"0.00"	"12/07/1999"	"(450) 555-0128"	""	"0.00"
"YANIC GOBEILLE A"	"800011"	"AC42"	"(450) 555-8961"	"(450) 555-1871"	"1,089.71"	"CAD"	"0.00"	""	"(450) 555-0629"	""	"965,684.18"
"YEKTA BERNI"	"800230-1"	"AC43"	"4506626102"	"5146626102"	"17,537.50"	"CAD"	"0.00"	""	""	""	"804,500.34"
"ZIMMERMANN AYUKO"	"800204"	"BD66"	"(450) 555-8255"	"(450) 555-5445"	"51,018.59"	"CAD"	"0.00"	""	"(450) 555-9165"	""	"338,021.65"
