"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Feuille F"	"Statut"	"Segments"	"Réserves"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"	"Nom"
"800291-LV"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"			""	"2005/05/06"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BLACK JACOB"
"800291-RE"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"3 432,32"	"CAD"	""	"Ouvert"	"Non"	""	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"5 757,92"	"BLACK JACOB"
"800291-SF"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"(2 590,01)"	"USD"	""	"Ouvert"	"Non"	""	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"(2 267,01)"	"BLACK JACOB"
"800291-VL"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"			""	"2009/07/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BLACK JACOB"
"800291-ZM"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1 618,22"	"CAD"	""	"Ouvert"	"Non"	""	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"			"2008/11/03"	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"24 491,25"	"BLACK JACOB"
"800255-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"			""	"2006/03/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"BLANCHARD CARMEN"
"800255-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2250"	"(450) 555-9406"	"7 083,57"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"105 124,00"	"BLANCHARD CARMEN"
"800255-KX"	"X - Fonds revenus viager"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"			""	"2003/09/08"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BLANCHARD CARMEN"
"800255-RE"	"E - Marge couvert"	""	"(450) 555-2250"	"(450) 555-9406"	"6 599,67"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"333 263,42"	"BLANCHARD CARMEN"
"800207-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7052"	"(450) 555-7611"	"551,23"	"CAD"	""	"Ouvert"	"Non"	""	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"406 346,89"	"BLOOMFIELD BLUMA"
"800207-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7052"	"(450) 555-7611"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	"+FB_MONTAN_SUBS"	"BLUMARMIDON BLOOMFIELD"	"~M-0000R-0"	"800207"	"n/d"	"n/d"	"Français"			""	"2016/10/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 084,47"	"BLOOMFIELD BLUMA"
"800207-RE"	"E - Marge couvert"	""	"(450) 555-7052"	"(450) 555-7611"	"12 404,28"	"CAD"	""	"Ouvert"	"Non"	""	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"690 878,39"	"BLOOMFIELD BLUMA"
"900035-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	"900035"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BNC PRIVATE"
"900035-OB"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	"900035"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"BNC PRIVATE"
"800055-FS"	"S - Régime d'épargne-retraite"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"BOMBARDIER FRAN"
"800055-JJ"	"J -"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"			""	"2009/12/03"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"BOMBARDIER FRAN"
"800055-NA"	"A - Comptant"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"161 676,52"	"BOMBARDIER FRAN"
"800075-JJ"	"J -"	""	"1234567890"	"9876543210"	"4 230,94"	"CAD"	""	"Ouvert"	"Non"	""	"*FALL BACK"	"BRITES BORTOLUS"	"~M-0000S-0"	"800075"	"n/d"	"n/d"	"Français"			""	"2015/04/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"4 230,94"	"BORTOLUS BRITES"
"800075-RE"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"69 818,98"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRITES BORTOLUS"	""	"800075"	"n/d"	"n/d"	"Français"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 464 975,72"	"BORTOLUS BRITES"
"800075-SF"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"85,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BRITES BORTOLUS"	""	"800075"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"280 999,00"	"BORTOLUS BRITES"
"800034-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9271"	"(450) 555-2623"	"21 517,30"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"			""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"131 493,44"	"BOWMAN BARBEL"
"800034-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-9271"	"(450) 555-2623"	"5 108,90"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"9 264,10"	"BOWMAN BARBEL"
"800034-LV"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16,20"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"			""	"2007/12/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"2 267,81"	"BOWMAN BARBEL"
"800034-NA"	"A - Comptant"	""	"(450) 555-9271"	"(450) 555-2623"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"			""	"2003/07/09"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BOWMAN BARBEL"
"800034-RE"	"E - Marge couvert"	""	"(450) 555-9271"	"(450) 555-2623"	"2 033,48"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"77 970,29"	"BOWMAN BARBEL"
"800225-NA"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"			""	"1999/06/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRABANTB BERVERL"
"800225-OB"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"			""	"1999/06/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRABANTB BERVERL"
"800225-RE"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"(1 345,57)"	"CAD"	""	"Ouvert"	"Non"	""	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"785 942,89"	"BRABANTB BERVERL"
"800225-SF"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"3 497,46"	"USD"	""	"Ouvert"	"Non"	""	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"			""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"109 439,18"	"BRABANTB BERVERL"
"800028-JJ"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"			""	"2005/04/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRACKHAUS BRAD"
"800028-NA"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"			""	"2005/05/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRACKHAUS BRAD"
"800028-OB"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"			""	"2005/04/07"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRACKHAUS BRAD"
"800275-NA"	"A - Comptant"	""	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRASSERIE CHEZ STAN ENR."	""	"800275"	"n/d"	"n/d"	"Français"			""	"2006/02/28"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BRASSERIE STAN"
"800282-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALAIN BREESE"	""	"800282"	"n/d"	"n/d"	"Anglais"			""	"2009/04/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BREESE ALAIN"
"800283-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	""	""	"35 969,79"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALAIN BREESE"	""	"800283"	"n/d"	"n/d"	"Français"			""	"2009/03/16"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"35 969,79"	"BREESE ALAIN"
"800283-RE"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALAIN BREESE"	""	"800283"	"n/d"	"n/d"	"Français"			""	"2007/10/25"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"0,00"	"BREESE ALAIN"
"900283-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BÉBÉ BREESE"	""	"900283"	"n/d"	"n/d"	"Anglais"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BREESE BÉBÉ"
"900283-OB"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BÉBÉ BREESE"	""	"900283"	"n/d"	"n/d"	"Anglais"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"BREESE BÉBÉ"
"800017-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9114"	"(450) 555-8987"	"4 953,12"	"CAD"	""	"Ouvert"	"Non"	""	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"n/d"	"n/d"	"Anglais"			""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"184 401,01"	"BRODEUR MARTIN"
"800017-NA"	"A - Comptant"	""	"(450) 555-9114"	"(450) 555-8987"	"3 220,57"	"CAD"	""	"Ouvert"	"Non"	""	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"n/d"	"n/d"	"Anglais"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"8 742,57"	"BRODEUR MARTIN"
"800081-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"450 6626101B"	"1234567890"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"			""	"2006/12/04"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"BROGAN CLARENCE"
"800081-LY"	"Y - Rente viagère"	""	"450 6626101B"	"1234567890"	"1 958,90"	"CAD"	""	"Ouvert"	"Non"	""	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"150 642,31"	"BROGAN CLARENCE"
"800081-RE"	"E - Marge couvert"	""	"450 6626101B"	"1234567890"	"799,58"	"CAD"	""	"Ouvert"	"Non"	""	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"			""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"281 497,96"	"BROGAN CLARENCE"
"800057-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7203"	"(450) 555-8729"	"4 837,12"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"312 917,80"	"BUCHER BRASSEURS"
"800057-NA"	"A - Comptant"	""	"(450) 555-7203"	"(450) 555-8729"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"			""	"2008/11/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BUCHER BRASSEURS"
"800057-RE"	"E - Marge couvert"	""	"(450) 555-7203"	"(450) 555-8729"	"848,50"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"			""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"113 118,37"	"BUCHER BRASSEURS"
"800259-FS"	"S - Régime d'épargne-retraite"	"111577689300"	"(450) 555-8616"	"(450) 555-9526"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"			""	"2006/11/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"BULLETIN ACURA"
"800259-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-8616"	"(450) 555-9526"	"218,03"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"			""	"2009/10/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"534 864,72"	"BULLETIN ACURA"
"800259-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8616"	"(450) 555-9526"	"5 000,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"			""	"2009/02/10"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 000,00"	"BULLETIN ACURA"
"800259-NA"	"A - Comptant"	""	"(450) 555-8616"	"(450) 555-9526"	"1 607,97"	"CAD"	""	"Ouvert"	"Non"	""	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"			""	"2009/12/17"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"227 801,12"	"BULLETIN ACURA"
"800281-NA"	"A - Comptant"	""	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALAIN BURDETT"	""	"800281"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"476 992,31"	"BURDETT ALAIN"
"900051-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"Business1"	""	"900051"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"Business1"
"900051-OB"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"Business1"	""	"900051"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"Business1"
"800303-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"1SCORE FOND"	""	"800303"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CALCUL SCORE"
"300005-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	""	"Ouvert"	"Non"	""	""	"CALCULS ESCOMPTES"	""	"300005"	"n/d"	"n/d"	"Français"			"2010/01/22"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"149 707,76"	"CALCULS ESCOMPTE"
"300010-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"268 852,65"	"CAD"	""	"Ouvert"	"Non"	""	""	"CALCULS GAINS/PERTES"	""	"300010"	"n/d"	"n/d"	"Français"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"517 131,15"	"CALCULS GAINS/PE"
"300010-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"276 630,41"	"USD"	""	"Ouvert"	"Non"	""	""	"CALCULS GAINS/PERTES"	""	"300010"	"n/d"	"n/d"	"Français"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"486 306,24"	"CALCULS GAINS/PE"
"300006-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"17 804,38"	"USD"	""	"Ouvert"	"Non"	""	""	"CALCULS USD"	""	"300006"	"n/d"	"n/d"	"Français"			"2010/01/21"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"196 480,13"	"CALCULS USD"
"800274-FS"	"S - Régime d'épargne-retraite"	""	"1234567891"	"9876543211"	"1 436,85"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"CARILYNE CALDER"	""	"800274"	"n/d"	"n/d"	"Français"			""	"2009/12/29"	""	""	"2010/01/19"	""	"2009/01/01"	"Non"	"n/d"	"60 482,00"	"CALDER CARILYNE"
"800274-RE"	"E - Marge couvert"	""	"1234567891"	"9876543211"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARILYNE CALDER"	""	"800274"	"n/d"	"n/d"	"Français"			""	"2003/11/07"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CALDER CARILYNE"
"800258-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BEATRICE CANESSO"	""	"800258"	"n/d"	"n/d"	"Français"			""	"2008/09/30"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CANESSO BEATRICE"
"800258-RE"	"E - Marge couvert"	"112577689308"	"(450) 555-1070"	"(450) 555-0523"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BEATRICE CANESSO"	""	"800258"	"n/d"	"n/d"	"Français"			""	"2008/12/01"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"CANESSO BEATRICE"
"800059-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-3924"	"(450) 555-6516"	"5 393,06"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIANA CAPEK"	""	"800059"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 028 680,13"	"CAPEK ADRIANA"
"800059-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIANA CAPEK"	""	"800059"	"n/d"	"n/d"	"Anglais"			""	"2009/01/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 205,15"	"CAPEK ADRIANA"
"800059-RE"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"(20,01)"	"CAD"	""	"Ouvert"	"Non"	""	""	"ADRIANA CAPEK"	""	"800059"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"687 757,79"	"CAPEK ADRIANA"
"800059-SF"	"E - Marge couvert"	""	"(450) 555-3924"	"(450) 555-6516"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"ADRIANA CAPEK"	""	"800059"	"n/d"	"n/d"	"Anglais"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"79 244,77"	"CAPEK ADRIANA"
"900999-NA"	"A - Comptant"	""	"4187792306F"	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"MME MIREILLE ELIE CARON PROF"	""	"900999"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CARON MIREILLE"
"800284-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9890"	"(450) 555-4077"	"505,40"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARDEN CASTLE"	""	"800284"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"40 172,61"	"CASTLE ARDEN"
"800284-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARDEN CASTLE"	""	"800284"	"n/d"	"n/d"	"Français"			""	"2006/05/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CASTLE ARDEN"
"800284-NA"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARDEN CASTLE"	""	"800284"	"n/d"	"n/d"	"Français"			""	"2006/02/24"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CASTLE ARDEN"
"800284-OB"	"A - Comptant"	""	"(450) 555-9890"	"(450) 555-4077"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"ARDEN CASTLE"	""	"800284"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"CASTLE ARDEN"
"800072-RE"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"(1 208,31)"	"CAD"	""	"Ouvert"	"Non"	""	""	"BRAY CATANI"	""	"800072"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"482 318,11"	"CATANI BRAY"
"800072-SF"	"E - Marge couvert"	""	"(450) 555-2128"	"(450) 555-7689"	"82 550,22"	"USD"	""	"Ouvert"	"Non"	""	""	"BRAY CATANI"	""	"800072"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"161 496,22"	"CATANI BRAY"
"800200-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9360"	"(450) 555-5958"	"6 043,91"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMIR CELLARD"	""	"800200"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"117 917,16"	"CELLARD AMIR"
"800200-RE"	"E - Marge couvert"	""	"(450) 555-9360"	"(450) 555-5958"	"18,14"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMIR CELLARD"	""	"800200"	"n/d"	"n/d"	"Français"			""	"2008/06/03"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"19,51"	"CELLARD AMIR"
"800007-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4475"	"(789) 555-9712"	"320,91"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800007"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"521 426,42"	"CHADILLON ANNEKE"
"800007-NA"	"A - Comptant"	""	"(450) 555-4475"	"(789) 555-9712"	"(811,54)"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800007"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"1 232 286,40"	"CHADILLON ANNEKE"
"800008-FS"	"S - Régime d'épargne-retraite"	""	"(514) 666-4476"	"(900) 555-9713"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800008"	"n/d"	"n/d"	"Anglais"			""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"CHADILLON ANNEKE"
"800008-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(514) 666-4476"	"(900) 555-9713"	"106,19"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANNEKE CHADILLON"	""	"800008"	"n/d"	"n/d"	"Anglais"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"5 570,67"	"CHADILLON ANNEKE"
