"Account No."	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"	"Name"
"800291-GT"	"T - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"25,494.83"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"98,513.59"	"BLACK JACOB"
"800291-JW"	"W - Spousal - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"	"BLACK JACOB"
"800291-LV"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/06/2005"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"	"BLACK JACOB"
"800291-RE"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"3,432.32"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"0.00"	"5,757.92"	"BLACK JACOB"
"800291-SF"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"(2,590.01)"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"0.00"	"(2,267.01)"	"BLACK JACOB"
"800291-VL"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/13/2009"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"	"BLACK JACOB"
"800291-ZM"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1,618.22"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	"11/03/2008"	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"24,491.25"	"BLACK JACOB"
"800255-DQ"	"Q - Stock Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/31/2006"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"0.00"	"0.00"	"BLANCHARD CARMEN"
"800255-FS"	"S - Retirement Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"7,083.57"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"n/a"	"105,124.00"	"BLANCHARD CARMEN"
"800255-KX"	"X - Locked-in Income Fund"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"09/08/2003"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"n/a"	"0.00"	"BLANCHARD CARMEN"
"800255-RE"	"E - Margin Long"	""	"(450) 555-2250"	"(450) 555-9406"	"6,599.67"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"0.00"	"333,263.42"	"BLANCHARD CARMEN"
"800207-FS"	"S - Retirement Savings Plan"	""	"(450) 555-7052"	"(450) 555-7611"	"551.23"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"n/a"	"406,346.89"	"BLOOMFIELD BLUMA"
"800207-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7052"	"(450) 555-7611"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000R-0"	"+FB_MONTAN_SUBS"	""	"10/13/2016"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"n/a"	"10,084.47"	"BLOOMFIELD BLUMA"
"800207-RE"	"E - Margin Long"	""	"(450) 555-7052"	"(450) 555-7611"	"12,404.28"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"0.00"	"690,878.39"	"BLOOMFIELD BLUMA"
"900035-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	"Yes"	"01/01/2009"	""	"900035"	"n/a"	"0.00"	"BNC PRIVATE"
"900035-OB"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	"Yes"	"01/01/2009"	""	"900035"	"0.00"	"0.00"	"BNC PRIVATE"
"800055-FS"	"S - Retirement Savings Plan"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"0.00"	"BOMBARDIER FRAN"
"800055-JJ"	"J -"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/03/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"0.00"	"BOMBARDIER FRAN"
"800055-NA"	"A - Cash"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/01/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"161,676.52"	"BOMBARDIER FRAN"
"800075-JJ"	"J -"	""	"1234567890"	"9876543210"	"4,230.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000S-0"	"*FALL BACK"	""	"04/29/2015"	""	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"n/a"	"4,230.94"	"BORTOLUS BRITES"
"800075-RE"	"E - Margin Long"	""	"1234567890"	"9876543210"	"69,818.98"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"0.00"	"1,464,975.72"	"BORTOLUS BRITES"
"800075-SF"	"E - Margin Long"	""	"1234567890"	"9876543210"	"85.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"0.00"	"280,999.00"	"BORTOLUS BRITES"
"800034-FS"	"S - Retirement Savings Plan"	""	"(450) 555-9271"	"(450) 555-2623"	"21,517.30"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/21/2010"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"131,493.44"	"BOWMAN BARBEL"
"800034-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-9271"	"(450) 555-2623"	"5,108.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"9,264.10"	"BOWMAN BARBEL"
"800034-LV"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/18/2007"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"2,267.81"	"BOWMAN BARBEL"
"800034-NA"	"A - Cash"	""	"(450) 555-9271"	"(450) 555-2623"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/09/2003"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"0.00"	"BOWMAN BARBEL"
"800034-RE"	"E - Margin Long"	""	"(450) 555-9271"	"(450) 555-2623"	"2,033.48"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"0.00"	"77,970.29"	"BOWMAN BARBEL"
"800225-NA"	"A - Cash"	""	"4506626101"	"5146626101"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"06/22/1999"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"n/a"	"0.00"	"BRABANTB BERVERL"
"800225-OB"	"A - Cash"	""	"4506626101"	"5146626101"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/04/1999"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"n/a"	"0.00"	"BRABANTB BERVERL"
"800225-RE"	"E - Margin Long"	""	"4506626101"	"5146626101"	"(1,345.57)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"0.00"	"785,942.89"	"BRABANTB BERVERL"
"800225-SF"	"E - Margin Long"	""	"4506626101"	"5146626101"	"3,497.46"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"0.00"	"109,439.18"	"BRABANTB BERVERL"
"800028-JJ"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/19/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"	"BRACKHAUS BRAD"
"800028-NA"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"05/02/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"	"BRACKHAUS BRAD"
"800028-OB"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/07/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"	"BRACKHAUS BRAD"
"800275-NA"	"A - Cash"	""	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"02/28/2006"	""	"French"	"No"	"BRASSERIE CHEZ STAN ENR."	"Yes"	"01/01/2009"	""	"800275"	"n/a"	"0.00"	"BRASSERIE STAN"
"800282-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"04/02/2009"	""	"English"	"No"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800282"	"n/a"	"0.00"	"BREESE ALAIN"
"800283-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	""	""	"35,969.79"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/16/2009"	""	"French"	"Yes"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800283"	"n/a"	"35,969.79"	"BREESE ALAIN"
"800283-RE"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/25/2007"	""	"French"	"Yes"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800283"	"0.00"	"0.00"	"BREESE ALAIN"
"900283-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"English"	"No"	"BÉBÉ BREESE"	"Yes"	"01/01/2009"	""	"900283"	"n/a"	"0.00"	"BREESE BÉBÉ"
"900283-OB"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"English"	"No"	"BÉBÉ BREESE"	"Yes"	"01/01/2009"	""	"900283"	"0.00"	"0.00"	"BREESE BÉBÉ"
"800017-FS"	"S - Retirement Savings Plan"	""	"(450) 555-9114"	"(450) 555-8987"	"4,953.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/21/2010"	""	"English"	"No"	"MARTIN BRODEUR VIGNEUX"	"Yes"	"01/01/2009"	""	"800017"	"n/a"	"184,401.01"	"BRODEUR MARTIN"
"800017-NA"	"A - Cash"	""	"(450) 555-9114"	"(450) 555-8987"	"3,220.57"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/15/2010"	""	"English"	"No"	"MARTIN BRODEUR VIGNEUX"	"Yes"	"01/01/2009"	""	"800017"	"n/a"	"8,742.57"	"BRODEUR MARTIN"
"800081-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"450 6626101B"	"1234567890"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/04/2006"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"n/a"	"0.00"	"BROGAN CLARENCE"
"800081-LY"	"Y - Life Annuity"	""	"450 6626101B"	"1234567890"	"1,958.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"n/a"	"150,642.31"	"BROGAN CLARENCE"
"800081-RE"	"E - Margin Long"	""	"450 6626101B"	"1234567890"	"799.58"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"0.00"	"281,497.96"	"BROGAN CLARENCE"
"800057-FS"	"S - Retirement Savings Plan"	""	"(450) 555-7203"	"(450) 555-8729"	"4,837.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"n/a"	"312,917.80"	"BUCHER BRASSEURS"
"800057-NA"	"A - Cash"	""	"(450) 555-7203"	"(450) 555-8729"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"11/25/2008"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"n/a"	"0.00"	"BUCHER BRASSEURS"
"800057-RE"	"E - Margin Long"	""	"(450) 555-7203"	"(450) 555-8729"	"848.50"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"0.00"	"113,118.37"	"BUCHER BRASSEURS"
"800259-FS"	"S - Retirement Savings Plan"	"111577689300"	"(450) 555-8616"	"(450) 555-9526"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/16/2006"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"0.00"	"BULLETIN ACURA"
"800259-GT"	"T - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"218.03"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/29/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"534,864.72"	"BULLETIN ACURA"
"800259-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"5,000.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/10/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"5,000.00"	"BULLETIN ACURA"
"800259-NA"	"A - Cash"	""	"(450) 555-8616"	"(450) 555-9526"	"1,607.97"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/17/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"227,801.12"	"BULLETIN ACURA"
"800281-NA"	"A - Cash"	""	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"ALAIN BURDETT"	"Yes"	"01/01/2009"	""	"800281"	"n/a"	"476,992.31"	"BURDETT ALAIN"
"900051-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"Business1"	"Yes"	"01/01/2009"	""	"900051"	"n/a"	"0.00"	"Business1"
"900051-OB"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"Business1"	"Yes"	"01/01/2009"	""	"900051"	"0.00"	"0.00"	"Business1"
"800303-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"1SCORE FOND"	"Yes"	"01/01/2009"	""	"800303"	"n/a"	"0.00"	"CALCUL SCORE"
"300005-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"49,951.27"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"01/22/2010"	"French"	"No"	"CALCULS ESCOMPTES"	"Yes"	"01/01/2009"	""	"300005"	"n/a"	"149,707.76"	"CALCULS ESCOMPTE"
"300010-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"268,852.65"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"CALCULS GAINS/PERTES"	"Yes"	"01/01/2009"	""	"300010"	"n/a"	"517,131.15"	"CALCULS GAINS/PE"
"300010-OB"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"276,630.41"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"CALCULS GAINS/PERTES"	"Yes"	"01/01/2009"	""	"300010"	"n/a"	"486,306.24"	"CALCULS GAINS/PE"
"300006-OB"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"17,804.38"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/21/2010"	"French"	"No"	"CALCULS USD"	"Yes"	"01/01/2009"	""	"300006"	"n/a"	"196,480.13"	"CALCULS USD"
"800274-FS"	"S - Retirement Savings Plan"	""	"1234567891"	"9876543211"	"1,436.85"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/19/2010"	"12/29/2009"	""	"French"	"No"	"CARILYNE CALDER"	"Yes"	"01/01/2009"	""	"800274"	"n/a"	"60,482.00"	"CALDER CARILYNE"
"800274-RE"	"E - Margin Long"	""	"1234567891"	"9876543211"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/07/2003"	""	"French"	"No"	"CARILYNE CALDER"	"Yes"	"01/01/2009"	""	"800274"	"0.00"	"0.00"	"CALDER CARILYNE"
"800258-GT"	"T - Retirement Income Funds"	""	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"09/30/2008"	""	"French"	"No"	"BEATRICE CANESSO"	"Yes"	"01/01/2009"	""	"800258"	"n/a"	"0.00"	"CANESSO BEATRICE"
"800258-RE"	"E - Margin Long"	"112577689308"	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2008"	""	"French"	"No"	"BEATRICE CANESSO"	"Yes"	"01/01/2009"	""	"800258"	"0.00"	"0.00"	"CANESSO BEATRICE"
"800059-FS"	"S - Retirement Savings Plan"	""	"(450) 555-3924"	"(450) 555-6516"	"5,393.06"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"n/a"	"1,028,680.13"	"CAPEK ADRIANA"
"800059-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/02/2009"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"n/a"	"5,205.15"	"CAPEK ADRIANA"
"800059-RE"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"(20.01)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"0.00"	"687,757.79"	"CAPEK ADRIANA"
"800059-SF"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"0.00"	"79,244.77"	"CAPEK ADRIANA"
"900999-NA"	"A - Cash"	""	"4187792306F"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"MME MIREILLE ELIE CARON PROF"	"Yes"	"01/01/2009"	""	"900999"	"n/a"	"0.00"	"CARON MIREILLE"
"800284-FS"	"S - Retirement Savings Plan"	""	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"40,172.61"	"CASTLE ARDEN"
"800284-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/31/2006"	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"0.00"	"CASTLE ARDEN"
"800284-NA"	"A - Cash"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"02/24/2006"	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"0.00"	"CASTLE ARDEN"
"800284-OB"	"A - Cash"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"0.00"	"CASTLE ARDEN"
"800072-RE"	"E - Margin Long"	""	"(450) 555-2128"	"(450) 555-7689"	"(1,208.31)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"BRAY CATANI"	"Yes"	"01/01/2009"	""	"800072"	"0.00"	"482,318.11"	"CATANI BRAY"
"800072-SF"	"E - Margin Long"	""	"(450) 555-2128"	"(450) 555-7689"	"82,550.22"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"French"	"No"	"BRAY CATANI"	"Yes"	"01/01/2009"	""	"800072"	"0.00"	"161,496.22"	"CATANI BRAY"
"800200-FS"	"S - Retirement Savings Plan"	""	"(450) 555-9360"	"(450) 555-5958"	"6,043.91"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"AMIR CELLARD"	"Yes"	"01/01/2009"	""	"800200"	"n/a"	"117,917.16"	"CELLARD AMIR"
