"Name"	"Account No."	"IA Code"	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"
"BIHOUR ALISSA"	"800223-GT"	"BD88"	"T - Retirement Income Funds"	""	"123 456 7890"	"123 456-7890"	"1,048.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ALISSA BIHOUR"	"Yes"	"01/01/2009"	""	"800223"	"n/a"	"429,184.87"
"BIHOUR ALISSA"	"800223-RE"	"BD88"	"E - Margin Long"	""	"123 456 7890"	"123 456-7890"	"19,427.63"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000E-0"	"SUBS_PRORATA"	""	"01/18/2010"	""	"French"	"No"	"ALISSA BIHOUR"	"Yes"	"01/01/2009"	""	"800223"	"0.00"	"555,311.32"
"BLACK JACOB"	"800291-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/06/2005"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-GT"	"AC42"	"T - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"25,494.83"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"98,513.59"
"BLACK JACOB"	"800291-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-LV"	"AC42"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/06/2005"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-RE"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"3,432.32"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"0.00"	"5,757.92"
"BLACK JACOB"	"800291-SF"	"AC42"	"E - Margin Long"	""	"(416) 668-5656"	"(416) 668-0909"	"(2,590.01)"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"0.00"	"(2,267.01)"
"BLACK JACOB"	"800291-VL"	"AC42"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"07/13/2009"	""	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"0.00"
"BLACK JACOB"	"800291-ZM"	"AC42"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1,618.22"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	"11/03/2008"	"English"	"No"	"JACOB BLACK"	"Yes"	"01/01/2009"	""	"800291"	"n/a"	"24,491.25"
"BLANCHARD CARMEN"	"800255-DQ"	"AC42"	"Q - Stock Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/31/2006"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"0.00"	"0.00"
"BLANCHARD CARMEN"	"800255-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-2250"	"(450) 555-9406"	"7,083.57"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"n/a"	"105,124.00"
"BLANCHARD CARMEN"	"800255-KX"	"AC42"	"X - Locked-in Income Fund"	""	"(450) 555-2250"	"(450) 555-9406"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"09/08/2003"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"n/a"	"0.00"
"BLANCHARD CARMEN"	"800255-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-2250"	"(450) 555-9406"	"6,599.67"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"CARMEN BLANCHARD"	"Yes"	"01/01/2009"	""	"800255"	"0.00"	"333,263.42"
"BLOOMFIELD BLUMA"	"800207-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-7052"	"(450) 555-7611"	"551.23"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"n/a"	"406,346.89"
"BLOOMFIELD BLUMA"	"800207-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7052"	"(450) 555-7611"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000R-0"	"+FB_MONTAN_SUBS"	""	"10/13/2016"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"n/a"	"10,084.47"
"BLOOMFIELD BLUMA"	"800207-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7052"	"(450) 555-7611"	"12,404.28"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BLUMARMIDON BLOOMFIELD"	"Yes"	"01/01/2009"	""	"800207"	"0.00"	"690,878.39"
"BNC PRIVATE"	"900035-NA"	"AC42"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	"Yes"	"01/01/2009"	""	"900035"	"n/a"	"0.00"
"BNC PRIVATE"	"900035-OB"	"AC42"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	"Yes"	"01/01/2009"	""	"900035"	"0.00"	"0.00"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Retirement Savings Plan"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"0.00"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/03/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"0.00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Cash"	""	"123456789"	"987654321"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/01/2009"	""	"French"	"Yes"	"FRANCOIS BOMBARDIER"	"Yes"	"01/01/2009"	""	"800055"	"n/a"	"161,676.52"
"BORTOLUS BRITES"	"800075-JJ"	"BD88"	"J -"	""	"1234567890"	"9876543210"	"4,230.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	"~M-0000S-0"	"*FALL BACK"	""	"04/29/2015"	""	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"n/a"	"4,230.94"
"BORTOLUS BRITES"	"800075-RE"	"BD88"	"E - Margin Long"	""	"1234567890"	"9876543210"	"69,818.98"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"0.00"	"1,464,975.72"
"BORTOLUS BRITES"	"800075-SF"	"BD88"	"E - Margin Long"	""	"1234567890"	"9876543210"	"85.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BRITES BORTOLUS"	"Yes"	"01/01/2009"	""	"800075"	"0.00"	"280,999.00"
"BOWMAN BARBEL"	"800034-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-9271"	"(450) 555-2623"	"21,517.30"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/21/2010"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"131,493.44"
"BOWMAN BARBEL"	"800034-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-9271"	"(450) 555-2623"	"5,108.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"9,264.10"
"BOWMAN BARBEL"	"800034-LV"	"AC42"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16.20"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/18/2007"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"2,267.81"
"BOWMAN BARBEL"	"800034-NA"	"AC42"	"A - Cash"	""	"(450) 555-9271"	"(450) 555-2623"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/09/2003"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"n/a"	"0.00"
"BOWMAN BARBEL"	"800034-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-9271"	"(450) 555-2623"	"2,033.48"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"BARBEL BOWMAN"	"Yes"	"01/01/2009"	""	"800034"	"0.00"	"77,970.29"
"BRABANTB BERVERL"	"800225-NA"	"BD66"	"A - Cash"	""	"4506626101"	"5146626101"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"06/22/1999"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"n/a"	"0.00"
"BRABANTB BERVERL"	"800225-OB"	"BD66"	"A - Cash"	""	"4506626101"	"5146626101"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/04/1999"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"n/a"	"0.00"
"BRABANTB BERVERL"	"800225-RE"	"BD66"	"E - Margin Long"	""	"4506626101"	"5146626101"	"(1,345.57)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"0.00"	"785,942.89"
"BRABANTB BERVERL"	"800225-SF"	"BD66"	"E - Margin Long"	""	"4506626101"	"5146626101"	"3,497.46"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"French"	"No"	"BERVERLY BRABANTB"	"Yes"	"01/01/2009"	""	"800225"	"0.00"	"109,439.18"
"BRACKHAUS BRAD"	"800028-JJ"	"AC44"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/19/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"
"BRACKHAUS BRAD"	"800028-NA"	"AC44"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"05/02/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"
"BRACKHAUS BRAD"	"800028-OB"	"AC44"	"A - Cash"	""	"(450) 555-1414"	"(450) 555-1284"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"04/07/2005"	""	"French"	"No"	"BRAD BRACKHAUS"	"Yes"	"01/01/2009"	""	"800028"	"n/a"	"0.00"
"BRASSERIE STAN"	"800275-NA"	"BD77"	"A - Cash"	""	"(450) 555-1983"	"(450) 555-4522"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"02/28/2006"	""	"French"	"No"	"BRASSERIE CHEZ STAN ENR."	"Yes"	"01/01/2009"	""	"800275"	"n/a"	"0.00"
"BREESE ALAIN"	"800282-NA"	"BD66"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"04/02/2009"	""	"English"	"No"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800282"	"n/a"	"0.00"
"BREESE ALAIN"	"800283-HU"	"BD88"	"R - RSP Locked-in (Locked-in & LIRA)"	""	""	""	"35,969.79"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/16/2009"	""	"French"	"Yes"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800283"	"n/a"	"35,969.79"
"BREESE ALAIN"	"800283-RE"	"BD88"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/25/2007"	""	"French"	"Yes"	"ALAIN BREESE"	"Yes"	"01/01/2009"	""	"800283"	"0.00"	"0.00"
"BREESE BÉBÉ"	"900283-NA"	"BD66"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"English"	"No"	"BÉBÉ BREESE"	"Yes"	"01/01/2009"	""	"900283"	"n/a"	"0.00"
"BREESE BÉBÉ"	"900283-OB"	"BD66"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"English"	"No"	"BÉBÉ BREESE"	"Yes"	"01/01/2009"	""	"900283"	"0.00"	"0.00"
"BRODEUR MARTIN"	"800017-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-9114"	"(450) 555-8987"	"4,953.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/21/2010"	""	"English"	"No"	"MARTIN BRODEUR VIGNEUX"	"Yes"	"01/01/2009"	""	"800017"	"n/a"	"184,401.01"
"BRODEUR MARTIN"	"800017-NA"	"AC42"	"A - Cash"	""	"(450) 555-9114"	"(450) 555-8987"	"3,220.57"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/15/2010"	""	"English"	"No"	"MARTIN BRODEUR VIGNEUX"	"Yes"	"01/01/2009"	""	"800017"	"n/a"	"8,742.57"
"BROGAN CLARENCE"	"800081-HU"	"BD66"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"450 6626101B"	"1234567890"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/04/2006"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"n/a"	"0.00"
"BROGAN CLARENCE"	"800081-LY"	"BD66"	"Y - Life Annuity"	""	"450 6626101B"	"1234567890"	"1,958.90"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"n/a"	"150,642.31"
"BROGAN CLARENCE"	"800081-RE"	"BD66"	"E - Margin Long"	""	"450 6626101B"	"1234567890"	"799.58"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/19/2010"	""	"French"	"Yes"	"CLARENCE BROGAN"	"Yes"	"01/01/2009"	""	"800081"	"0.00"	"281,497.96"
"BUCHER BRASSEURS"	"800057-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-7203"	"(450) 555-8729"	"4,837.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/18/2010"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"n/a"	"312,917.80"
"BUCHER BRASSEURS"	"800057-NA"	"AC42"	"A - Cash"	""	"(450) 555-7203"	"(450) 555-8729"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"11/25/2008"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"n/a"	"0.00"
"BUCHER BRASSEURS"	"800057-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-7203"	"(450) 555-8729"	"848.50"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"English"	"No"	"BRASSEURS BUCHER"	"Yes"	"01/01/2009"	""	"800057"	"0.00"	"113,118.37"
"BULLETIN ACURA"	"800259-FS"	"AC43"	"S - Retirement Savings Plan"	"111577689300"	"(450) 555-8616"	"(450) 555-9526"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/16/2006"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"0.00"
"BULLETIN ACURA"	"800259-GT"	"AC43"	"T - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"218.03"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"10/29/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"534,864.72"
"BULLETIN ACURA"	"800259-JW"	"AC43"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-8616"	"(450) 555-9526"	"5,000.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"02/10/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"5,000.00"
"BULLETIN ACURA"	"800259-NA"	"AC43"	"A - Cash"	""	"(450) 555-8616"	"(450) 555-9526"	"1,607.97"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/17/2009"	""	"English"	"No"	"ACURA BULLETIN"	"Yes"	"01/01/2009"	""	"800259"	"n/a"	"227,801.12"
"BURDETT ALAIN"	"800281-NA"	"BD66"	"A - Cash"	""	"(450) 555-9313"	"(450) 555-9586"	"924.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"ALAIN BURDETT"	"Yes"	"01/01/2009"	""	"800281"	"n/a"	"476,992.31"
"Business1"	"900051-NA"	"AC44"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"Business1"	"Yes"	"01/01/2009"	""	"900051"	"n/a"	"0.00"
"Business1"	"900051-OB"	"AC44"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	""	""	"French"	"No"	"Business1"	"Yes"	"01/01/2009"	""	"900051"	"0.00"	"0.00"
"CALCUL SCORE"	"800303-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"1SCORE FOND"	"Yes"	"01/01/2009"	""	"800303"	"n/a"	"0.00"
"CALCULS ESCOMPTE"	"300005-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"49,951.27"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"01/22/2010"	"French"	"No"	"CALCULS ESCOMPTES"	"Yes"	"01/01/2009"	""	"300005"	"n/a"	"149,707.76"
"CALCULS GAINS/PE"	"300010-NA"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"268,852.65"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"CALCULS GAINS/PERTES"	"Yes"	"01/01/2009"	""	"300010"	"n/a"	"517,131.15"
"CALCULS GAINS/PE"	"300010-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"276,630.41"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"CALCULS GAINS/PERTES"	"Yes"	"01/01/2009"	""	"300010"	"n/a"	"486,306.24"
"CALCULS USD"	"300006-OB"	"BD88"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"17,804.38"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/21/2010"	"French"	"No"	"CALCULS USD"	"Yes"	"01/01/2009"	""	"300006"	"n/a"	"196,480.13"
"CALDER CARILYNE"	"800274-FS"	"BD88"	"S - Retirement Savings Plan"	""	"1234567891"	"9876543211"	"1,436.85"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/19/2010"	"12/29/2009"	""	"French"	"No"	"CARILYNE CALDER"	"Yes"	"01/01/2009"	""	"800274"	"n/a"	"60,482.00"
"CALDER CARILYNE"	"800274-RE"	"BD88"	"E - Margin Long"	""	"1234567891"	"9876543211"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/07/2003"	""	"French"	"No"	"CARILYNE CALDER"	"Yes"	"01/01/2009"	""	"800274"	"0.00"	"0.00"
"CANESSO BEATRICE"	"800258-GT"	"AC42"	"T - Retirement Income Funds"	""	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"09/30/2008"	""	"French"	"No"	"BEATRICE CANESSO"	"Yes"	"01/01/2009"	""	"800258"	"n/a"	"0.00"
"CANESSO BEATRICE"	"800258-RE"	"AC42"	"E - Margin Long"	"112577689308"	"(450) 555-1070"	"(450) 555-0523"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2008"	""	"French"	"No"	"BEATRICE CANESSO"	"Yes"	"01/01/2009"	""	"800258"	"0.00"	"0.00"
"CAPEK ADRIANA"	"800059-FS"	"AC42"	"S - Retirement Savings Plan"	""	"(450) 555-3924"	"(450) 555-6516"	"5,393.06"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"n/a"	"1,028,680.13"
"CAPEK ADRIANA"	"800059-JW"	"AC42"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/02/2009"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"n/a"	"5,205.15"
"CAPEK ADRIANA"	"800059-RE"	"AC42"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"(20.01)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"0.00"	"687,757.79"
"CAPEK ADRIANA"	"800059-SF"	"AC42"	"E - Margin Long"	""	"(450) 555-3924"	"(450) 555-6516"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"English"	"No"	"ADRIANA CAPEK"	"Yes"	"01/01/2009"	""	"800059"	"0.00"	"79,244.77"
"CARON MIREILLE"	"900999-NA"	"BD88"	"A - Cash"	""	"4187792306F"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	""	""	"French"	"No"	"MME MIREILLE ELIE CARON PROF"	"Yes"	"01/01/2009"	""	"900999"	"n/a"	"0.00"
"CASTLE ARDEN"	"800284-FS"	"BD66"	"S - Retirement Savings Plan"	""	"(450) 555-9890"	"(450) 555-4077"	"505.40"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"40,172.61"
"CASTLE ARDEN"	"800284-HU"	"BD66"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"(450) 555-9890"	"(450) 555-4077"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/31/2006"	""	"French"	"No"	"ARDEN CASTLE"	"Yes"	"01/01/2009"	""	"800284"	"n/a"	"0.00"
