"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"PFSfrench_1"	"PFSfrench"	"Feuille F"	"Segments"	"Réserves"	"Pro"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"État"	"Discrétionnaire"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"
"BELVAN BELLEROSE"	"800231-GT"	"BD66"	"T - Fonds de revenu de retraite"	""	"(450) 555-2263"	"(450) 555-8913"	"(22 181,23)"	"CAD"	""	""	""	"Non"	""	"Non"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"704 087,67"
"BELVAN BELLEROSE"	"800231-NA"	"BD66"	"A - Comptant"	""	"(450) 555-2263"	"(450) 555-8913"	"2 558,62"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"FABRICE BELLEROSE BELVAN"	""	"800231"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"638 135,34"
"BIANCHI ARSENE"	"800219-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-0398"	"(450) 555-7757"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ARSENE BIANCHI"	""	"800219"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BIANCHI ARSENE"	"800219-JW"	"BD66"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0398"	"(450) 555-7757"	"437,80"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ARSENE BIANCHI"	""	"800219"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"6 134,32"
"BIANCHI ARSENE"	"800219-NA"	"BD66"	"A - Comptant"	""	"(450) 555-0398"	"(450) 555-7757"	"39,40"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ARSENE BIANCHI"	""	"800219"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/04/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"39,48"
"BIHOUR ALISSA"	"800223-GT"	"BD88"	"T - Fonds de revenu de retraite"	""	"123 456 7890"	"123 456-7890"	"1 048,90"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ALISSA BIHOUR"	""	"800223"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"429 184,87"
"BIHOUR ALISSA"	"800223-RE"	"BD88"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"19 427,63"	"CAD"	""	""	""	"Non"	""	"Non"	"SUBS_PRORATA"	"ALISSA BIHOUR"	"~M-0000E-0"	"800223"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"555 311,32"
"BLACK JACOB"	"800291-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2005/06/06"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BLACK JACOB"	"800291-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(416) 668-5656"	"(416) 668-0909"	"25 494,83"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"98 513,59"
"BLACK JACOB"	"800291-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BLACK JACOB"	"800291-LV"	"AC42"	"N -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2005/05/06"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BLACK JACOB"	"800291-RE"	"AC42"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"3 432,32"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"5 757,92"
"BLACK JACOB"	"800291-SF"	"AC42"	"E - Marge couvert"	""	"(416) 668-5656"	"(416) 668-0909"	"(2 590,01)"	"USD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"(2 267,01)"
"BLACK JACOB"	"800291-VL"	"AC42"	"L -"	""	"(416) 668-5656"	"(416) 668-0909"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/07/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BLACK JACOB"	"800291-ZM"	"AC42"	"O -"	""	"(416) 668-5656"	"(416) 668-0909"	"1 618,22"	"CAD"	""	""	""	"Non"	""	"Non"	""	"JACOB BLACK"	""	"800291"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	"2008/11/03"	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"24 491,25"
"BLANCHARD CARMEN"	"800255-DQ"	"AC42"	"Q - Régime d'épargne-actions"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2006/03/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"BLANCHARD CARMEN"	"800255-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-2250"	"(450) 555-9406"	"7 083,57"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"105 124,00"
"BLANCHARD CARMEN"	"800255-KX"	"AC42"	"X - Fonds revenus viager"	""	"(450) 555-2250"	"(450) 555-9406"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2003/09/08"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BLANCHARD CARMEN"	"800255-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2250"	"(450) 555-9406"	"6 599,67"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CARMEN BLANCHARD"	""	"800255"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"333 263,42"
"BLOOMFIELD BLUMA"	"800207-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7052"	"(450) 555-7611"	"551,23"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"406 346,89"
"BLOOMFIELD BLUMA"	"800207-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7052"	"(450) 555-7611"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	"+FB_MONTAN_SUBS"	"BLUMARMIDON BLOOMFIELD"	"~M-0000R-0"	"800207"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2016/10/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 084,47"
"BLOOMFIELD BLUMA"	"800207-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7052"	"(450) 555-7611"	"12 404,28"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BLUMARMIDON BLOOMFIELD"	""	"800207"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"690 878,39"
"BNC PRIVATE"	"900035-NA"	"AC42"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	"900035"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BNC PRIVATE"	"900035-OB"	"AC42"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"BANQUE NATIONALE DU CANADA REF PRIVATE 197A"	""	"900035"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"BOMBARDIER FRAN"	"800055-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"
"BOMBARDIER FRAN"	"800055-JJ"	"AC42"	"J -"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/03"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"
"BOMBARDIER FRAN"	"800055-NA"	"AC42"	"A - Comptant"	""	"123456789"	"987654321"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"FRANCOIS BOMBARDIER"	""	"800055"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"161 676,52"
"BORTOLUS BRITES"	"800075-JJ"	"BD88"	"J -"	""	"1234567890"	"9876543210"	"4 230,94"	"CAD"	""	""	""	"Non"	""	"Non"	"*FALL BACK"	"BRITES BORTOLUS"	"~M-0000S-0"	"800075"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2015/04/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"4 230,94"
"BORTOLUS BRITES"	"800075-RE"	"BD88"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"69 818,98"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BRITES BORTOLUS"	""	"800075"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 464 975,72"
"BORTOLUS BRITES"	"800075-SF"	"BD88"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"85,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"BRITES BORTOLUS"	""	"800075"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"280 999,00"
"BOWMAN BARBEL"	"800034-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9271"	"(450) 555-2623"	"21 517,30"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"131 493,44"
"BOWMAN BARBEL"	"800034-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-9271"	"(450) 555-2623"	"5 108,90"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"9 264,10"
"BOWMAN BARBEL"	"800034-LV"	"AC42"	"N -"	""	"(450) 555-9271"	"(450) 555-2623"	"16,20"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2007/12/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"2 267,81"
"BOWMAN BARBEL"	"800034-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9271"	"(450) 555-2623"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2003/07/09"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BOWMAN BARBEL"	"800034-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-9271"	"(450) 555-2623"	"2 033,48"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BARBEL BOWMAN"	""	"800034"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"77 970,29"
"BRABANTB BERVERL"	"800225-NA"	"BD66"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"1999/06/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-OB"	"BD66"	"A - Comptant"	""	"4506626101"	"5146626101"	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"1999/06/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BRABANTB BERVERL"	"800225-RE"	"BD66"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"(1 345,57)"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"785 942,89"
"BRABANTB BERVERL"	"800225-SF"	"BD66"	"E - Marge couvert"	""	"4506626101"	"5146626101"	"3 497,46"	"USD"	""	""	""	"Non"	""	"Non"	""	"BERVERLY BRABANTB"	""	"800225"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"109 439,18"
"BRACKHAUS BRAD"	"800028-JJ"	"AC44"	"J -"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2005/04/19"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-NA"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2005/05/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BRACKHAUS BRAD"	"800028-OB"	"AC44"	"A - Comptant"	""	"(450) 555-1414"	"(450) 555-1284"	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"BRAD BRACKHAUS"	""	"800028"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2005/04/07"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BRASSERIE STAN"	"800275-NA"	"BD77"	"A - Comptant"	""	"(450) 555-1983"	"(450) 555-4522"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BRASSERIE CHEZ STAN ENR."	""	"800275"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2006/02/28"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BREESE ALAIN"	"800282-NA"	"BD66"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ALAIN BREESE"	""	"800282"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/04/02"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BREESE ALAIN"	"800283-HU"	"BD88"	"R - RER Immobilisé (Lock-in et CRI)"	""	""	""	"35 969,79"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ALAIN BREESE"	""	"800283"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/03/16"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"35 969,79"
"BREESE ALAIN"	"800283-RE"	"BD88"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ALAIN BREESE"	""	"800283"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2007/10/25"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"0,00"
"BREESE BÉBÉ"	"900283-NA"	"BD66"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BÉBÉ BREESE"	""	"900283"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BREESE BÉBÉ"	"900283-OB"	"BD66"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"BÉBÉ BREESE"	""	"900283"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"BRODEUR MARTIN"	"800017-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9114"	"(450) 555-8987"	"4 953,12"	"CAD"	""	""	""	"Non"	""	"Non"	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"184 401,01"
"BRODEUR MARTIN"	"800017-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9114"	"(450) 555-8987"	"3 220,57"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"MARTIN BRODEUR VIGNEUX"	""	"800017"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"8 742,57"
"BROGAN CLARENCE"	"800081-HU"	"BD66"	"R - RER Immobilisé (Lock-in et CRI)"	""	"450 6626101B"	"1234567890"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2006/12/04"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"
"BROGAN CLARENCE"	"800081-LY"	"BD66"	"Y - Rente viagère"	""	"450 6626101B"	"1234567890"	"1 958,90"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"150 642,31"
"BROGAN CLARENCE"	"800081-RE"	"BD66"	"E - Marge couvert"	""	"450 6626101B"	"1234567890"	"799,58"	"CAD"	""	""	""	"Non"	""	"Non"	""	"CLARENCE BROGAN"	""	"800081"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/19"	""	""	""	""	"2009/01/01"	"Oui"	"0,00"	"281 497,96"
"BUCHER BRASSEURS"	"800057-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7203"	"(450) 555-8729"	"4 837,12"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"312 917,80"
"BUCHER BRASSEURS"	"800057-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7203"	"(450) 555-8729"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2008/11/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BUCHER BRASSEURS"	"800057-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-7203"	"(450) 555-8729"	"848,50"	"CAD"	""	""	""	"Non"	""	"Non"	""	"BRASSEURS BUCHER"	""	"800057"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"113 118,37"
"BULLETIN ACURA"	"800259-FS"	"AC43"	"S - Régime d'épargne-retraite"	"111577689300"	"(450) 555-8616"	"(450) 555-9526"	"0,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2006/11/16"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"BULLETIN ACURA"	"800259-GT"	"AC43"	"T - Fonds de revenu de retraite"	""	"(450) 555-8616"	"(450) 555-9526"	"218,03"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/10/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"534 864,72"
"BULLETIN ACURA"	"800259-JW"	"AC43"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8616"	"(450) 555-9526"	"5 000,00"	"CAD"	""	""	""	"Non"	""	"Non"	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/02/10"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"5 000,00"
"BULLETIN ACURA"	"800259-NA"	"AC43"	"A - Comptant"	""	"(450) 555-8616"	"(450) 555-9526"	"1 607,97"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ACURA BULLETIN"	""	"800259"	"n/d"	"n/d"	"Anglais"	""	""	"Ouvert"	"Oui"	""	"2009/12/17"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"227 801,12"
"BURDETT ALAIN"	"800281-NA"	"BD66"	"A - Comptant"	""	"(450) 555-9313"	"(450) 555-9586"	"924,94"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"ALAIN BURDETT"	""	"800281"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"476 992,31"
"Business1"	"900051-NA"	"AC44"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"Business1"	""	"900051"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"Business1"	"900051-OB"	"AC44"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	""	""	"Non"	""	"Non"	""	"Business1"	""	"900051"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"
"CALCUL SCORE"	"800303-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"1SCORE FOND"	""	"800303"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"
"CALCULS ESCOMPTE"	"300005-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"49 951,27"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"CALCULS ESCOMPTES"	""	"300005"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2010/01/22"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"149 707,76"
"CALCULS GAINS/PE"	"300010-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"268 852,65"	"CAD"	""	""	""	"Non"	""	"Oui"	""	"CALCULS GAINS/PERTES"	""	"300010"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"517 131,15"
"CALCULS GAINS/PE"	"300010-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"276 630,41"	"USD"	""	""	""	"Non"	""	"Non"	""	"CALCULS GAINS/PERTES"	""	"300010"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"486 306,24"
"CALCULS USD"	"300006-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"17 804,38"	"USD"	""	""	""	"Non"	""	"Non"	""	"CALCULS USD"	""	"300006"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	"2010/01/21"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"196 480,13"
"CALDER CARILYNE"	"800274-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"1234567891"	"9876543211"	"1 436,85"	"CAD"	""	""	"Oui"	"Non"	""	"Non"	""	"CARILYNE CALDER"	""	"800274"	"n/d"	"n/d"	"Français"	""	""	"Ouvert"	"Oui"	""	"2009/12/29"	""	""	"2010/01/19"	""	"2009/01/01"	"Non"	"n/d"	"60 482,00"
