"Nom"	"No compte"	"Code de CP"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Marge"	"Valeur totale"
"CHADILLON ANNEKE"	"900007-NA"	"AC44"	"A - Comptant"	""	"(450) 555-4475"	"(789) 555-9712"	"0,00"	"CAD"	"n/d"	"0,00"
"CHADILLON ANNEKE"	"900007-OB"	"AC44"	"E - Marge couvert"	""	"(450) 555-4475"	"(789) 555-9712"	"0,00"	"USD"	"0,00"	"0,00"
"CHAMPS TRF"	"600001-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"CHAMPS TRF"	"600001-RE"	"BD88"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"CHAMPS TRF VIDE"	"600002-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"CHAMPS TRF VIDE"	"600003-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"CHAMPS TRF VIDE"	"600004-NA"	"BD88"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800244-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800244-NA"	"AC42"	"A - Comptant"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-1057"	"(450) 555-2279"	"416,08"	"CAD"	"n/d"	"497 873,06"
"CHATEAUNEUF ADRI"	"800294-HU"	"AC42"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-LY"	"AC42"	"Y - Rente viagère"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"800294-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"41,45"	"CAD"	"0,00"	"41,45"
"CHATEAUNEUF ADRI"	"800294-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"474,14"	"CAD"	"0,00"	"2 497,15"
"CHATEAUNEUF ADRI"	"900294-NA"	"BD88"	"A - Comptant"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"CAD"	"n/d"	"0,00"
"CHATEAUNEUF ADRI"	"900294-OB"	"BD88"	"E - Marge couvert"	""	"(450) 555-1057"	"(450) 555-2279"	"0,00"	"USD"	"0,00"	"0,00"
"CHENIER PAUL"	"800027-FS"	"AC44"	"S - Régime d'épargne-retraite"	""	"(450) 555-4476"	"(450) 555-9713"	"33 570,89"	"CAD"	"n/d"	"867 197,05"
"CHENIER PAUL"	"800027-NA"	"AC44"	"A - Comptant"	""	"(450) 555-4476"	"(450) 555-9713"	"3 023,75"	"CAD"	"n/d"	"106 237,72"
"CICANSKY DUHAMEL"	"800253-LY"	"BD77"	"Y - Rente viagère"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	"n/d"	"0,00"
"CICANSKY DUHAMEL"	"800253-NA"	"BD77"	"A - Comptant"	""	"(450) 555-8945"	"(450) 555-6431"	"0,00"	"CAD"	"n/d"	"0,00"
"CLEMENT BRETT"	"800209-HU"	"AC42"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	"n/d"	"0,00"
"CLEMENT BRETT"	"800209-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-5562"	"(450) 555-5034"	"0,00"	"CAD"	"0,00"	"0,00"
"CONWAY BORDELEAU"	"800080-GT"	"BD66"	"T - Fonds de revenu de retraite"	""	"450 6626101B"	"1234567890"	"635,64"	"CAD"	"n/d"	"96 413,79"
"CONWAY BORDELEAU"	"800080-NA"	"BD66"	"A - Comptant"	""	"450 6626101B"	"1234567890"	"4 370,30"	"CAD"	"n/d"	"799 511,30"
"COUSSON BOURSE"	"800012-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	"n/d"	"0,00"
"COUSSON BOURSE"	"800012-NA"	"AC42"	"A - Comptant"	""	"(450) 555-0007"	"(450) 555-1949"	"0,00"	"CAD"	"n/d"	"0,00"
"CROIL CHRYSTIAN"	"800051-BO"	"AC55"	"C - Paiement sur livraison"	""	""	""	"0,00"	"USD"	"n/d"	"0,00"
"CULLEN CARLISLE"	"800292-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"123 456 7890"	"(416) 666-6543"	"6 892,78"	"CAD"	"n/d"	"239 616,87"
"CULLEN CARLISLE"	"800292-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	"123 456 7890"	"(416) 666-6543"	"0,02"	"CAD"	"n/d"	"10 359,98"
"CULLEN CARLISLE"	"800292-RE"	"BD88"	"E - Marge couvert"	""	"123 456 7890"	"(416) 666-6543"	"236,28"	"CAD"	"0,00"	"36 825,04"
"CULLEN EDWARD"	"800289-OB"	"AC42"	"A - Comptant"	""	""	""	"0,00"	"USD"	"n/d"	"0,00"
"DABADIE AMERICO"	"800010-JJ"	"AC42"	"J -"	""	"(450) 555-4476"	"(450) 555-9713"	"1 097,20"	"CAD"	"n/d"	"1 097,20"
"DABADIE AMERICO"	"800010-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4476"	"(450) 555-9713"	"14,41"	"CAD"	"n/d"	"72 497,34"
"DABADIE AMERICO"	"900010-NA"	"AC44"	"A - Comptant"	""	"123456789"	"987654321"	"0,00"	"CAD"	"n/d"	"0,00"
"DABADIE AMERICO"	"900010-OB"	"AC44"	"E - Marge couvert"	""	"123456789"	"987654321"	"0,00"	"USD"	"0,00"	"0,00"
"DEEM ANDREA"	"800251-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4859"	"(450) 555-0474"	"0,00"	"CAD"	"n/d"	"0,00"
"DEEM ANDREA"	"800251-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	"(450) 555-4859"	"(450) 555-0474"	"6 990,70"	"CAD"	"n/d"	"465 759,21"
"DEEM ANDREA"	"800251-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4859"	"(450) 555-0474"	"5 622,86"	"CAD"	"0,00"	"862 032,93"
"DELISLE YOGOURT"	"800047-RE"	"AC55"	"E - Marge couvert"	""	"(450) 555-2059"	"(450) 555-3010"	"(8 749,74)"	"CAD"	"0,00"	"549 292,84"
"DELISLE YOGOURT"	"800047-SF"	"AC55"	"E - Marge couvert"	""	"(450) 555-2059"	"(450) 555-3010"	"234,57"	"USD"	"0,00"	"16 751,99"
"DEMERCHANT ARNAS"	"800288-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	""	""	"18 218,90"	"CAD"	"n/d"	"44 559,16"
"DEMERCHANT ARNAS"	"800288-NA"	"BD66"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"DODOK AQUARIUS"	"800263-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-1974"	"(450) 555-1470"	"1 182,20"	"CAD"	"n/d"	"721 426,54"
"DODOK AQUARIUS"	"800263-JW"	"BD66"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-1974"	"(450) 555-1470"	"0,66"	"CAD"	"n/d"	"10 179,85"
"DODOK AQUARIUS"	"800263-RE"	"BD66"	"E - Marge couvert"	""	"(450) 555-1974"	"(450) 555-1470"	"14 248,80"	"CAD"	"0,00"	"1 614 308,53"
"DOSTIE AYELE"	"800031-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"4185432287"	""	"662,02"	"CAD"	"n/d"	"7 736,56"
"DYNAMIQUE ALVARO"	"800039-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"CAD"	"n/d"	"0,00"
"DYNAMIQUE ALVARO"	"800039-OB"	"AC42"	"A - Comptant"	""	"(450) 555-4676"	"(450) 555-4168"	"0,00"	"USD"	"n/d"	"0,00"
"ERDMAN BERTHE"	"800032-GT"	"AC55"	"T - Fonds de revenu de retraite"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	"n/d"	"0,00"
"ERDMAN BERTHE"	"800032-JW"	"AC55"	"W - Fonds de revenus de retraite - Conjoint"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	"n/d"	"0,00"
"ERDMAN BERTHE"	"800032-NA"	"AC55"	"A - Comptant"	""	"6133897715"	"123 456 7890"	"0,00"	"CAD"	"n/d"	"0,00"
"EVERTON BERNATCH"	"800063-NA"	"AC42"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"192 288,35"	"CAD"	"n/d"	"1 174 358,51"
"EVERTON BERNATCH"	"800063-OB"	"AC42"	"A - Comptant"	""	"(450) 555-8191"	"(450) 555-7525"	"266 141,04"	"USD"	"n/d"	"622 706,16"
"FATA ANESTIS"	"800237-DQ"	"0AED"	"Q - Régime d'épargne-actions"	""	"(450) 555-2466"	"(450) 555-8267"	"0,00"	"CAD"	"0,00"	"0,00"
"FATA ANESTIS"	"800237-FS"	"0AED"	"S - Régime d'épargne-retraite"	""	"(450) 555-2466"	"(450) 555-8267"	"9 336,94"	"CAD"	"n/d"	"382 081,87"
"FATA ANESTIS"	"800237-JW"	"0AED"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-2466"	"(450) 555-8267"	"48,01"	"CAD"	"n/d"	"5 619,48"
"FATA ANESTIS"	"800237-RE"	"0AED"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"88,11"	"CAD"	"0,00"	"104 040,51"
"FATA ANESTIS"	"800237-SF"	"0AED"	"E - Marge couvert"	""	"(450) 555-2466"	"(450) 555-8267"	"1 093,91"	"USD"	"0,00"	"1 093,91"
"FORTIN CAT"	"800214-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	"n/d"	"0,00"
"FORTIN CAT"	"800214-GT"	"BD88"	"T - Fonds de revenu de retraite"	""	"(450) 555-8651"	"(450) 555-9211"	"3 107,11"	"CAD"	"n/d"	"49 117,75"
"FORTIN CAT"	"800214-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-8651"	"(450) 555-9211"	"0,00"	"CAD"	"n/d"	"5 197,59"
"FORTIN CAT"	"800214-NA"	"BD88"	"A - Comptant"	""	"(450) 555-8651"	"(450) 555-9211"	"0,64"	"CAD"	"n/d"	"65 903,57"
"FOSTEN ALIETTE"	"800235-DQ"	"BD66"	"Q - Régime d'épargne-actions"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"FOSTEN ALIETTE"	"800235-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	""	""	"4 072,72"	"CAD"	"n/d"	"657 592,08"
"FOSTEN ALIETTE"	"800235-RE"	"BD66"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"FRAIS GESTION CR"	"300012-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"145 175,96"	"CAD"	"n/d"	"185 393,17"
"FRAIS GESTION CR"	"300012-RE"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"0,00"	"CAD"	"n/d"	"0,00"
"FRANCOIS CELIA"	"800024-GT"	"AC55"	"T - Fonds de revenu de retraite"	""	"(450) 555-7248"	"(450) 555-5038"	"27,80"	"CAD"	"n/d"	"27,80"
"FRANCOIS CELIA"	"800024-RE"	"AC55"	"E - Marge couvert"	""	"(450) 555-7248"	"(450) 555-5038"	"0,00"	"CAD"	"0,00"	"0,00"
"FRESEY CHRISTINE"	"800046-FS"	"AC55"	"S - Régime d'épargne-retraite"	""	"(450) 555-3143"	"(450) 555-2128"	"7 926,98"	"CAD"	"n/d"	"246 049,67"
"FRESEY CHRISTINE"	"800046-NA"	"AC55"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"8 391,61"	"CAD"	"n/d"	"173 806,05"
"FRESEY CHRISTINE"	"800046-OB"	"AC55"	"A - Comptant"	""	"(450) 555-3143"	"(450) 555-2128"	"7 050,91"	"USD"	"n/d"	"156 376,51"
"FRESEY CHRISTINE"	"800046-RE"	"AC55"	"E - Marge couvert"	""	"(450) 555-3143"	"(450) 555-2128"	"7 293,38"	"CAD"	"0,00"	"883 853,62"
"GALLATI BROCHU"	"800076-FS"	"0AED"	"S - Régime d'épargne-retraite"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	"n/d"	"0,00"
"GALLATI BROCHU"	"800076-GT"	"0AED"	"T - Fonds de revenu de retraite"	""	"1234567890"	"9876543210"	"1 219,59"	"CAD"	"n/d"	"10 996,27"
"GALLATI BROCHU"	"800076-NA"	"0AED"	"A - Comptant"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	"n/d"	"0,00"
"GALLEY BENEZETTE"	"800280-RE"	"AC43"	"E - Marge couvert"	"112577689300"	"1234567890"	"9876543210"	"33 962,21"	"CAD"	"0,00"	"1 102 163,63"
"GALLEY BENEZETTE"	"800280-SF"	"AC43"	"E - Marge couvert"	"001000"	"1234567890"	"9876543210"	"171 147,13"	"USD"	"0,00"	"474 316,31"
"GARTON BAYNE"	"800021-FS"	"AC44"	"S - Régime d'épargne-retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"(26 713,18)"	"CAD"	"n/d"	"673 353,98"
"GARTON BAYNE"	"800021-GT"	"AC44"	"T - Fonds de revenu de retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"3 478,57"	"CAD"	"n/d"	"29 762,58"
"GARTON BAYNE"	"800021-JW"	"AC44"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7564"	"(450) 555-0541"	"11,24"	"CAD"	"n/d"	"12 110,08"
"GARTON BAYNE"	"800021-NA"	"AC44"	"A - Comptant"	""	"(450) 555-7564"	"(450) 555-0541"	"(4 000,00)"	"CAD"	"n/d"	"669 946,33"
"GATES ALOIS"	"800267-GT"	"AC43"	"T - Fonds de revenu de retraite"	"111577689309"	"(450) 555-5552"	"(450) 555-4777"	"3 663,99"	"CAD"	"n/d"	"425 275,84"
"GATES ALOIS"	"800267-JW"	"AC43"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5552"	"(450) 555-4777"	"259,12"	"CAD"	"n/d"	"8 347,04"
"GATES ALOIS"	"800267-RE"	"AC43"	"E - Marge couvert"	"001000"	"(450) 555-5552"	"(450) 555-4777"	"23 310,50"	"CAD"	"0,00"	"767 077,77"
"GHILZON BOURBON"	"800250-HU"	"AC42"	"R - RER Immobilisé (Lock-in et CRI)"	""	"7592822"	""	"0,00"	"CAD"	"n/d"	"0,00"
"GHILZON BOURBON"	"800250-NA"	"AC42"	"A - Comptant"	""	"7592822"	""	"0,00"	"CAD"	"n/d"	"0,00"
"GIRARDIN ANGELLA"	"800277-NA"	"AC42"	"A - Comptant"	""	"123 456 7890"	"123 456-7890"	"321,68"	"CAD"	"n/d"	"321,68"
"GIRARDIN ANGELLA"	"800277-OB"	"AC42"	"A - Comptant"	""	"123 456 7890"	"123 456-7890"	"10 498,04"	"USD"	"n/d"	"257 933,14"
"GIRARDIN ANGELLA"	"800277-RE"	"AC42"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"1 995,56"	"CAD"	"0,00"	"493 678,17"
"GIRARDIN ANGELLA"	"800277-SF"	"AC42"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"13 037,15"	"USD"	"0,00"	"250 620,35"
"GP VALIDATION"	"300007-NA"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"447 859,00"	"CAD"	"n/d"	"447 859,00"
"GP VALIDATION"	"300007-OB"	"BD88"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"476 961,48"	"USD"	"n/d"	"476 961,48"
"GRACIE AMIOT"	"800213-NA"	"AC42"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"6 601,05"	"CAD"	"n/d"	"972 978,14"
"GRACIE AMIOT"	"800213-OB"	"AC42"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"2 434,55"	"USD"	"n/d"	"63 631,16"
"GREENSPOON SOWLI"	"800031-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"4185432287"	""	"17 066,41"	"CAD"	"n/d"	"106 388,41"
"GREENSPOON SOWLI"	"800031-NA"	"AC42"	"A - Comptant"	""	"4185432287"	""	"122 664,08"	"CAD"	"n/d"	"710 444,34"
"GREICO BARRY"	"800269-GT"	"AC42"	"T - Fonds de revenu de retraite"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"GREICO BARRY"	"800269-NA"	"AC42"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"GRUEN CHANTAL"	"800060-NA"	"AC42"	"A - Comptant"	"111577689300"	""	""	"198 967,04"	"CAD"	"n/d"	"855 676,23"
"GRUEN CHANTAL"	"800060-OB"	"AC42"	"A - Comptant"	""	""	""	"63 736,98"	"USD"	"n/d"	"135 912,04"
"GUERASSIMENKO AL"	"800085-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2559"	"(450) 555-4855"	"3 150,94"	"CAD"	"0,00"	"136 858,80"
"GUIMOND OLIVIER"	"800279-NA"	"AC42"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"CAD"	"n/d"	"0,00"
"GUIMOND OLIVIER"	"800279-OB"	"AC42"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"USD"	"n/d"	"0,00"
"GUIMOND OLIVIER"	"800279-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-8609"	"(450) 555-8745"	"3 744,41"	"CAD"	"0,00"	"1 524 655,61"
"GUIMOND OLIVIER"	"800279-SF"	"AC42"	"E - Marge couvert"	"112577689300"	"(450) 555-8609"	"(450) 555-8745"	"5 459,07"	"USD"	"0,00"	"264 627,73"
"GURAK BONACE"	"800061-RE"	"AC42"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"GURAK BONACE"	"800061-SF"	"AC42"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	"0,00"	"0,00"
"HARTER AURORE"	"800287-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-0474"	"(450) 555-7343"	"105,83"	"CAD"	"n/d"	"451 074,26"
"HARTER AURORE"	"800287-NA"	"BD66"	"A - Comptant"	""	"(450) 555-0474"	"(450) 555-7343"	"11 302,64"	"CAD"	"n/d"	"549 372,76"
"HEFFELFINGER ALA"	"800001-NA"	"AC42"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"(15 381,69)"	"CAD"	"n/d"	"815 366,42"
"HEFFELFINGER ALA"	"800001-OB"	"AC42"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"46 832,77"	"USD"	"n/d"	"414 712,37"
"HOFFMAN ARRY"	"800249-NA"	"BD88"	"A - Comptant"	"001000"	"(450) 555-6934"	"(450) 555-4795"	"149 888,26"	"CAD"	"n/d"	"21 348 070,45"
"HOFFMAN ARRY"	"800249-OB"	"BD88"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-4795"	"12 159,61"	"USD"	"n/d"	"12 159,61"
"HOLLIS ACURA"	"800271-NA"	"BD77"	"A - Comptant"	""	"(450) 555-7821"	"(450) 555-9043"	"0,00"	"CAD"	"n/d"	"0,00"
"HUMPHREY ANTONIN"	"800243-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	"n/d"	"0,00"
"HUMPHREY ANTONIN"	"800243-JW"	"AC42"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	"n/d"	"6 054,76"
"HUMPHREY ANTONIN"	"800243-NA"	"AC42"	"A - Comptant"	"111577689305"	"(450) 555-0805"	"(450) 555-6049"	"511,06"	"CAD"	"n/d"	"90 701,13"
"ISMAN CAHTERINE"	"800220-LY"	"AC42"	"Y - Rente viagère"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	"n/d"	"0,00"
"ISMAN CAHTERINE"	"800220-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	"0,00"	"0,00"
"ISSENMAN AMALIE"	"800062-NA"	"AC42"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"2 654,52"	"CAD"	"n/d"	"120 764,28"
"ISSENMAN AMALIE"	"800062-OB"	"AC42"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"35 682,15"	"USD"	"n/d"	"108 409,63"
"JACOBSON BEVERAL"	"800036-GT"	"AC44"	"T - Fonds de revenu de retraite"	""	"4502638715F"	""	"57 280,12"	"CAD"	"n/d"	"156 876,15"
"JACOBSON BEVERAL"	"800036-NA"	"AC44"	"A - Comptant"	""	"4502638715F"	""	"301 576,54"	"CAD"	"n/d"	"834 306,04"
"JAKOBSEN ANTONIU"	"800254-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	"n/d"	"0,00"
"JAKOBSEN ANTONIU"	"800254-NA"	"AC42"	"A - Comptant"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	"n/d"	"0,00"
"JANELLE CARLEY"	"800221-FS"	"BD88"	"S - Régime d'épargne-retraite"	""	""	""	"921,09"	"CAD"	"n/d"	"592 814,62"
"JANELLE CARLEY"	"800221-JW"	"BD88"	"W - Fonds de revenus de retraite - Conjoint"	""	""	""	"221,19"	"CAD"	"n/d"	"10 377,91"
"JANELLE CARLEY"	"800221-NA"	"BD88"	"A - Comptant"	""	""	""	"2 122,99"	"CAD"	"n/d"	"40 565,15"
"JANSEN BABCOCK"	"800078-NA"	"BD88"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"CAD"	"n/d"	"0,00"
"JANSEN BABCOCK"	"800078-OB"	"BD88"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"USD"	"n/d"	"0,00"
"JOAN CAYLEY"	"800087-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-4064"	"(450) 555-0850"	"2 688,39"	"CAD"	"n/d"	"67 351,40"
"JOAN CAYLEY"	"800087-LV"	"AC42"	"N -"	""	"(450) 555-4064"	"(450) 555-0850"	"0,00"	"CAD"	"n/d"	"0,00"
"JOAN CAYLEY"	"800087-NA"	"AC42"	"A - Comptant"	""	"(450) 555-4064"	"(450) 555-0850"	"2 942,13"	"CAD"	"n/d"	"36 158,45"
"JOAN CAYLEY"	"800087-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4064"	"(450) 555-0850"	"6 779,47"	"CAD"	"0,00"	"302 761,51"
"KADOTA ALOURDES"	"800048-FS"	"AC55"	"S - Régime d'épargne-retraite"	""	"(450) 555-5398"	"(450) 555-5398"	"35 612,52"	"CAD"	"n/d"	"412 583,78"
"KADOTA ALOURDES"	"800048-JW"	"AC55"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5398"	"(450) 555-5398"	"0,00"	"CAD"	"n/d"	"10 954,25"
"KADOTA ALOURDES"	"800048-NA"	"AC55"	"A - Comptant"	""	"(450) 555-5398"	"(450) 555-5398"	"(464,60)"	"CAD"	"n/d"	"385 827,01"
"KING MCKENZIE"	"800077-NA"	"0AED"	"A - Comptant"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	"n/d"	"0,00"
"KING MCKENZIE"	"800077-RE"	"0AED"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"5 903,59"	"CAD"	"0,00"	"113 162,96"
"KING MCKENZIE"	"800077-SF"	"0AED"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"890,97"	"USD"	"0,00"	"53 713,37"
"KINOSHITA CHARTR"	"800260-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	"(450) 555-1222"	"(450) 555-2627"	"0,53"	"CAD"	"n/d"	"475 413,64"
"KINOSHITA CHARTR"	"800260-RE"	"BD66"	"E - Marge couvert"	""	"(450) 555-1222"	"(450) 555-2627"	"562,29"	"CAD"	"0,00"	"241 364,98"
"KLINGMAN AILLEEN"	"800079-GT"	"BD66"	"T - Fonds de revenu de retraite"	""	"(450) 555-5954"	"(450) 555-2795"	"1 185,97"	"CAD"	"n/d"	"155 340,61"
"KLINGMAN AILLEEN"	"800079-JW"	"BD66"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5954"	"(450) 555-2795"	"135,00"	"CAD"	"n/d"	"10 228,91"
"KLINGMAN AILLEEN"	"800079-NA"	"BD66"	"A - Comptant"	""	"(450) 555-5954"	"(450) 555-2795"	"642,14"	"CAD"	"n/d"	"659 248,49"
"KNIGHT AMEDEE"	"800234-DQ"	"BD66"	"Q - Régime d'épargne-actions"	""	""	""	"0,00"	"CAD"	"0,00"	"0,00"
"KNIGHT AMEDEE"	"800234-FS"	"BD66"	"S - Régime d'épargne-retraite"	""	""	""	"10 563,48"	"CAD"	"n/d"	"681 360,05"
"KNIGHT AMEDEE"	"800234-RE"	"BD66"	"E - Marge couvert"	""	""	""	"2 431,11"	"CAD"	"0,00"	"350 586,65"
"KNIGHT AMEDEE"	"800234-SF"	"BD66"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	"0,00"	"0,00"
"KNIGHT AMEDEE"	"900235-NA"	"0AED"	"A - Comptant"	""	""	""	"0,00"	"CAD"	"n/d"	"0,00"
"KRABSEN BUBSIE"	"800042-FS"	"AC42"	"S - Régime d'épargne-retraite"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	"n/d"	"0,00"
"KRABSEN BUBSIE"	"800042-NA"	"AC42"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	"n/d"	"0,00"
"KRABSEN BUBSIE"	"800042-OB"	"AC42"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"USD"	"n/d"	"0,00"
"KROEGER BABE"	"800014-RE"	"AC42"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"CAD"	"0,00"	"0,00"
"KROEGER BABE"	"800014-SF"	"AC42"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"USD"	"0,00"	"0,00"
"LAFERRIERE BLAKE"	"800272-DQ"	"0AED"	"Q - Régime d'épargne-actions"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	"0,00"	"0,00"
"LAFERRIERE BLAKE"	"800272-ER"	"0AED"	"V - Régime d'épargne-études"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	"n/d"	"0,00"
"LAFERRIERE BLAKE"	"800272-FS"	"0AED"	"S - Régime d'épargne-retraite"	""	"1234567890"	"9876543210"	"13 843,40"	"CAD"	"n/d"	"452 114,04"
"LAFERRIERE BLAKE"	"800272-RE"	"0AED"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"14 124,03"	"CAD"	"0,00"	"298 974,15"
"LAFERRIERE BLAKE"	"800272-SF"	"0AED"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"0,00"	"USD"	"0,00"	"0,00"
